MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzSWKGVsA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;4.134;mm;Rejected;1;7.000;20220701;044624;OK;-1.500;1.500
FR_23L;G;2.135;mm;OK;1;2.000;20220701;044626;OK;-2.000;1.000
FR_5L;G;6.439;mm;OK;1;7.000;20220701;044629;OK;-1.500;1.500
FR_11L;G;5.639;mm;Rejected;1;2.000;20220701;044631;OK;-2.000;1.000
FR_12L;F;0.091;mm;Rejected;1;-0.500;20220701;044636;OK;-0.500;0.500
FR_12L;G;1.030;mm;Rejected;1;0.500;20220701;044636;OK;-0.500;0.500
FR_9_1L;F;1.677;mm;Rejected;1;0.000;20220701;044638;OK;-1.000;1.000
FR_9_1L;G;4.958;mm;Rejected;1;3.500;20220701;044638;OK;-1.200;1.200
FR_9_2L;F;1.079;mm;Rejected;1;0.000;20220701;044640;OK;-1.000;1.000
FR_9_2L;G;5.367;mm;Rejected;1;3.500;20220701;044640;OK;-1.200;1.200
FR_13L;G;1.195;mm;Rejected;1;0.500;20220701;044643;OK;-0.500;0.500
SW_34_1L;F;-0.076;mm;OK;1;0.000;20220701;044645;OK;-1.000;1.000
SW_34_1L;G;4.450;mm;OK;1;4.000;20220701;044645;OK;-1.000;1.000
SW_34_2L;F;-0.271;mm;OK;1;0.000;20220701;044647;OK;-1.000;1.000
SW_34_2L;G;4.226;mm;OK;1;4.000;20220701;044647;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;044649;OK;-1.500;1.500
FR_6L;F;-0.124;mm;OK;1;0.000;20220701;044652;OK;-0.500;0.500
FR_6L;G;0.428;mm;OK;1;0.500;20220701;044652;OK;-0.500;0.500
SW_6L;G;5.745;mm;Rejected;1;4.500;20220701;044703;OK;-1.200;1.200
SW_9L;F;0.863;mm;OK;1;0.000;20220701;044706;OK;-1.000;1.000
SW_9L;G;4.033;mm;OK;1;4.000;20220701;044706;OK;-1.000;1.000
SW_12L;G;3.838;mm;OK;1;4.500;20220701;044708;OK;-1.200;1.200
RF_26L;F;-2.886;mm;Rejected;1;-1.000;20220701;044723;OK;-1.000;1.000
RF_26L;G;6.375;mm;OK;1;7.000;20220701;044723;OK;-1.000;1.000
RF_27L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;044725;OK;-0.500;0.500
RF_27L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;044725;OK;-0.500;2.000
SW_29L;G;0.712;mm;OK;1;0.500;20220701;044621;OK;-0.500;0.500
SW_27_1L;F;0.112;mm;OK;1;0.000;20220701;044624;OK;-1.000;1.000
SW_27_1L;G;4.502;mm;OK;1;4.000;20220701;044624;OK;-1.000;1.000
SW_27_2L;F;0.526;mm;OK;1;0.000;20220701;044626;OK;-1.000;1.000
SW_27_2L;G;4.137;mm;OK;1;4.000;20220701;044626;OK;-1.000;1.000
SW_25L;G;0.444;mm;OK;1;0.500;20220701;044631;OK;-0.500;0.500
SW_19L;G;0.887;mm;OK;1;0.500;20220701;044638;OK;-0.500;0.500
SW_17_1L;F;0.959;mm;OK;1;0.000;20220701;044641;OK;-1.000;1.000
SW_17_1L;G;4.379;mm;OK;1;4.000;20220701;044641;OK;-1.000;1.000
SW_17_2L;F;0.581;mm;OK;1;0.000;20220701;044643;OK;-1.000;1.000
SW_17_2L;G;3.257;mm;OK;1;4.000;20220701;044643;OK;-1.000;1.000
SW_16L;F;-0.017;mm;OK;1;0.000;20220701;044646;OK;-1.000;1.000
SW_16L;G;2.792;mm;OK;1;4.000;20220701;044646;OK;-2.000;1.000
RF_1_1L;F;0.498;mm;Rejected;1;-1.500;20220701;044650;OK;-1.000;1.000
RF_1_1L;G;4.952;mm;Rejected;1;7.000;20220701;044650;OK;-1.500;1.500
RF_1_2L;F;0.800;mm;Rejected;1;-1.500;20220701;044653;OK;-1.000;1.000
RF_1_2L;G;4.559;mm;OK;1;5.000;20220701;044653;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;044656;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;044656;OK;-1.000;1.000
RR_2_2L;F;0.096;mm;Rejected;1;-1.000;20220701;044658;OK;-1.000;1.000
RR_2_2L;G;1.047;mm;OK;1;2.000;20220701;044658;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;044700;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;044700;OK;-1.000;1.000
RR_6_1L;F;5.420;mm;Rejected;1;0.500;20220701;044703;OK;-0.500;1.000
RR_6_1L;G;0.797;mm;OK;1;0.500;20220701;044703;OK;-0.500;1.000
RR_6_2L;F;3.848;mm;Rejected;1;0.500;20220701;044707;OK;-0.500;1.000
RR_6_2L;G;0.273;mm;OK;1;0.500;20220701;044707;OK;-0.500;1.000
RR_9L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;044710;OK;-0.500;0.500
RR_7_1L;G;2.986;mm;OK;1;2.000;20220701;044712;OK;-1.000;1.000
RR_7_2L;G;4.050;mm;Rejected;1;2.000;20220701;044714;OK;-1.000;1.000
RR_20_4L;G;0.362;mm;OK;1;1.000;20220701;044717;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220701;044719;OK;-1.000;1.000
RR_5L;G;2.264;mm;Rejected;1;4.500;20220701;044721;OK;-1.200;1.200
RR_12_1L;F;-1.914;mm;Rejected;1;-4.000;20220701;044724;OK;-1.200;1.200
RR_12_1L;G;4.718;mm;OK;1;4.500;20220701;044724;OK;-3.000;1.200
RR_12_2L;F;-1.990;mm;Rejected;1;-4.000;20220701;044725;OK;-1.200;1.200
RR_12_2L;G;4.456;mm;OK;1;4.500;20220701;044725;OK;-3.000;1.200
FR_1R;G;6.607;mm;OK;1;7.000;20220701;044625;OK;-1.500;1.500
FR_23R;F;1.242;mm;Rejected;1;0.000;20220701;044627;OK;0.000;0.000
FR_23R;G;1.681;mm;Rejected;1;0.000;20220701;044627;OK;0.000;0.000
FR_5R;G;8.980;mm;Rejected;1;7.000;20220701;044630;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;044632;OK;-2.000;1.000
FR_12R;F;-0.145;mm;OK;1;-0.500;20220701;044635;OK;-0.500;0.500
FR_12R;G;1.260;mm;Rejected;1;0.500;20220701;044635;OK;-0.500;0.500
FR_9_1R;F;2.884;mm;Rejected;1;0.000;20220701;044639;OK;-1.000;1.000
FR_9_1R;G;5.383;mm;Rejected;1;3.500;20220701;044639;OK;-1.200;1.200
FR_9_2R;F;1.071;mm;Rejected;1;0.000;20220701;044642;OK;-1.000;1.000
FR_9_2R;G;5.182;mm;Rejected;1;3.500;20220701;044642;OK;-1.200;1.200
