MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzSWKz30A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;4.173;mm;Rejected;1;7.000;20220701;174327;OK;-1.500;1.500
FR_23L;G;2.141;mm;OK;1;2.000;20220701;174330;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220701;174332;OK;-1.500;1.500
FR_11L;G;1.934;mm;OK;1;2.000;20220701;174334;OK;-2.000;1.000
FR_12L;F;0.052;mm;Rejected;1;-0.500;20220701;174338;OK;-0.500;0.500
FR_12L;G;1.055;mm;Rejected;1;0.500;20220701;174338;OK;-0.500;0.500
FR_9_1L;F;1.665;mm;Rejected;1;0.000;20220701;174340;OK;-1.000;1.000
FR_9_1L;G;4.887;mm;Rejected;1;3.500;20220701;174340;OK;-1.200;1.200
FR_9_2L;F;1.061;mm;Rejected;1;0.000;20220701;174343;OK;-1.000;1.000
FR_9_2L;G;5.331;mm;Rejected;1;3.500;20220701;174343;OK;-1.200;1.200
FR_13L;G;1.223;mm;Rejected;1;0.500;20220701;174345;OK;-0.500;0.500
SW_34_1L;F;-0.053;mm;OK;1;0.000;20220701;174348;OK;-1.000;1.000
SW_34_1L;G;4.424;mm;OK;1;4.000;20220701;174348;OK;-1.000;1.000
SW_34_2L;F;-0.251;mm;OK;1;0.000;20220701;174351;OK;-1.000;1.000
SW_34_2L;G;4.204;mm;OK;1;4.000;20220701;174351;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;174354;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;174354;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;174354;OK;-0.500;0.500
SW_6L;G;5.729;mm;Rejected;1;4.500;20220701;174405;OK;-1.200;1.200
SW_9L;F;0.867;mm;OK;1;0.000;20220701;174408;OK;-1.000;1.000
SW_9L;G;4.093;mm;OK;1;4.000;20220701;174408;OK;-1.000;1.000
