MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzVGK0L0A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;8.209;mm;OK;1;7.000;20220701;174848;OK;-1.500;1.500
FR_23L;G;2.040;mm;OK;1;2.000;20220701;174850;OK;-2.000;1.000
FR_5L;G;6.866;mm;OK;1;7.000;20220701;174853;OK;-1.500;1.500
FR_11L;G;1.088;mm;OK;1;2.000;20220701;174855;OK;-2.000;1.000
FR_12L;F;-0.724;mm;OK;1;-0.500;20220701;174901;OK;-0.500;0.500
FR_12L;G;0.585;mm;OK;1;0.500;20220701;174901;OK;-0.500;0.500
FR_9_1L;F;-0.062;mm;OK;1;0.000;20220701;174903;OK;-1.000;1.000
FR_9_1L;G;4.495;mm;OK;1;3.500;20220701;174903;OK;-1.200;1.200
FR_9_2L;F;0.204;mm;OK;1;0.000;20220701;174905;OK;-1.000;1.000
FR_9_2L;G;4.532;mm;OK;1;3.500;20220701;174905;OK;-1.200;1.200
FR_13L;G;1.280;mm;Rejected;1;0.500;20220701;174906;OK;-0.500;0.500
SW_34_1L;F;-0.121;mm;OK;1;0.000;20220701;174909;OK;-1.000;1.000
SW_34_1L;G;4.034;mm;OK;1;4.000;20220701;174909;OK;-1.000;1.000
SW_34_2L;F;-0.202;mm;OK;1;0.000;20220701;174913;OK;-1.000;1.000
SW_34_2L;G;3.986;mm;OK;1;4.000;20220701;174913;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;174915;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;174917;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;174917;OK;-0.500;0.500
SW_6L;G;5.802;mm;Rejected;1;4.500;20220701;174928;OK;-1.200;1.200
SW_9L;F;0.449;mm;OK;1;0.000;20220701;174931;OK;-1.000;1.000
SW_9L;G;4.039;mm;OK;1;4.000;20220701;174931;OK;-1.000;1.000
SW_12L;G;5.645;mm;OK;1;4.500;20220701;174934;OK;-1.200;1.200
RF_26L;F;-1.814;mm;OK;1;-1.000;20220701;174945;OK;-1.000;1.000
RF_26L;G;6.117;mm;OK;1;7.000;20220701;174945;OK;-1.000;1.000
RF_27L;F;-1.077;mm;Rejected;1;0.000;20220701;174947;OK;-0.500;0.500
RF_27L;G;0.876;mm;OK;1;0.500;20220701;174947;OK;-0.500;2.000
SW_29L;G;0.670;mm;OK;1;0.500;20220701;174846;OK;-0.500;0.500
SW_27_1L;F;-0.333;mm;OK;1;0.000;20220701;174849;OK;-1.000;1.000
SW_27_1L;G;4.298;mm;OK;1;4.000;20220701;174849;OK;-1.000;1.000
SW_27_2L;F;-0.238;mm;OK;1;0.000;20220701;174851;OK;-1.000;1.000
SW_27_2L;G;4.258;mm;OK;1;4.000;20220701;174851;OK;-1.000;1.000
SW_25L;G;0.639;mm;OK;1;0.500;20220701;174856;OK;-0.500;0.500
