MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzSWK0RYA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;4.139;mm;Rejected;1;7.000;20220701;175018;OK;-1.500;1.500
FR_23L;G;2.170;mm;OK;1;2.000;20220701;175020;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220701;175023;OK;-1.500;1.500
FR_11L;G;1.953;mm;OK;1;2.000;20220701;175024;OK;-2.000;1.000
FR_12L;F;0.066;mm;Rejected;1;-0.500;20220701;175029;OK;-0.500;0.500
FR_12L;G;1.026;mm;Rejected;1;0.500;20220701;175029;OK;-0.500;0.500
FR_9_1L;F;1.687;mm;Rejected;1;0.000;20220701;175031;OK;-1.000;1.000
FR_9_1L;G;4.913;mm;Rejected;1;3.500;20220701;175031;OK;-1.200;1.200
FR_9_2L;F;1.123;mm;Rejected;1;0.000;20220701;175033;OK;-1.000;1.000
FR_9_2L;G;5.335;mm;Rejected;1;3.500;20220701;175033;OK;-1.200;1.200
FR_13L;G;1.183;mm;Rejected;1;0.500;20220701;175034;OK;-0.500;0.500
SW_34_1L;F;-0.135;mm;OK;1;0.000;20220701;175038;OK;-1.000;1.000
SW_34_1L;G;4.401;mm;OK;1;4.000;20220701;175038;OK;-1.000;1.000
SW_34_2L;F;-0.302;mm;OK;1;0.000;20220701;175040;OK;-1.000;1.000
SW_34_2L;G;4.203;mm;OK;1;4.000;20220701;175040;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;175042;OK;-1.500;1.500
FR_6L;F;-0.118;mm;OK;1;0.000;20220701;175044;OK;-0.500;0.500
FR_6L;G;0.410;mm;OK;1;0.500;20220701;175044;OK;-0.500;0.500
SW_6L;G;5.751;mm;Rejected;1;4.500;20220701;175058;OK;-1.200;1.200
SW_9L;F;0.802;mm;OK;1;0.000;20220701;175100;OK;-1.000;1.000
SW_9L;G;4.034;mm;OK;1;4.000;20220701;175100;OK;-1.000;1.000
SW_12L;G;3.876;mm;OK;1;4.500;20220701;175102;OK;-1.200;1.200
RF_26L;F;-2.348;mm;Rejected;1;-1.000;20220701;175117;OK;-1.000;1.000
RF_26L;G;6.407;mm;OK;1;7.000;20220701;175117;OK;-1.000;1.000
RF_27L;F;-1.066;mm;Rejected;1;0.000;20220701;175119;OK;-0.500;0.500
RF_27L;G;1.231;mm;OK;1;0.500;20220701;175119;OK;-0.500;2.000
SW_29L;G;0.696;mm;OK;1;0.500;20220701;175015;OK;-0.500;0.500
SW_27_1L;F;0.088;mm;OK;1;0.000;20220701;175019;OK;-1.000;1.000
SW_27_1L;G;4.483;mm;OK;1;4.000;20220701;175019;OK;-1.000;1.000
SW_27_2L;F;0.545;mm;OK;1;0.000;20220701;175021;OK;-1.000;1.000
SW_27_2L;G;4.125;mm;OK;1;4.000;20220701;175021;OK;-1.000;1.000
SW_25L;G;0.250;mm;OK;1;0.500;20220701;175025;OK;-0.500;0.500
SW_19L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;175032;OK;-0.500;0.500
SW_17_1L;F;0.945;mm;OK;1;0.000;20220701;175035;OK;-1.000;1.000
SW_17_1L;G;4.383;mm;OK;1;4.000;20220701;175035;OK;-1.000;1.000
SW_17_2L;F;0.605;mm;OK;1;0.000;20220701;175037;OK;-1.000;1.000
SW_17_2L;G;3.236;mm;OK;1;4.000;20220701;175037;OK;-1.000;1.000
SW_16L;F;0.039;mm;OK;1;0.000;20220701;175040;OK;-1.000;1.000
SW_16L;G;2.853;mm;OK;1;4.000;20220701;175040;OK;-2.000;1.000
RF_1_1L;F;0.437;mm;Rejected;1;-1.500;20220701;175044;OK;-1.000;1.000
RF_1_1L;G;4.997;mm;Rejected;1;7.000;20220701;175044;OK;-1.500;1.500
RF_1_2L;F;0.747;mm;Rejected;1;-1.500;20220701;175046;OK;-1.000;1.000
RF_1_2L;G;4.563;mm;OK;1;5.000;20220701;175046;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175049;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175049;OK;-1.000;1.000
RR_2_2L;F;0.109;mm;Rejected;1;-1.000;20220701;175051;OK;-1.000;1.000
RR_2_2L;G;0.998;mm;Rejected;1;2.000;20220701;175051;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175052;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175052;OK;-1.000;1.000
RR_6_1L;F;5.382;mm;Rejected;1;0.500;20220701;175055;OK;-0.500;1.000
RR_6_1L;G;0.805;mm;OK;1;0.500;20220701;175055;OK;-0.500;1.000
