MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzVGK0e8A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;12.189;mm;Rejected;1;7.000;20220701;175355;OK;-1.500;1.500
FR_23L;G;2.005;mm;OK;1;2.000;20220701;175357;OK;-2.000;1.000
FR_5L;G;7.118;mm;OK;1;7.000;20220701;175400;OK;-1.500;1.500
FR_11L;G;1.086;mm;OK;1;2.000;20220701;175402;OK;-2.000;1.000
FR_12L;F;-0.714;mm;OK;1;-0.500;20220701;175407;OK;-0.500;0.500
FR_12L;G;0.569;mm;OK;1;0.500;20220701;175407;OK;-0.500;0.500
FR_9_1L;F;-0.062;mm;OK;1;0.000;20220701;175409;OK;-1.000;1.000
FR_9_1L;G;4.483;mm;OK;1;3.500;20220701;175409;OK;-1.200;1.200
FR_9_2L;F;0.212;mm;OK;1;0.000;20220701;175411;OK;-1.000;1.000
FR_9_2L;G;4.531;mm;OK;1;3.500;20220701;175411;OK;-1.200;1.200
FR_13L;G;1.245;mm;Rejected;1;0.500;20220701;175413;OK;-0.500;0.500
SW_34_1L;F;-0.146;mm;OK;1;0.000;20220701;175415;OK;-1.000;1.000
SW_34_1L;G;4.024;mm;OK;1;4.000;20220701;175415;OK;-1.000;1.000
SW_34_2L;F;-0.204;mm;OK;1;0.000;20220701;175417;OK;-1.000;1.000
SW_34_2L;G;3.982;mm;OK;1;4.000;20220701;175417;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;175419;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;175420;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;175420;OK;-0.500;0.500
SW_6L;G;5.803;mm;Rejected;1;4.500;20220701;175435;OK;-1.200;1.200
SW_9L;F;0.433;mm;OK;1;0.000;20220701;175437;OK;-1.000;1.000
SW_9L;G;4.063;mm;OK;1;4.000;20220701;175437;OK;-1.000;1.000
SW_12L;G;5.647;mm;OK;1;4.500;20220701;175440;OK;-1.200;1.200
RF_26L;F;-1.387;mm;OK;1;-1.000;20220701;175455;OK;-1.000;1.000
RF_26L;G;6.114;mm;OK;1;7.000;20220701;175455;OK;-1.000;1.000
RF_27L;F;-1.057;mm;Rejected;1;0.000;20220701;175456;OK;-0.500;0.500
RF_27L;G;0.873;mm;OK;1;0.500;20220701;175456;OK;-0.500;2.000
SW_29L;G;0.659;mm;OK;1;0.500;20220701;175353;OK;-0.500;0.500
SW_27_1L;F;-0.357;mm;OK;1;0.000;20220701;175356;OK;-1.000;1.000
SW_27_1L;G;4.287;mm;OK;1;4.000;20220701;175356;OK;-1.000;1.000
SW_27_2L;F;-0.237;mm;OK;1;0.000;20220701;175358;OK;-1.000;1.000
SW_27_2L;G;4.238;mm;OK;1;4.000;20220701;175358;OK;-1.000;1.000
SW_25L;G;0.651;mm;OK;1;0.500;20220701;175402;OK;-0.500;0.500
SW_19L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;175409;OK;-0.500;0.500
SW_17_1L;F;0.278;mm;OK;1;0.000;20220701;175412;OK;-1.000;1.000
SW_17_1L;G;4.571;mm;OK;1;4.000;20220701;175412;OK;-1.000;1.000
SW_17_2L;F;0.089;mm;OK;1;0.000;20220701;175414;OK;-1.000;1.000
SW_17_2L;G;3.596;mm;OK;1;4.000;20220701;175414;OK;-1.000;1.000
SW_16L;F;-0.223;mm;OK;1;0.000;20220701;175415;OK;-1.000;1.000
SW_16L;G;2.660;mm;OK;1;4.000;20220701;175415;OK;-2.000;1.000
RF_1_1L;F;-0.387;mm;Rejected;1;-1.500;20220701;175419;OK;-1.000;1.000
RF_1_1L;G;5.048;mm;Rejected;1;7.000;20220701;175419;OK;-1.500;1.500
RF_1_2L;F;-0.385;mm;Rejected;1;-1.500;20220701;175422;OK;-1.000;1.000
RF_1_2L;G;5.234;mm;OK;1;5.000;20220701;175422;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175424;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175424;OK;-1.000;1.000
RR_2_2L;F;-1.168;mm;OK;1;-1.000;20220701;175426;OK;-1.000;1.000
RR_2_2L;G;8.469;mm;Rejected;1;2.000;20220701;175426;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175429;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175429;OK;-1.000;1.000
RR_6_1L;F;3.735;mm;Rejected;1;0.500;20220701;175433;OK;-0.500;1.000
RR_6_1L;G;1.198;mm;OK;1;0.500;20220701;175433;OK;-0.500;1.000
RR_6_2L;F;0.437;mm;OK;1;0.500;20220701;175435;OK;-0.500;1.000
RR_6_2L;G;1.106;mm;OK;1;0.500;20220701;175435;OK;-0.500;1.000
RR_9L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;175438;OK;-0.500;0.500
RR_7_1L;G;2.478;mm;OK;1;2.000;20220701;175440;OK;-1.000;1.000
RR_7_2L;G;3.529;mm;Rejected;1;2.000;20220701;175442;OK;-1.000;1.000
RR_20_4L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220701;175445;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220701;175447;OK;-1.000;1.000
RR_5L;G;3.031;mm;Rejected;1;4.500;20220701;175449;OK;-1.200;1.200
RR_12_1L;F;-2.155;mm;Rejected;1;-4.000;20220701;175452;OK;-1.200;1.200
RR_12_1L;G;2.040;mm;OK;1;4.500;20220701;175452;OK;-3.000;1.200
RR_12_2L;F;-2.130;mm;Rejected;1;-4.000;20220701;175453;OK;-1.200;1.200
RR_12_2L;G;2.090;mm;OK;1;4.500;20220701;175453;OK;-3.000;1.200
FR_1R;G;18.129;mm;Rejected;1;7.000;20220701;175357;OK;-1.500;1.500
FR_23R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;175400;OK;0.000;0.000
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220701;175400;OK;0.000;0.000
FR_5R;G;8.646;mm;Rejected;1;7.000;20220701;175403;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175405;OK;-2.000;1.000
