MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzSWK0kwA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;4.118;mm;Rejected;1;7.000;20220701;175525;OK;-1.500;1.500
FR_23L;G;2.118;mm;OK;1;2.000;20220701;175528;OK;-2.000;1.000
FR_5L;G;6.430;mm;OK;1;7.000;20220701;175530;OK;-1.500;1.500
FR_11L;G;4.656;mm;Rejected;1;2.000;20220701;175532;OK;-2.000;1.000
FR_12L;F;0.050;mm;Rejected;1;-0.500;20220701;175537;OK;-0.500;0.500
FR_12L;G;1.018;mm;Rejected;1;0.500;20220701;175537;OK;-0.500;0.500
FR_9_1L;F;1.656;mm;Rejected;1;0.000;20220701;175539;OK;-1.000;1.000
FR_9_1L;G;4.901;mm;Rejected;1;3.500;20220701;175539;OK;-1.200;1.200
FR_9_2L;F;1.130;mm;Rejected;1;0.000;20220701;175542;OK;-1.000;1.000
FR_9_2L;G;5.342;mm;Rejected;1;3.500;20220701;175542;OK;-1.200;1.200
FR_13L;G;1.180;mm;Rejected;1;0.500;20220701;175544;OK;-0.500;0.500
SW_34_1L;F;-0.123;mm;OK;1;0.000;20220701;175545;OK;-1.000;1.000
SW_34_1L;G;4.407;mm;OK;1;4.000;20220701;175545;OK;-1.000;1.000
SW_34_2L;F;-0.311;mm;OK;1;0.000;20220701;175547;OK;-1.000;1.000
SW_34_2L;G;4.175;mm;OK;1;4.000;20220701;175547;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;175550;OK;-1.500;1.500
FR_6L;F;-0.126;mm;OK;1;0.000;20220701;175552;OK;-0.500;0.500
FR_6L;G;0.418;mm;OK;1;0.500;20220701;175552;OK;-0.500;0.500
SW_6L;G;5.760;mm;Rejected;1;4.500;20220701;175605;OK;-1.200;1.200
SW_9L;F;0.800;mm;OK;1;0.000;20220701;175607;OK;-1.000;1.000
SW_9L;G;4.036;mm;OK;1;4.000;20220701;175607;OK;-1.000;1.000
SW_12L;G;3.868;mm;OK;1;4.500;20220701;175610;OK;-1.200;1.200
RF_26L;F;-2.362;mm;Rejected;1;-1.000;20220701;175624;OK;-1.000;1.000
RF_26L;G;6.415;mm;OK;1;7.000;20220701;175624;OK;-1.000;1.000
RF_27L;F;-1.102;mm;Rejected;1;0.000;20220701;175625;OK;-0.500;0.500
RF_27L;G;1.233;mm;OK;1;0.500;20220701;175625;OK;-0.500;2.000
SW_29L;G;0.709;mm;OK;1;0.500;20220701;175523;OK;-0.500;0.500
SW_27_1L;F;0.055;mm;OK;1;0.000;20220701;175526;OK;-1.000;1.000
SW_27_1L;G;4.463;mm;OK;1;4.000;20220701;175526;OK;-1.000;1.000
SW_27_2L;F;0.553;mm;OK;1;0.000;20220701;175529;OK;-1.000;1.000
SW_27_2L;G;4.128;mm;OK;1;4.000;20220701;175529;OK;-1.000;1.000
SW_25L;G;0.460;mm;OK;1;0.500;20220701;175532;OK;-0.500;0.500
SW_19L;G;0.526;mm;OK;1;0.500;20220701;175540;OK;-0.500;0.500
SW_17_1L;F;0.951;mm;OK;1;0.000;20220701;175542;OK;-1.000;1.000
SW_17_1L;G;4.383;mm;OK;1;4.000;20220701;175542;OK;-1.000;1.000
SW_17_2L;F;0.612;mm;OK;1;0.000;20220701;175544;OK;-1.000;1.000
SW_17_2L;G;3.245;mm;OK;1;4.000;20220701;175544;OK;-1.000;1.000
SW_16L;F;-0.012;mm;OK;1;0.000;20220701;175547;OK;-1.000;1.000
SW_16L;G;2.862;mm;OK;1;4.000;20220701;175547;OK;-2.000;1.000
RF_1_1L;F;0.439;mm;Rejected;1;-1.500;20220701;175551;OK;-1.000;1.000
RF_1_1L;G;4.926;mm;Rejected;1;7.000;20220701;175551;OK;-1.500;1.500
RF_1_2L;F;0.741;mm;Rejected;1;-1.500;20220701;175555;OK;-1.000;1.000
RF_1_2L;G;4.563;mm;OK;1;5.000;20220701;175555;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175557;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175557;OK;-1.000;1.000
RR_2_2L;F;0.106;mm;Rejected;1;-1.000;20220701;175559;OK;-1.000;1.000
RR_2_2L;G;0.988;mm;Rejected;1;2.000;20220701;175559;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175600;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175600;OK;-1.000;1.000
RR_6_1L;F;5.432;mm;Rejected;1;0.500;20220701;175602;OK;-0.500;1.000
RR_6_1L;G;0.799;mm;OK;1;0.500;20220701;175602;OK;-0.500;1.000
RR_6_2L;F;3.773;mm;Rejected;1;0.500;20220701;175605;OK;-0.500;1.000
RR_6_2L;G;0.200;mm;OK;1;0.500;20220701;175605;OK;-0.500;1.000
RR_9L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;175607;OK;-0.500;0.500
RR_7_1L;G;2.900;mm;OK;1;2.000;20220701;175609;OK;-1.000;1.000
RR_7_2L;G;3.663;mm;Rejected;1;2.000;20220701;175610;OK;-1.000;1.000
RR_20_4L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220701;175611;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220701;175612;OK;-1.000;1.000
RR_5L;G;18.924;mm;Rejected;1;4.500;20220701;175615;OK;-1.200;1.200
RR_12_1L;F;-1.893;mm;Rejected;1;-4.000;20220701;175617;OK;-1.200;1.200
RR_12_1L;G;4.551;mm;OK;1;4.500;20220701;175617;OK;-3.000;1.200
RR_12_2L;F;-1.996;mm;Rejected;1;-4.000;20220701;175619;OK;-1.200;1.200
RR_12_2L;G;4.426;mm;OK;1;4.500;20220701;175619;OK;-3.000;1.200
FR_1R;G;8.186;mm;OK;1;7.000;20220701;175527;OK;-1.500;1.500
FR_23R;F;1.219;mm;Rejected;1;0.000;20220701;175530;OK;0.000;0.000
FR_23R;G;1.626;mm;Rejected;1;0.000;20220701;175530;OK;0.000;0.000
FR_5R;G;9.172;mm;Rejected;1;7.000;20220701;175533;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175536;OK;-2.000;1.000
FR_12R;F;-0.131;mm;OK;1;-0.500;20220701;175538;OK;-0.500;0.500
FR_12R;G;1.243;mm;Rejected;1;0.500;20220701;175538;OK;-0.500;0.500
FR_9_1R;F;2.850;mm;Rejected;1;0.000;20220701;175542;OK;-1.000;1.000
FR_9_1R;G;5.405;mm;Rejected;1;3.500;20220701;175542;OK;-1.200;1.200
FR_9_2R;F;1.026;mm;Rejected;1;0.000;20220701;175545;OK;-1.000;1.000
FR_9_2R;G;5.089;mm;Rejected;1;3.500;20220701;175545;OK;-1.200;1.200
FR_13R;G;0.679;mm;OK;1;0.500;20220701;175548;OK;-0.500;0.500
SW_34_1R;F;-0.677;mm;OK;1;0.000;20220701;175551;OK;-1.000;1.000
