MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzVGK0v4A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;8.576;mm;Rejected;1;7.000;20220701;175825;OK;-1.500;1.500
FR_23L;G;2.020;mm;OK;1;2.000;20220701;175827;OK;-2.000;1.000
FR_5L;G;7.361;mm;OK;1;7.000;20220701;175830;OK;-1.500;1.500
FR_11L;G;1.332;mm;OK;1;2.000;20220701;175832;OK;-2.000;1.000
FR_12L;F;-0.693;mm;OK;1;-0.500;20220701;175837;OK;-0.500;0.500
FR_12L;G;0.557;mm;OK;1;0.500;20220701;175837;OK;-0.500;0.500
FR_9_1L;F;-0.067;mm;OK;1;0.000;20220701;175840;OK;-1.000;1.000
FR_9_1L;G;4.506;mm;OK;1;3.500;20220701;175840;OK;-1.200;1.200
FR_9_2L;F;0.206;mm;OK;1;0.000;20220701;175842;OK;-1.000;1.000
FR_9_2L;G;4.532;mm;OK;1;3.500;20220701;175842;OK;-1.200;1.200
FR_13L;G;1.215;mm;Rejected;1;0.500;20220701;175844;OK;-0.500;0.500
SW_34_1L;F;-0.108;mm;OK;1;0.000;20220701;175846;OK;-1.000;1.000
SW_34_1L;G;4.046;mm;OK;1;4.000;20220701;175846;OK;-1.000;1.000
SW_34_2L;F;-0.207;mm;OK;1;0.000;20220701;175848;OK;-1.000;1.000
SW_34_2L;G;4.002;mm;OK;1;4.000;20220701;175848;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;175851;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;175852;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;175852;OK;-0.500;0.500
SW_6L;G;5.762;mm;Rejected;1;4.500;20220701;175905;OK;-1.200;1.200
SW_9L;F;0.470;mm;OK;1;0.000;20220701;175908;OK;-1.000;1.000
SW_9L;G;4.031;mm;OK;1;4.000;20220701;175908;OK;-1.000;1.000
SW_12L;G;5.621;mm;OK;1;4.500;20220701;175910;OK;-1.200;1.200
RF_26L;F;-1.403;mm;OK;1;-1.000;20220701;175924;OK;-1.000;1.000
RF_26L;G;6.150;mm;OK;1;7.000;20220701;175924;OK;-1.000;1.000
RF_27L;F;-1.057;mm;Rejected;1;0.000;20220701;175926;OK;-0.500;0.500
RF_27L;G;0.869;mm;OK;1;0.500;20220701;175926;OK;-0.500;2.000
SW_29L;G;0.666;mm;OK;1;0.500;20220701;175822;OK;-0.500;0.500
SW_27_1L;F;-0.330;mm;OK;1;0.000;20220701;175825;OK;-1.000;1.000
SW_27_1L;G;4.265;mm;OK;1;4.000;20220701;175825;OK;-1.000;1.000
SW_27_2L;F;-0.229;mm;OK;1;0.000;20220701;175828;OK;-1.000;1.000
SW_27_2L;G;4.239;mm;OK;1;4.000;20220701;175828;OK;-1.000;1.000
SW_25L;G;0.663;mm;OK;1;0.500;20220701;175832;OK;-0.500;0.500
SW_19L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;175839;OK;-0.500;0.500
SW_17_1L;F;0.268;mm;OK;1;0.000;20220701;175841;OK;-1.000;1.000
SW_17_1L;G;4.574;mm;OK;1;4.000;20220701;175841;OK;-1.000;1.000
SW_17_2L;F;0.083;mm;OK;1;0.000;20220701;175844;OK;-1.000;1.000
SW_17_2L;G;3.855;mm;OK;1;4.000;20220701;175844;OK;-1.000;1.000
SW_16L;F;-0.272;mm;OK;1;0.000;20220701;175845;OK;-1.000;1.000
SW_16L;G;2.407;mm;OK;1;4.000;20220701;175845;OK;-2.000;1.000
RF_1_1L;F;inv.;mm;UNCLASSIFIED;1;-1.500;20220701;175849;OK;-1.000;1.000
RF_1_1L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220701;175849;OK;-1.500;1.500
RF_1_2L;F;-0.385;mm;Rejected;1;-1.500;20220701;175852;OK;-1.000;1.000
RF_1_2L;G;5.240;mm;OK;1;5.000;20220701;175852;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175854;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175854;OK;-1.000;1.000
RR_2_2L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175856;OK;-1.000;1.000
RR_2_2L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175856;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;175858;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;175858;OK;-1.000;1.000
RR_6_1L;F;3.768;mm;Rejected;1;0.500;20220701;175900;OK;-0.500;1.000
RR_6_1L;G;1.184;mm;OK;1;0.500;20220701;175900;OK;-0.500;1.000
RR_6_2L;F;0.467;mm;OK;1;0.500;20220701;175902;OK;-0.500;1.000
RR_6_2L;G;1.140;mm;OK;1;0.500;20220701;175902;OK;-0.500;1.000
RR_9L;G;0.715;mm;OK;1;0.500;20220701;175905;OK;-0.500;0.500
RR_7_1L;G;2.457;mm;OK;1;2.000;20220701;175907;OK;-1.000;1.000
RR_7_2L;G;3.242;mm;Rejected;1;2.000;20220701;175909;OK;-1.000;1.000
RR_20_4L;G;1.206;mm;OK;1;1.000;20220701;175911;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220701;175913;OK;-1.000;1.000
RR_5L;G;3.078;mm;Rejected;1;4.500;20220701;175916;OK;-1.200;1.200
RR_12_1L;F;-2.157;mm;Rejected;1;-4.000;20220701;175918;OK;-1.200;1.200
RR_12_1L;G;2.027;mm;OK;1;4.500;20220701;175918;OK;-3.000;1.200
RR_12_2L;F;-2.115;mm;Rejected;1;-4.000;20220701;175920;OK;-1.200;1.200
