MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzSWK01oA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;4.130;mm;Rejected;1;7.000;20220701;175957;OK;-1.500;1.500
FR_23L;G;2.159;mm;OK;1;2.000;20220701;180000;OK;-2.000;1.000
FR_5L;G;6.771;mm;OK;1;7.000;20220701;180003;OK;-1.500;1.500
FR_11L;G;5.752;mm;Rejected;1;2.000;20220701;180004;OK;-2.000;1.000
FR_12L;F;0.092;mm;Rejected;1;-0.500;20220701;180009;OK;-0.500;0.500
FR_12L;G;1.010;mm;Rejected;1;0.500;20220701;180009;OK;-0.500;0.500
FR_9_1L;F;1.664;mm;Rejected;1;0.000;20220701;180011;OK;-1.000;1.000
FR_9_1L;G;4.912;mm;Rejected;1;3.500;20220701;180011;OK;-1.200;1.200
FR_9_2L;F;1.101;mm;Rejected;1;0.000;20220701;180014;OK;-1.000;1.000
FR_9_2L;G;5.350;mm;Rejected;1;3.500;20220701;180014;OK;-1.200;1.200
FR_13L;G;1.169;mm;Rejected;1;0.500;20220701;180016;OK;-0.500;0.500
SW_34_1L;F;-0.063;mm;OK;1;0.000;20220701;180020;OK;-1.000;1.000
SW_34_1L;G;4.442;mm;OK;1;4.000;20220701;180020;OK;-1.000;1.000
SW_34_2L;F;-0.292;mm;OK;1;0.000;20220701;180022;OK;-1.000;1.000
SW_34_2L;G;4.203;mm;OK;1;4.000;20220701;180022;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;180024;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;180025;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;180025;OK;-0.500;0.500
SW_6L;G;5.732;mm;Rejected;1;4.500;20220701;180036;OK;-1.200;1.200
SW_9L;F;0.838;mm;OK;1;0.000;20220701;180039;OK;-1.000;1.000
SW_9L;G;4.034;mm;OK;1;4.000;20220701;180039;OK;-1.000;1.000
SW_12L;G;3.847;mm;OK;1;4.500;20220701;180041;OK;-1.200;1.200
RF_26L;F;-2.380;mm;Rejected;1;-1.000;20220701;180055;OK;-1.000;1.000
RF_26L;G;6.396;mm;OK;1;7.000;20220701;180055;OK;-1.000;1.000
RF_27L;F;-1.149;mm;Rejected;1;0.000;20220701;180057;OK;-0.500;0.500
RF_27L;G;1.206;mm;OK;1;0.500;20220701;180057;OK;-0.500;2.000
SW_29L;G;0.684;mm;OK;1;0.500;20220701;175954;OK;-0.500;0.500
SW_27_1L;F;0.106;mm;OK;1;0.000;20220701;175957;OK;-1.000;1.000
SW_27_1L;G;4.490;mm;OK;1;4.000;20220701;175957;OK;-1.000;1.000
SW_27_2L;F;0.535;mm;OK;1;0.000;20220701;175959;OK;-1.000;1.000
SW_27_2L;G;4.121;mm;OK;1;4.000;20220701;175959;OK;-1.000;1.000
SW_25L;G;0.463;mm;OK;1;0.500;20220701;180004;OK;-0.500;0.500
SW_19L;G;0.411;mm;OK;1;0.500;20220701;180011;OK;-0.500;0.500
SW_17_1L;F;0.933;mm;OK;1;0.000;20220701;180013;OK;-1.000;1.000
SW_17_1L;G;4.395;mm;OK;1;4.000;20220701;180013;OK;-1.000;1.000
SW_17_2L;F;0.608;mm;OK;1;0.000;20220701;180016;OK;-1.000;1.000
SW_17_2L;G;3.251;mm;OK;1;4.000;20220701;180016;OK;-1.000;1.000
SW_16L;F;-0.028;mm;OK;1;0.000;20220701;180019;OK;-1.000;1.000
SW_16L;G;3.013;mm;OK;1;4.000;20220701;180019;OK;-2.000;1.000
RF_1_1L;F;0.493;mm;Rejected;1;-1.500;20220701;180023;OK;-1.000;1.000
RF_1_1L;G;4.968;mm;Rejected;1;7.000;20220701;180023;OK;-1.500;1.500
RF_1_2L;F;0.746;mm;Rejected;1;-1.500;20220701;180026;OK;-1.000;1.000
RF_1_2L;G;4.578;mm;OK;1;5.000;20220701;180026;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;180028;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;180028;OK;-1.000;1.000
RR_2_2L;F;0.121;mm;Rejected;1;-1.000;20220701;180030;OK;-1.000;1.000
RR_2_2L;G;1.009;mm;OK;1;2.000;20220701;180030;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;180032;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;180032;OK;-1.000;1.000
RR_6_1L;F;5.423;mm;Rejected;1;0.500;20220701;180034;OK;-0.500;1.000
RR_6_1L;G;0.826;mm;OK;1;0.500;20220701;180034;OK;-0.500;1.000
RR_6_2L;F;3.805;mm;Rejected;1;0.500;20220701;180037;OK;-0.500;1.000
RR_6_2L;G;0.235;mm;OK;1;0.500;20220701;180037;OK;-0.500;1.000
RR_9L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;180039;OK;-0.500;0.500
RR_7_1L;G;2.955;mm;OK;1;2.000;20220701;180041;OK;-1.000;1.000
RR_7_2L;G;3.956;mm;Rejected;1;2.000;20220701;180044;OK;-1.000;1.000
RR_20_4L;G;0.699;mm;OK;1;1.000;20220701;180046;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220701;180048;OK;-1.000;1.000
RR_5L;G;2.755;mm;Rejected;1;4.500;20220701;180050;OK;-1.200;1.200
RR_12_1L;F;-1.834;mm;Rejected;1;-4.000;20220701;180052;OK;-1.200;1.200
RR_12_1L;G;4.631;mm;OK;1;4.500;20220701;180052;OK;-3.000;1.200
RR_12_2L;F;-2.008;mm;Rejected;1;-4.000;20220701;180054;OK;-1.200;1.200
RR_12_2L;G;4.452;mm;OK;1;4.500;20220701;180054;OK;-3.000;1.200
FR_1R;G;6.556;mm;OK;1;7.000;20220701;175958;OK;-1.500;1.500
FR_23R;F;1.272;mm;Rejected;1;0.000;20220701;180001;OK;0.000;0.000
FR_23R;G;1.644;mm;Rejected;1;0.000;20220701;180001;OK;0.000;0.000
FR_5R;G;8.961;mm;Rejected;1;7.000;20220701;180004;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;180007;OK;-2.000;1.000
FR_12R;F;-0.140;mm;OK;1;-0.500;20220701;180009;OK;-0.500;0.500
FR_12R;G;1.252;mm;Rejected;1;0.500;20220701;180009;OK;-0.500;0.500
FR_9_1R;F;2.865;mm;Rejected;1;0.000;20220701;180011;OK;-1.000;1.000
FR_9_1R;G;5.380;mm;Rejected;1;3.500;20220701;180011;OK;-1.200;1.200
FR_9_2R;F;1.054;mm;Rejected;1;0.000;20220701;180014;OK;-1.000;1.000
FR_9_2R;G;5.107;mm;Rejected;1;3.500;20220701;180014;OK;-1.200;1.200
FR_13R;G;0.437;mm;OK;1;0.500;20220701;180016;OK;-0.500;0.500
SW_34_1R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;180020;OK;-1.000;1.000
SW_34_1R;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;180020;OK;-1.000;1.000
SW_34_2R;F;0.347;mm;OK;1;0.000;20220701;180022;OK;-1.000;1.000
SW_34_2R;G;4.873;mm;OK;1;4.000;20220701;180022;OK;-1.000;1.000
FR_7R;G;6.070;mm;Rejected;1;4.000;20220701;180024;OK;-1.500;1.500
FR_6R;F;0.299;mm;OK;1;0.000;20220701;180027;OK;-0.500;0.500
FR_6R;G;0.757;mm;OK;1;0.500;20220701;180027;OK;-0.500;0.500
SW_6R;G;inv.;mm;UNCLASSIFIED;1;4.500;20220701;180038;OK;-1.200;1.200
SW_9R;F;0.106;mm;OK;1;0.000;20220701;180041;OK;-1.000;1.000
SW_9R;G;3.571;mm;OK;1;4.000;20220701;180041;OK;-1.000;1.000
SW_12R;G;4.263;mm;OK;1;4.500;20220701;180044;OK;-1.200;1.200
FL_11_1R;F;3.800;mm;Rejected;1;-0.500;20220701;180057;OK;-1.000;1.000
FL_11_1R;G;3.680;mm;OK;1;3.000;20220701;180057;OK;-1.000;1.000
FL_11_2R;F;2.115;mm;Rejected;1;-0.500;20220701;180059;OK;-1.000;1.000
FL_11_2R;G;inv.;mm;UNCLASSIFIED;1;3.000;20220701;180059;OK;-1.000;1.000
FL_11_3R;F;0.867;mm;Rejected;1;-0.500;20220701;180102;OK;-1.000;1.000
FL_11_3R;G;1.420;mm;Rejected;1;3.000;20220701;180102;OK;-1.000;1.000
FL_11_4R;F;2.924;mm;Rejected;1;-0.500;20220701;180105;OK;-1.000;1.000
FL_11_4R;G;3.063;mm;OK;1;3.000;20220701;180105;OK;-1.000;1.000
RF_26R;F;-2.359;mm;Rejected;1;-1.000;20220701;180107;OK;-1.000;1.000
RF_26R;G;6.104;mm;OK;1;7.000;20220701;180107;OK;-1.000;1.000
RF_27R;F;-0.754;mm;Rejected;1;0.000;20220701;180109;OK;-0.500;0.500
RF_27R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;180109;OK;-0.500;2.000
SW_29R;G;0.000;mm;OK;1;0.500;20220701;175954;OK;-0.500;0.500
SW_27_1R;F;-0.343;mm;OK;1;0.000;20220701;175958;OK;-1.000;1.000
SW_27_1R;G;3.778;mm;OK;1;4.000;20220701;175958;OK;-1.000;1.000
SW_27_2R;F;0.572;mm;OK;1;0.000;20220701;180000;OK;-1.000;1.000
SW_27_2R;G;3.912;mm;OK;1;4.000;20220701;180000;OK;-1.000;1.000
SW_25R;G;0.997;mm;OK;1;0.500;20220701;180003;OK;-0.500;0.500
SW_19R;G;0.563;mm;OK;1;0.500;20220701;180010;OK;-0.500;0.500
SW_17_1R;F;-0.963;mm;OK;1;0.000;20220701;180014;OK;-1.000;1.000
SW_17_1R;G;4.165;mm;OK;1;4.000;20220701;180014;OK;-1.000;1.000
SW_17_2R;F;-0.090;mm;OK;1;0.000;20220701;180016;OK;-1.000;1.000
SW_17_2R;G;3.461;mm;OK;1;4.000;20220701;180016;OK;-1.000;1.000
SW_16R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;180018;OK;-1.000;1.000
SW_16R;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;180018;OK;-2.000;1.000
RF_1_1R;F;-0.522;mm;OK;1;-1.500;20220701;180023;OK;-1.000;1.000
RF_1_1R;G;5.638;mm;OK;1;7.000;20220701;180023;OK;-1.500;1.500
RF_1_2R;F;-0.651;mm;OK;1;-1.500;20220701;180026;OK;-1.000;1.000
RF_1_2R;G;3.562;mm;OK;1;5.000;20220701;180026;OK;-1.500;1.500
RR_2_1R;F;-1.281;mm;OK;1;-1.000;20220701;180028;OK;-1.000;1.000
