MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzVGK1A0A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;10.560;mm;Rejected;1;7.000;20220701;180256;OK;-1.500;1.500
FR_23L;G;2.020;mm;OK;1;2.000;20220701;180258;OK;-2.000;1.000
FR_5L;G;6.367;mm;OK;1;7.000;20220701;180300;OK;-1.500;1.500
FR_11L;G;1.200;mm;OK;1;2.000;20220701;180303;OK;-2.000;1.000
FR_12L;F;-0.671;mm;OK;1;-0.500;20220701;180308;OK;-0.500;0.500
FR_12L;G;0.544;mm;OK;1;0.500;20220701;180308;OK;-0.500;0.500
FR_9_1L;F;-0.088;mm;OK;1;0.000;20220701;180310;OK;-1.000;1.000
FR_9_1L;G;4.512;mm;OK;1;3.500;20220701;180310;OK;-1.200;1.200
FR_9_2L;F;0.194;mm;OK;1;0.000;20220701;180312;OK;-1.000;1.000
FR_9_2L;G;4.535;mm;OK;1;3.500;20220701;180312;OK;-1.200;1.200
FR_13L;G;1.200;mm;Rejected;1;0.500;20220701;180314;OK;-0.500;0.500
SW_34_1L;F;-0.131;mm;OK;1;0.000;20220701;180317;OK;-1.000;1.000
SW_34_1L;G;4.029;mm;OK;1;4.000;20220701;180317;OK;-1.000;1.000
SW_34_2L;F;-0.220;mm;OK;1;0.000;20220701;180318;OK;-1.000;1.000
SW_34_2L;G;3.992;mm;OK;1;4.000;20220701;180318;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220701;180321;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;180322;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220701;180322;OK;-0.500;0.500
SW_6L;G;5.814;mm;Rejected;1;4.500;20220701;180336;OK;-1.200;1.200
SW_9L;F;0.449;mm;OK;1;0.000;20220701;180338;OK;-1.000;1.000
SW_9L;G;4.010;mm;OK;1;4.000;20220701;180338;OK;-1.000;1.000
SW_12L;G;5.652;mm;OK;1;4.500;20220701;180341;OK;-1.200;1.200
RF_26L;F;unmeasured;mm;UNCLASSIFIED;1;-1.000;;;OK;-1.000;1.000
RF_26L;G;unmeasured;mm;UNCLASSIFIED;1;7.000;;;OK;-1.000;1.000
RF_27L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-0.500;0.500
RF_27L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;2.000
SW_29L;G;0.669;mm;OK;1;0.500;20220701;180253;OK;-0.500;0.500
SW_27_1L;F;-0.333;mm;OK;1;0.000;20220701;180257;OK;-1.000;1.000
SW_27_1L;G;4.282;mm;OK;1;4.000;20220701;180257;OK;-1.000;1.000
SW_27_2L;F;-0.234;mm;OK;1;0.000;20220701;180259;OK;-1.000;1.000
SW_27_2L;G;4.246;mm;OK;1;4.000;20220701;180259;OK;-1.000;1.000
SW_25L;G;0.644;mm;OK;1;0.500;20220701;180303;OK;-0.500;0.500
SW_19L;G;0.354;mm;OK;1;0.500;20220701;180310;OK;-0.500;0.500
SW_17_1L;F;0.272;mm;OK;1;0.000;20220701;180312;OK;-1.000;1.000
SW_17_1L;G;4.569;mm;OK;1;4.000;20220701;180312;OK;-1.000;1.000
SW_17_2L;F;0.084;mm;OK;1;0.000;20220701;180314;OK;-1.000;1.000
SW_17_2L;G;3.598;mm;OK;1;4.000;20220701;180314;OK;-1.000;1.000
SW_16L;F;-0.244;mm;OK;1;0.000;20220701;180317;OK;-1.000;1.000
SW_16L;G;2.552;mm;OK;1;4.000;20220701;180317;OK;-2.000;1.000
RF_1_1L;F;-0.412;mm;Rejected;1;-1.500;20220701;180320;OK;-1.000;1.000
RF_1_1L;G;5.019;mm;Rejected;1;7.000;20220701;180320;OK;-1.500;1.500
RF_1_2L;F;-0.376;mm;Rejected;1;-1.500;20220701;180322;OK;-1.000;1.000
RF_1_2L;G;5.232;mm;OK;1;5.000;20220701;180322;OK;-1.500;1.500
RR_2_1L;F;-0.398;mm;OK;1;-1.000;20220701;180325;OK;-1.000;1.000
RR_2_1L;G;3.220;mm;Rejected;1;2.000;20220701;180325;OK;-1.000;1.000
RR_2_2L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;180326;OK;-1.000;1.000
RR_2_2L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;180326;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220701;180329;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;180329;OK;-1.000;1.000
RR_6_1L;F;3.506;mm;Rejected;1;0.500;20220701;180331;OK;-0.500;1.000
RR_6_1L;G;1.173;mm;OK;1;0.500;20220701;180331;OK;-0.500;1.000
RR_6_2L;F;0.434;mm;OK;1;0.500;20220701;180333;OK;-0.500;1.000
RR_6_2L;G;1.101;mm;OK;1;0.500;20220701;180333;OK;-0.500;1.000
RR_9L;G;0.746;mm;OK;1;0.500;20220701;180335;OK;-0.500;0.500
RR_7_1L;G;2.382;mm;OK;1;2.000;20220701;180337;OK;-1.000;1.000
RR_7_2L;G;3.473;mm;Rejected;1;2.000;20220701;180339;OK;-1.000;1.000
RR_20_4L;G;unmeasured;mm;UNCLASSIFIED;1;1.000;;;OK;-1.000;1.000
RR_20_1L;G;unmeasured;mm;UNCLASSIFIED;1;1.000;;;OK;-1.000;1.000
RR_5L;G;unmeasured;mm;UNCLASSIFIED;1;4.500;;;OK;-1.200;1.200
RR_12_1L;F;unmeasured;mm;UNCLASSIFIED;1;-4.000;;;OK;-1.200;1.200
RR_12_1L;G;unmeasured;mm;UNCLASSIFIED;1;4.500;;;OK;-3.000;1.200
RR_12_2L;F;unmeasured;mm;UNCLASSIFIED;1;-4.000;;;OK;-1.200;1.200
RR_12_2L;G;unmeasured;mm;UNCLASSIFIED;1;4.500;;;OK;-3.000;1.200
FR_1R;G;18.500;mm;Rejected;1;7.000;20220701;180256;OK;-1.500;1.500
FR_23R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220701;180300;OK;0.000;0.000
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220701;180300;OK;0.000;0.000
FR_5R;G;10.043;mm;Rejected;1;7.000;20220701;180303;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220701;180305;OK;-2.000;1.000
FR_12R;F;-0.273;mm;OK;1;-0.500;20220701;180307;OK;-0.500;0.500
FR_12R;G;1.516;mm;Rejected;1;0.500;20220701;180307;OK;-0.500;0.500
FR_9_1R;F;0.665;mm;OK;1;0.000;20220701;180310;OK;-1.000;1.000
FR_9_1R;G;4.575;mm;OK;1;3.500;20220701;180310;OK;-1.200;1.200
FR_9_2R;F;-0.306;mm;OK;1;0.000;20220701;180313;OK;-1.000;1.000
FR_9_2R;G;3.921;mm;OK;1;3.500;20220701;180313;OK;-1.200;1.200
FR_13R;G;1.277;mm;Rejected;1;0.500;20220701;180315;OK;-0.500;0.500
SW_34_1R;F;-0.750;mm;OK;1;0.000;20220701;180318;OK;-1.000;1.000
SW_34_1R;G;4.536;mm;OK;1;4.000;20220701;180318;OK;-1.000;1.000
SW_34_2R;F;-0.404;mm;OK;1;0.000;20220701;180320;OK;-1.000;1.000
SW_34_2R;G;4.178;mm;OK;1;4.000;20220701;180320;OK;-1.000;1.000
FR_7R;G;0.545;mm;Rejected;1;4.000;20220701;180323;OK;-1.500;1.500
FR_6R;F;0.033;mm;OK;1;0.000;20220701;180325;OK;-0.500;0.500
FR_6R;G;0.382;mm;OK;1;0.500;20220701;180325;OK;-0.500;0.500
SW_6R;G;inv.;mm;UNCLASSIFIED;1;4.500;20220701;180337;OK;-1.200;1.200
SW_9R;F;0.471;mm;OK;1;0.000;20220701;180340;OK;-1.000;1.000
SW_9R;G;3.764;mm;OK;1;4.000;20220701;180340;OK;-1.000;1.000
SW_12R;G;2.964;mm;Rejected;1;4.500;20220701;180343;OK;-1.200;1.200
FL_11_1R;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-1.000;1.000
FL_11_1R;G;unmeasured;mm;UNCLASSIFIED;1;3.000;;;OK;-1.000;1.000
FL_11_2R;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-1.000;1.000
FL_11_2R;G;unmeasured;mm;UNCLASSIFIED;1;3.000;;;OK;-1.000;1.000
FL_11_3R;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-1.000;1.000
FL_11_3R;G;unmeasured;mm;UNCLASSIFIED;1;3.000;;;OK;-1.000;1.000
