MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzUWLJwtcA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;12.535;mm;Rejected;1;7.000;20220710;010428;OK;-1.500;1.500
FR_23L;G;2.284;mm;OK;1;2.000;20220710;010431;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;010433;OK;-1.500;1.500
FR_11L;G;5.068;mm;Rejected;1;2.000;20220710;010434;OK;-2.000;1.000
FR_12L;F;-0.691;mm;OK;1;-0.500;20220710;010440;OK;-0.500;0.500
FR_12L;G;0.461;mm;OK;1;0.500;20220710;010440;OK;-0.500;0.500
FR_9_1L;F;-0.172;mm;OK;1;0.000;20220710;010442;OK;-1.000;1.000
FR_9_1L;G;4.297;mm;OK;1;3.500;20220710;010442;OK;-1.200;1.200
FR_9_2L;F;-0.569;mm;OK;1;0.000;20220710;010444;OK;-1.000;1.000
FR_9_2L;G;3.864;mm;OK;1;3.500;20220710;010444;OK;-1.200;1.200
FR_13L;G;1.289;mm;Rejected;1;0.500;20220710;010447;OK;-0.500;0.500
SW_34_1L;F;0.046;mm;OK;1;0.000;20220710;010449;OK;-1.000;1.000
SW_34_1L;G;4.344;mm;OK;1;4.000;20220710;010449;OK;-1.000;1.000
SW_34_2L;F;-0.199;mm;OK;1;0.000;20220710;010451;OK;-1.000;1.000
SW_34_2L;G;4.205;mm;OK;1;4.000;20220710;010451;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;010454;OK;-1.500;1.500
FR_6L;F;0.121;mm;OK;1;0.000;20220710;010456;OK;-0.500;0.500
FR_6L;G;0.359;mm;OK;1;0.500;20220710;010456;OK;-0.500;0.500
SW_6L;G;4.548;mm;OK;1;4.500;20220710;010507;OK;-1.200;1.200
SW_9L;F;0.731;mm;OK;1;0.000;20220710;010510;OK;-1.000;1.000
SW_9L;G;4.826;mm;OK;1;4.000;20220710;010510;OK;-1.000;1.000
SW_12L;G;16.043;mm;Rejected;1;4.500;20220710;010512;OK;-1.200;1.200
RF_26L;F;-2.093;mm;Rejected;1;-1.000;20220710;010526;OK;-1.000;1.000
RF_26L;G;5.793;mm;Rejected;1;7.000;20220710;010526;OK;-1.000;1.000
RF_27L;F;-1.057;mm;Rejected;1;0.000;20220710;010528;OK;-0.500;0.500
RF_27L;G;0.996;mm;OK;1;0.500;20220710;010528;OK;-0.500;2.000
SW_29L;G;0.728;mm;OK;1;0.500;20220710;010425;OK;-0.500;0.500
SW_27_1L;F;0.025;mm;OK;1;0.000;20220710;010428;OK;-1.000;1.000
SW_27_1L;G;4.388;mm;OK;1;4.000;20220710;010428;OK;-1.000;1.000
SW_27_2L;F;0.327;mm;OK;1;0.000;20220710;010431;OK;-1.000;1.000
SW_27_2L;G;4.240;mm;OK;1;4.000;20220710;010431;OK;-1.000;1.000
