MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzUWLJw74A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;9.332;mm;Rejected;1;7.000;20220710;010818;OK;-1.500;1.500
FR_23L;G;2.297;mm;OK;1;2.000;20220710;010820;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;010823;OK;-1.500;1.500
FR_11L;G;0.995;mm;OK;1;2.000;20220710;010825;OK;-2.000;1.000
FR_12L;F;-0.672;mm;OK;1;-0.500;20220710;010830;OK;-0.500;0.500
FR_12L;G;0.459;mm;OK;1;0.500;20220710;010830;OK;-0.500;0.500
FR_9_1L;F;-0.168;mm;OK;1;0.000;20220710;010832;OK;-1.000;1.000
FR_9_1L;G;4.294;mm;OK;1;3.500;20220710;010832;OK;-1.200;1.200
FR_9_2L;F;-0.597;mm;OK;1;0.000;20220710;010834;OK;-1.000;1.000
FR_9_2L;G;3.857;mm;OK;1;3.500;20220710;010834;OK;-1.200;1.200
FR_13L;G;1.272;mm;Rejected;1;0.500;20220710;010836;OK;-0.500;0.500
SW_34_1L;F;0.110;mm;OK;1;0.000;20220710;010839;OK;-1.000;1.000
SW_34_1L;G;4.354;mm;OK;1;4.000;20220710;010839;OK;-1.000;1.000
SW_34_2L;F;-0.188;mm;OK;1;0.000;20220710;010842;OK;-1.000;1.000
SW_34_2L;G;4.213;mm;OK;1;4.000;20220710;010842;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;010845;OK;-1.500;1.500
FR_6L;F;0.111;mm;OK;1;0.000;20220710;010847;OK;-0.500;0.500
FR_6L;G;0.493;mm;OK;1;0.500;20220710;010847;OK;-0.500;0.500
SW_6L;G;4.510;mm;OK;1;4.500;20220710;010858;OK;-1.200;1.200
SW_9L;F;0.734;mm;OK;1;0.000;20220710;010901;OK;-1.000;1.000
SW_9L;G;4.804;mm;OK;1;4.000;20220710;010901;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220710;010904;OK;-1.200;1.200
RF_26L;F;-1.729;mm;OK;1;-1.000;20220710;010916;OK;-1.000;1.000
RF_26L;G;5.777;mm;Rejected;1;7.000;20220710;010916;OK;-1.000;1.000
RF_27L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;010919;OK;-0.500;0.500
RF_27L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;010919;OK;-0.500;2.000
SW_29L;G;0.766;mm;OK;1;0.500;20220710;010815;OK;-0.500;0.500
SW_27_1L;F;0.021;mm;OK;1;0.000;20220710;010819;OK;-1.000;1.000
SW_27_1L;G;4.424;mm;OK;1;4.000;20220710;010819;OK;-1.000;1.000
SW_27_2L;F;0.328;mm;OK;1;0.000;20220710;010821;OK;-1.000;1.000
SW_27_2L;G;4.251;mm;OK;1;4.000;20220710;010821;OK;-1.000;1.000
SW_25L;G;0.637;mm;OK;1;0.500;20220710;010825;OK;-0.500;0.500
SW_19L;G;1.171;mm;Rejected;1;0.500;20220710;010833;OK;-0.500;0.500
SW_17_1L;F;-0.147;mm;OK;1;0.000;20220710;010836;OK;-1.000;1.000
SW_17_1L;G;5.036;mm;Rejected;1;4.000;20220710;010836;OK;-1.000;1.000
SW_17_2L;F;-0.265;mm;OK;1;0.000;20220710;010838;OK;-1.000;1.000
SW_17_2L;G;4.588;mm;OK;1;4.000;20220710;010838;OK;-1.000;1.000
SW_16L;F;-0.453;mm;OK;1;0.000;20220710;010840;OK;-1.000;1.000
SW_16L;G;1.828;mm;Rejected;1;4.000;20220710;010840;OK;-2.000;1.000
RF_1_1L;F;0.219;mm;Rejected;1;-1.500;20220710;010843;OK;-1.000;1.000
RF_1_1L;G;3.841;mm;Rejected;1;7.000;20220710;010843;OK;-1.500;1.500
RF_1_2L;F;0.210;mm;Rejected;1;-1.500;20220710;010846;OK;-1.000;1.000
RF_1_2L;G;3.906;mm;OK;1;5.000;20220710;010846;OK;-1.500;1.500
RR_2_1L;F;-6.689;mm;Rejected;1;-1.000;20220710;010849;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;010849;OK;-1.000;1.000
RR_2_2L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;010850;OK;-1.000;1.000
RR_2_2L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;010850;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;010854;OK;-1.000;1.000
RR_4L;G;9.675;mm;Rejected;1;2.000;20220710;010854;OK;-1.000;1.000
RR_6_1L;F;-0.192;mm;Rejected;1;0.500;20220710;010856;OK;-0.500;1.000
RR_6_1L;G;0.730;mm;OK;1;0.500;20220710;010856;OK;-0.500;1.000
RR_6_2L;F;0.374;mm;OK;1;0.500;20220710;010859;OK;-0.500;1.000
RR_6_2L;G;0.612;mm;OK;1;0.500;20220710;010859;OK;-0.500;1.000
RR_9L;G;0.461;mm;OK;1;0.500;20220710;010901;OK;-0.500;0.500
RR_7_1L;G;2.294;mm;OK;1;2.000;20220710;010904;OK;-1.000;1.000
RR_7_2L;G;3.370;mm;Rejected;1;2.000;20220710;010907;OK;-1.000;1.000
RR_20_4L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220710;010910;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220710;010911;OK;-1.000;1.000
RR_5L;G;10.370;mm;Rejected;1;4.500;20220710;010913;OK;-1.200;1.200
RR_12_1L;F;-4.257;mm;OK;1;-4.000;20220710;010915;OK;-1.200;1.200
RR_12_1L;G;3.066;mm;OK;1;4.500;20220710;010915;OK;-3.000;1.200
RR_12_2L;F;-5.071;mm;OK;1;-4.000;20220710;010917;OK;-1.200;1.200
RR_12_2L;G;2.783;mm;OK;1;4.500;20220710;010917;OK;-3.000;1.200
FR_1R;G;17.428;mm;Rejected;1;7.000;20220710;010818;OK;-1.500;1.500
FR_23R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;010819;OK;0.000;0.000
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220710;010819;OK;0.000;0.000
FR_5R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;010822;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;010825;OK;-2.000;1.000
FR_12R;F;-0.137;mm;OK;1;-0.500;20220710;010829;OK;-0.500;0.500
FR_12R;G;0.905;mm;OK;1;0.500;20220710;010829;OK;-0.500;0.500
FR_9_1R;F;-0.184;mm;OK;1;0.000;20220710;010831;OK;-1.000;1.000
FR_9_1R;G;3.855;mm;OK;1;3.500;20220710;010831;OK;-1.200;1.200
FR_9_2R;F;-0.815;mm;OK;1;0.000;20220710;010833;OK;-1.000;1.000
FR_9_2R;G;3.046;mm;OK;1;3.500;20220710;010833;OK;-1.200;1.200
FR_13R;G;1.898;mm;Rejected;1;0.500;20220710;010835;OK;-0.500;0.500
SW_34_1R;F;0.045;mm;OK;1;0.000;20220710;010837;OK;-1.000;1.000
SW_34_1R;G;4.858;mm;OK;1;4.000;20220710;010837;OK;-1.000;1.000
SW_34_2R;F;-0.252;mm;OK;1;0.000;20220710;010840;OK;-1.000;1.000
SW_34_2R;G;4.615;mm;OK;1;4.000;20220710;010840;OK;-1.000;1.000
FR_7R;G;0.727;mm;Rejected;1;4.000;20220710;010842;OK;-1.500;1.500
FR_6R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;010844;OK;-0.500;0.500
FR_6R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;010844;OK;-0.500;0.500
SW_6R;G;3.234;mm;Rejected;1;4.500;20220710;010900;OK;-1.200;1.200
SW_9R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;010900;OK;-1.000;1.000
SW_9R;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;010900;OK;-1.000;1.000
SW_12R;G;inv.;mm;UNCLASSIFIED;1;4.500;20220710;010903;OK;-1.200;1.200
FL_11_1R;F;0.781;mm;Rejected;1;-0.500;20220710;010918;OK;-1.000;1.000
FL_11_1R;G;2.649;mm;OK;1;3.000;20220710;010918;OK;-1.000;1.000
FL_11_2R;F;inv.;mm;UNCLASSIFIED;1;-0.500;20220710;010918;OK;-1.000;1.000
FL_11_2R;G;inv.;mm;UNCLASSIFIED;1;3.000;20220710;010918;OK;-1.000;1.000
FL_11_3R;F;inv.;mm;UNCLASSIFIED;1;-0.500;20220710;010921;OK;-1.000;1.000
FL_11_3R;G;inv.;mm;UNCLASSIFIED;1;3.000;20220710;010921;OK;-1.000;1.000
FL_11_4R;F;0.398;mm;OK;1;-0.500;20220710;010924;OK;-1.000;1.000
FL_11_4R;G;2.445;mm;OK;1;3.000;20220710;010924;OK;-1.000;1.000
RF_26R;F;-0.865;mm;OK;1;-1.000;20220710;010927;OK;-1.000;1.000
RF_26R;G;5.403;mm;Rejected;1;7.000;20220710;010927;OK;-1.000;1.000
RF_27R;F;-0.707;mm;Rejected;1;0.000;20220710;010929;OK;-0.500;0.500
RF_27R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;010929;OK;-0.500;2.000
SW_29R;G;0.485;mm;OK;1;0.500;20220710;010816;OK;-0.500;0.500
SW_27_1R;F;0.038;mm;OK;1;0.000;20220710;010819;OK;-1.000;1.000
SW_27_1R;G;4.203;mm;OK;1;4.000;20220710;010819;OK;-1.000;1.000
SW_27_2R;F;0.642;mm;OK;1;0.000;20220710;010822;OK;-1.000;1.000
SW_27_2R;G;4.190;mm;OK;1;4.000;20220710;010822;OK;-1.000;1.000
SW_25R;G;0.878;mm;OK;1;0.500;20220710;010825;OK;-0.500;0.500
SW_19R;G;1.633;mm;Rejected;1;0.500;20220710;010833;OK;-0.500;0.500
SW_17_1R;F;0.005;mm;OK;1;0.000;20220710;010836;OK;-1.000;1.000
SW_17_1R;G;3.796;mm;OK;1;4.000;20220710;010836;OK;-1.000;1.000
SW_17_2R;F;0.258;mm;OK;1;0.000;20220710;010839;OK;-1.000;1.000
SW_17_2R;G;3.386;mm;OK;1;4.000;20220710;010839;OK;-1.000;1.000
SW_16R;F;0.981;mm;OK;1;0.000;20220710;010841;OK;-1.000;1.000
SW_16R;G;2.313;mm;OK;1;4.000;20220710;010841;OK;-2.000;1.000
RF_1_1R;F;-0.058;mm;Rejected;1;-1.500;20220710;010845;OK;-1.000;1.000
RF_1_1R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;010845;OK;-1.500;1.500
RF_1_2R;F;-0.303;mm;Rejected;1;-1.500;20220710;010849;OK;-1.000;1.000
RF_1_2R;G;5.693;mm;OK;1;5.000;20220710;010849;OK;-1.500;1.500
RR_2_1R;F;-5.271;mm;Rejected;1;-1.000;20220710;010853;OK;-1.000;1.000
RR_2_1R;G;20.459;mm;Rejected;1;2.000;20220710;010853;OK;-1.000;1.000
RR_2_2R;F;-6.677;mm;Rejected;1;-1.000;20220710;010857;OK;-1.000;1.000
