MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzUWLJxMkA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;1.257;mm;Rejected;1;7.000;20220710;011248;OK;-1.500;1.500
FR_23L;G;2.226;mm;OK;1;2.000;20220710;011250;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;011252;OK;-1.500;1.500
FR_11L;G;0.920;mm;OK;1;2.000;20220710;011254;OK;-2.000;1.000
FR_12L;F;-0.772;mm;OK;1;-0.500;20220710;011300;OK;-0.500;0.500
FR_12L;G;0.460;mm;OK;1;0.500;20220710;011300;OK;-0.500;0.500
FR_9_1L;F;-0.223;mm;OK;1;0.000;20220710;011302;OK;-1.000;1.000
FR_9_1L;G;4.303;mm;OK;1;3.500;20220710;011302;OK;-1.200;1.200
FR_9_2L;F;-0.503;mm;OK;1;0.000;20220710;011304;OK;-1.000;1.000
FR_9_2L;G;3.910;mm;OK;1;3.500;20220710;011304;OK;-1.200;1.200
FR_13L;G;1.294;mm;Rejected;1;0.500;20220710;011307;OK;-0.500;0.500
SW_34_1L;F;0.051;mm;OK;1;0.000;20220710;011309;OK;-1.000;1.000
SW_34_1L;G;4.328;mm;OK;1;4.000;20220710;011309;OK;-1.000;1.000
SW_34_2L;F;-0.235;mm;OK;1;0.000;20220710;011312;OK;-1.000;1.000
SW_34_2L;G;4.179;mm;OK;1;4.000;20220710;011312;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;011314;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011316;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;011316;OK;-0.500;0.500
SW_6L;G;4.665;mm;OK;1;4.500;20220710;011327;OK;-1.200;1.200
SW_9L;F;0.682;mm;OK;1;0.000;20220710;011331;OK;-1.000;1.000
SW_9L;G;4.735;mm;OK;1;4.000;20220710;011331;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220710;011333;OK;-1.200;1.200
RF_26L;F;-1.641;mm;OK;1;-1.000;20220710;011346;OK;-1.000;1.000
RF_26L;G;5.783;mm;Rejected;1;7.000;20220710;011346;OK;-1.000;1.000
RF_27L;F;-0.966;mm;Rejected;1;0.000;20220710;011348;OK;-0.500;0.500
RF_27L;G;1.020;mm;OK;1;0.500;20220710;011348;OK;-0.500;2.000
SW_29L;G;0.768;mm;OK;1;0.500;20220710;011246;OK;-0.500;0.500
SW_27_1L;F;-0.002;mm;OK;1;0.000;20220710;011249;OK;-1.000;1.000
SW_27_1L;G;4.391;mm;OK;1;4.000;20220710;011249;OK;-1.000;1.000
SW_27_2L;F;0.350;mm;OK;1;0.000;20220710;011251;OK;-1.000;1.000
SW_27_2L;G;4.230;mm;OK;1;4.000;20220710;011251;OK;-1.000;1.000
SW_25L;G;0.598;mm;OK;1;0.500;20220710;011255;OK;-0.500;0.500
SW_19L;G;1.056;mm;Rejected;1;0.500;20220710;011303;OK;-0.500;0.500
SW_17_1L;F;-0.136;mm;OK;1;0.000;20220710;011306;OK;-1.000;1.000
SW_17_1L;G;4.997;mm;OK;1;4.000;20220710;011306;OK;-1.000;1.000
SW_17_2L;F;-0.231;mm;OK;1;0.000;20220710;011308;OK;-1.000;1.000
SW_17_2L;G;4.365;mm;OK;1;4.000;20220710;011308;OK;-1.000;1.000
SW_16L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011309;OK;-1.000;1.000
SW_16L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;011309;OK;-2.000;1.000
RF_1_1L;F;0.217;mm;Rejected;1;-1.500;20220710;011311;OK;-1.000;1.000
RF_1_1L;G;3.985;mm;Rejected;1;7.000;20220710;011311;OK;-1.500;1.500
RF_1_2L;F;0.176;mm;Rejected;1;-1.500;20220710;011315;OK;-1.000;1.000
RF_1_2L;G;3.964;mm;OK;1;5.000;20220710;011315;OK;-1.500;1.500
RR_2_1L;F;-0.886;mm;OK;1;-1.000;20220710;011317;OK;-1.000;1.000
RR_2_1L;G;1.534;mm;OK;1;2.000;20220710;011317;OK;-1.000;1.000
RR_2_2L;F;0.371;mm;Rejected;1;-1.000;20220710;011318;OK;-1.000;1.000
RR_2_2L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;011318;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;011322;OK;-1.000;1.000
RR_4L;G;2.192;mm;OK;1;2.000;20220710;011322;OK;-1.000;1.000
RR_6_1L;F;-0.275;mm;Rejected;1;0.500;20220710;011325;OK;-0.500;1.000
RR_6_1L;G;0.728;mm;OK;1;0.500;20220710;011325;OK;-0.500;1.000
RR_6_2L;F;0.429;mm;OK;1;0.500;20220710;011327;OK;-0.500;1.000
RR_6_2L;G;0.604;mm;OK;1;0.500;20220710;011327;OK;-0.500;1.000
RR_9L;G;0.657;mm;OK;1;0.500;20220710;011330;OK;-0.500;0.500
RR_7_1L;G;2.253;mm;OK;1;2.000;20220710;011332;OK;-1.000;1.000
RR_7_2L;G;3.335;mm;Rejected;1;2.000;20220710;011335;OK;-1.000;1.000
RR_20_4L;G;1.563;mm;OK;1;1.000;20220710;011337;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220710;011339;OK;-1.000;1.000
RR_5L;G;11.827;mm;Rejected;1;4.500;20220710;011341;OK;-1.200;1.200
RR_12_1L;F;-4.197;mm;OK;1;-4.000;20220710;011343;OK;-1.200;1.200
RR_12_1L;G;2.913;mm;OK;1;4.500;20220710;011343;OK;-3.000;1.200
RR_12_2L;F;-5.017;mm;OK;1;-4.000;20220710;011344;OK;-1.200;1.200
RR_12_2L;G;2.810;mm;OK;1;4.500;20220710;011344;OK;-3.000;1.200
FR_1R;G;30.326;mm;Rejected;1;7.000;20220710;011247;OK;-1.500;1.500
FR_23R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011250;OK;0.000;0.000
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011250;OK;0.000;0.000
FR_5R;G;5.856;mm;OK;1;7.000;20220710;011253;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;011255;OK;-2.000;1.000
FR_12R;F;-0.224;mm;OK;1;-0.500;20220710;011259;OK;-0.500;0.500
FR_12R;G;0.899;mm;OK;1;0.500;20220710;011259;OK;-0.500;0.500
FR_9_1R;F;-0.272;mm;OK;1;0.000;20220710;011301;OK;-1.000;1.000
FR_9_1R;G;3.938;mm;OK;1;3.500;20220710;011301;OK;-1.200;1.200
FR_9_2R;F;-0.892;mm;OK;1;0.000;20220710;011303;OK;-1.000;1.000
FR_9_2R;G;2.963;mm;OK;1;3.500;20220710;011303;OK;-1.200;1.200
FR_13R;G;1.888;mm;Rejected;1;0.500;20220710;011305;OK;-0.500;0.500
SW_34_1R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011307;OK;-1.000;1.000
SW_34_1R;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;011307;OK;-1.000;1.000
SW_34_2R;F;-0.469;mm;OK;1;0.000;20220710;011309;OK;-1.000;1.000
SW_34_2R;G;4.605;mm;OK;1;4.000;20220710;011309;OK;-1.000;1.000
FR_7R;G;0.715;mm;Rejected;1;4.000;20220710;011312;OK;-1.500;1.500
FR_6R;F;-0.104;mm;OK;1;0.000;20220710;011315;OK;-0.500;0.500
FR_6R;G;0.186;mm;OK;1;0.500;20220710;011315;OK;-0.500;0.500
SW_6R;G;3.221;mm;Rejected;1;4.500;20220710;011328;OK;-1.200;1.200
SW_9R;F;1.314;mm;Rejected;1;0.000;20220710;011330;OK;-1.000;1.000
SW_9R;G;3.680;mm;OK;1;4.000;20220710;011330;OK;-1.000;1.000
SW_12R;G;2.157;mm;Rejected;1;4.500;20220710;011333;OK;-1.200;1.200
FL_11_1R;F;0.906;mm;Rejected;1;-0.500;20220710;011347;OK;-1.000;1.000
FL_11_1R;G;2.552;mm;OK;1;3.000;20220710;011347;OK;-1.000;1.000
FL_11_2R;F;0.658;mm;Rejected;1;-0.500;20220710;011349;OK;-1.000;1.000
FL_11_2R;G;1.817;mm;Rejected;1;3.000;20220710;011349;OK;-1.000;1.000
FL_11_3R;F;0.161;mm;OK;1;-0.500;20220710;011351;OK;-1.000;1.000
FL_11_3R;G;2.505;mm;OK;1;3.000;20220710;011351;OK;-1.000;1.000
FL_11_4R;F;0.425;mm;OK;1;-0.500;20220710;011353;OK;-1.000;1.000
FL_11_4R;G;2.426;mm;OK;1;3.000;20220710;011353;OK;-1.000;1.000
RF_26R;F;-0.852;mm;OK;1;-1.000;20220710;011356;OK;-1.000;1.000
RF_26R;G;5.397;mm;Rejected;1;7.000;20220710;011356;OK;-1.000;1.000
RF_27R;F;-0.718;mm;Rejected;1;0.000;20220710;011358;OK;-0.500;0.500
RF_27R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;011358;OK;-0.500;2.000
SW_29R;G;0.517;mm;OK;1;0.500;20220710;011246;OK;-0.500;0.500
SW_27_1R;F;0.081;mm;OK;1;0.000;20220710;011249;OK;-1.000;1.000
SW_27_1R;G;4.203;mm;OK;1;4.000;20220710;011249;OK;-1.000;1.000
SW_27_2R;F;0.584;mm;OK;1;0.000;20220710;011252;OK;-1.000;1.000
SW_27_2R;G;4.250;mm;OK;1;4.000;20220710;011252;OK;-1.000;1.000
SW_25R;G;0.781;mm;OK;1;0.500;20220710;011255;OK;-0.500;0.500
SW_19R;G;2.711;mm;Rejected;1;0.500;20220710;011302;OK;-0.500;0.500
SW_17_1R;F;0.040;mm;OK;1;0.000;20220710;011306;OK;-1.000;1.000
SW_17_1R;G;3.829;mm;OK;1;4.000;20220710;011306;OK;-1.000;1.000
SW_17_2R;F;0.291;mm;OK;1;0.000;20220710;011308;OK;-1.000;1.000
SW_17_2R;G;3.395;mm;OK;1;4.000;20220710;011308;OK;-1.000;1.000
SW_16R;F;0.981;mm;OK;1;0.000;20220710;011311;OK;-1.000;1.000
SW_16R;G;2.304;mm;OK;1;4.000;20220710;011311;OK;-2.000;1.000
RF_1_1R;F;-0.040;mm;Rejected;1;-1.500;20220710;011315;OK;-1.000;1.000
RF_1_1R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;011315;OK;-1.500;1.500
RF_1_2R;F;-0.228;mm;Rejected;1;-1.500;20220710;011319;OK;-1.000;1.000
RF_1_2R;G;5.458;mm;OK;1;5.000;20220710;011319;OK;-1.500;1.500
RR_2_1R;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;011320;OK;-1.000;1.000
RR_2_1R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;011320;OK;-1.000;1.000
RR_2_2R;F;-1.050;mm;OK;1;-1.000;20220710;011322;OK;-1.000;1.000
RR_2_2R;G;22.369;mm;Rejected;1;2.000;20220710;011322;OK;-1.000;1.000
RR_4R;F;-1.915;mm;OK;1;-1.000;20220710;011325;OK;-1.000;1.000
RR_4R;G;2.265;mm;OK;1;2.000;20220710;011325;OK;-1.000;1.000
RR_6_1R;F;0.247;mm;OK;1;0.500;20220710;011327;OK;-0.500;1.000
RR_6_1R;G;0.509;mm;OK;1;0.500;20220710;011327;OK;-0.500;1.000
RR_6_2R;F;-0.516;mm;Rejected;1;0.500;20220710;011329;OK;-0.500;1.000
RR_6_2R;G;0.824;mm;OK;1;0.500;20220710;011329;OK;-0.500;1.000
RR_9R;G;0.302;mm;OK;1;0.500;20220710;011330;OK;-0.500;0.500
RR_7_1R;G;3.557;mm;Rejected;1;2.000;20220710;011333;OK;-1.000;1.000
RR_7_2R;G;3.379;mm;Rejected;1;2.000;20220710;011335;OK;-1.000;1.000
RR_20_4R;G;2.519;mm;Rejected;1;1.000;20220710;011337;OK;-1.000;1.000
RR_20_1R;G;1.866;mm;OK;1;1.000;20220710;011338;OK;-1.000;1.000
RR_5R;G;5.038;mm;OK;1;4.500;20220710;011340;OK;-1.200;1.200
RR_12_1R;F;-5.529;mm;Rejected;1;-4.000;20220710;011343;OK;-1.200;1.200
RR_12_1R;G;2.970;mm;OK;1;4.500;20220710;011343;OK;-3.000;1.200
RR_12_2R;F;-5.434;mm;Rejected;1;-4.000;20220710;011344;OK;-1.200;1.200
RR_12_2R;G;2.870;mm;OK;1;4.500;20220710;011344;OK;-3.000;1.200
