MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzUWLJxdkA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;11.129;mm;Rejected;1;7.000;20220710;011718;OK;-1.500;1.500
FR_23L;G;2.010;mm;OK;1;2.000;20220710;011720;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;011722;OK;-1.500;1.500
FR_11L;G;0.985;mm;OK;1;2.000;20220710;011724;OK;-2.000;1.000
FR_12L;F;-0.748;mm;OK;1;-0.500;20220710;011730;OK;-0.500;0.500
FR_12L;G;0.477;mm;OK;1;0.500;20220710;011730;OK;-0.500;0.500
FR_9_1L;F;-0.201;mm;OK;1;0.000;20220710;011733;OK;-1.000;1.000
FR_9_1L;G;4.297;mm;OK;1;3.500;20220710;011733;OK;-1.200;1.200
FR_9_2L;F;-0.538;mm;OK;1;0.000;20220710;011735;OK;-1.000;1.000
FR_9_2L;G;3.890;mm;OK;1;3.500;20220710;011735;OK;-1.200;1.200
FR_13L;G;1.269;mm;Rejected;1;0.500;20220710;011737;OK;-0.500;0.500
SW_34_1L;F;0.054;mm;OK;1;0.000;20220710;011739;OK;-1.000;1.000
SW_34_1L;G;4.321;mm;OK;1;4.000;20220710;011739;OK;-1.000;1.000
SW_34_2L;F;-0.231;mm;OK;1;0.000;20220710;011742;OK;-1.000;1.000
SW_34_2L;G;4.194;mm;OK;1;4.000;20220710;011742;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;011745;OK;-1.500;1.500
FR_6L;F;0.118;mm;OK;1;0.000;20220710;011746;OK;-0.500;0.500
FR_6L;G;0.392;mm;OK;1;0.500;20220710;011746;OK;-0.500;0.500
SW_6L;G;4.627;mm;OK;1;4.500;20220710;011757;OK;-1.200;1.200
SW_9L;F;0.683;mm;OK;1;0.000;20220710;011801;OK;-1.000;1.000
SW_9L;G;4.743;mm;OK;1;4.000;20220710;011801;OK;-1.000;1.000
SW_12L;G;1.487;mm;Rejected;1;4.500;20220710;011803;OK;-1.200;1.200
RF_26L;F;-1.613;mm;OK;1;-1.000;20220710;011817;OK;-1.000;1.000
RF_26L;G;5.789;mm;Rejected;1;7.000;20220710;011817;OK;-1.000;1.000
RF_27L;F;-0.962;mm;Rejected;1;0.000;20220710;011819;OK;-0.500;0.500
RF_27L;G;1.010;mm;OK;1;0.500;20220710;011819;OK;-0.500;2.000
SW_29L;G;0.752;mm;OK;1;0.500;20220710;011715;OK;-0.500;0.500
SW_27_1L;F;-0.026;mm;OK;1;0.000;20220710;011719;OK;-1.000;1.000
SW_27_1L;G;4.395;mm;OK;1;4.000;20220710;011719;OK;-1.000;1.000
SW_27_2L;F;0.327;mm;OK;1;0.000;20220710;011721;OK;-1.000;1.000
SW_27_2L;G;4.225;mm;OK;1;4.000;20220710;011721;OK;-1.000;1.000
SW_25L;G;0.651;mm;OK;1;0.500;20220710;011726;OK;-0.500;0.500
SW_19L;G;1.148;mm;Rejected;1;0.500;20220710;011733;OK;-0.500;0.500
SW_17_1L;F;-0.142;mm;OK;1;0.000;20220710;011735;OK;-1.000;1.000
SW_17_1L;G;5.000;mm;OK;1;4.000;20220710;011735;OK;-1.000;1.000
SW_17_2L;F;-0.255;mm;OK;1;0.000;20220710;011738;OK;-1.000;1.000
SW_17_2L;G;4.584;mm;OK;1;4.000;20220710;011738;OK;-1.000;1.000
SW_16L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011739;OK;-1.000;1.000
SW_16L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;011739;OK;-2.000;1.000
RF_1_1L;F;0.260;mm;Rejected;1;-1.500;20220710;011743;OK;-1.000;1.000
RF_1_1L;G;3.942;mm;Rejected;1;7.000;20220710;011743;OK;-1.500;1.500
RF_1_2L;F;0.168;mm;Rejected;1;-1.500;20220710;011745;OK;-1.000;1.000
RF_1_2L;G;3.992;mm;OK;1;5.000;20220710;011745;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;011747;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;011747;OK;-1.000;1.000
RR_2_2L;F;0.935;mm;Rejected;1;-1.000;20220710;011749;OK;-1.000;1.000
RR_2_2L;G;2.585;mm;OK;1;2.000;20220710;011749;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;011752;OK;-1.000;1.000
RR_4L;G;11.393;mm;Rejected;1;2.000;20220710;011752;OK;-1.000;1.000
RR_6_1L;F;-0.244;mm;Rejected;1;0.500;20220710;011756;OK;-0.500;1.000
RR_6_1L;G;0.725;mm;OK;1;0.500;20220710;011756;OK;-0.500;1.000
RR_6_2L;F;0.421;mm;OK;1;0.500;20220710;011759;OK;-0.500;1.000
RR_6_2L;G;0.605;mm;OK;1;0.500;20220710;011759;OK;-0.500;1.000
RR_9L;G;0.417;mm;OK;1;0.500;20220710;011801;OK;-0.500;0.500
RR_7_1L;G;18.195;mm;Rejected;1;2.000;20220710;011804;OK;-1.000;1.000
RR_7_2L;G;3.286;mm;Rejected;1;2.000;20220710;011807;OK;-1.000;1.000
RR_20_4L;G;1.517;mm;OK;1;1.000;20220710;011810;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220710;011811;OK;-1.000;1.000
RR_5L;G;12.153;mm;Rejected;1;4.500;20220710;011813;OK;-1.200;1.200
RR_12_1L;F;-4.203;mm;OK;1;-4.000;20220710;011815;OK;-1.200;1.200
RR_12_1L;G;2.951;mm;OK;1;4.500;20220710;011815;OK;-3.000;1.200
RR_12_2L;F;-5.038;mm;OK;1;-4.000;20220710;011817;OK;-1.200;1.200
RR_12_2L;G;2.796;mm;OK;1;4.500;20220710;011817;OK;-3.000;1.200
FR_1R;G;30.293;mm;Rejected;1;7.000;20220710;011718;OK;-1.500;1.500
FR_23R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011720;OK;0.000;0.000
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011720;OK;0.000;0.000
FR_5R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;011723;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;011725;OK;-2.000;1.000
FR_12R;F;-0.200;mm;OK;1;-0.500;20220710;011729;OK;-0.500;0.500
FR_12R;G;0.834;mm;OK;1;0.500;20220710;011729;OK;-0.500;0.500
FR_9_1R;F;-0.244;mm;OK;1;0.000;20220710;011731;OK;-1.000;1.000
FR_9_1R;G;3.908;mm;OK;1;3.500;20220710;011731;OK;-1.200;1.200
FR_9_2R;F;-0.859;mm;OK;1;0.000;20220710;011733;OK;-1.000;1.000
FR_9_2R;G;2.969;mm;OK;1;3.500;20220710;011733;OK;-1.200;1.200
FR_13R;G;1.870;mm;Rejected;1;0.500;20220710;011736;OK;-0.500;0.500
SW_34_1R;F;-0.276;mm;OK;1;0.000;20220710;011737;OK;-1.000;1.000
SW_34_1R;G;4.841;mm;OK;1;4.000;20220710;011737;OK;-1.000;1.000
SW_34_2R;F;-0.469;mm;OK;1;0.000;20220710;011739;OK;-1.000;1.000
SW_34_2R;G;4.603;mm;OK;1;4.000;20220710;011739;OK;-1.000;1.000
FR_7R;G;3.759;mm;OK;1;4.000;20220710;011743;OK;-1.500;1.500
FR_6R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;011744;OK;-0.500;0.500
FR_6R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;011744;OK;-0.500;0.500
SW_6R;G;3.222;mm;Rejected;1;4.500;20220710;011758;OK;-1.200;1.200
SW_9R;F;1.378;mm;Rejected;1;0.000;20220710;011801;OK;-1.000;1.000
SW_9R;G;3.689;mm;OK;1;4.000;20220710;011801;OK;-1.000;1.000
SW_12R;G;2.129;mm;Rejected;1;4.500;20220710;011804;OK;-1.200;1.200
FL_11_1R;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-1.000;1.000
FL_11_1R;G;unmeasured;mm;UNCLASSIFIED;1;3.000;;;OK;-1.000;1.000
FL_11_2R;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-1.000;1.000
FL_11_2R;G;unmeasured;mm;UNCLASSIFIED;1;3.000;;;OK;-1.000;1.000
FL_11_3R;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-1.000;1.000
FL_11_3R;G;unmeasured;mm;UNCLASSIFIED;1;3.000;;;OK;-1.000;1.000
FL_11_4R;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-1.000;1.000
FL_11_4R;G;unmeasured;mm;UNCLASSIFIED;1;3.000;;;OK;-1.000;1.000
RF_26R;F;unmeasured;mm;UNCLASSIFIED;1;-1.000;;;OK;-1.000;1.000
RF_26R;G;unmeasured;mm;UNCLASSIFIED;1;7.000;;;OK;-1.000;1.000
RF_27R;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-0.500;0.500
RF_27R;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;2.000
SW_29R;G;0.495;mm;OK;1;0.500;20220710;011716;OK;-0.500;0.500
SW_27_1R;F;0.064;mm;OK;1;0.000;20220710;011719;OK;-1.000;1.000
SW_27_1R;G;4.219;mm;OK;1;4.000;20220710;011719;OK;-1.000;1.000
SW_27_2R;F;0.634;mm;OK;1;0.000;20220710;011722;OK;-1.000;1.000
SW_27_2R;G;4.221;mm;OK;1;4.000;20220710;011722;OK;-1.000;1.000
SW_25R;G;0.842;mm;OK;1;0.500;20220710;011725;OK;-0.500;0.500
SW_19R;G;1.695;mm;Rejected;1;0.500;20220710;011733;OK;-0.500;0.500
SW_17_1R;F;0.044;mm;OK;1;0.000;20220710;011737;OK;-1.000;1.000
SW_17_1R;G;3.842;mm;OK;1;4.000;20220710;011737;OK;-1.000;1.000
SW_17_2R;F;0.287;mm;OK;1;0.000;20220710;011739;OK;-1.000;1.000
