MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzUWLJx2wA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.599;mm;OK;1;7.000;20220710;012403;OK;-1.500;1.500
FR_23L;G;2.140;mm;OK;1;2.000;20220710;012405;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;012407;OK;-1.500;1.500
FR_11L;G;0.944;mm;OK;1;2.000;20220710;012410;OK;-2.000;1.000
FR_12L;F;-0.733;mm;OK;1;-0.500;20220710;012414;OK;-0.500;0.500
FR_12L;G;0.456;mm;OK;1;0.500;20220710;012414;OK;-0.500;0.500
FR_9_1L;F;-0.189;mm;OK;1;0.000;20220710;012416;OK;-1.000;1.000
FR_9_1L;G;4.307;mm;OK;1;3.500;20220710;012416;OK;-1.200;1.200
FR_9_2L;F;-0.550;mm;OK;1;0.000;20220710;012417;OK;-1.000;1.000
FR_9_2L;G;3.889;mm;OK;1;3.500;20220710;012417;OK;-1.200;1.200
FR_13L;G;1.296;mm;Rejected;1;0.500;20220710;012420;OK;-0.500;0.500
SW_34_1L;F;0.048;mm;OK;1;0.000;20220710;012422;OK;-1.000;1.000
SW_34_1L;G;4.345;mm;OK;1;4.000;20220710;012422;OK;-1.000;1.000
SW_34_2L;F;-0.233;mm;OK;1;0.000;20220710;012424;OK;-1.000;1.000
SW_34_2L;G;4.205;mm;OK;1;4.000;20220710;012424;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;012425;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;012428;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;012428;OK;-0.500;0.500
SW_6L;G;4.615;mm;OK;1;4.500;20220710;012440;OK;-1.200;1.200
SW_9L;F;0.678;mm;OK;1;0.000;20220710;012443;OK;-1.000;1.000
SW_9L;G;4.800;mm;OK;1;4.000;20220710;012443;OK;-1.000;1.000
SW_12L;G;0.000;mm;Rejected;1;4.500;20220710;012446;OK;-1.200;1.200
RF_26L;F;-1.620;mm;OK;1;-1.000;20220710;012500;OK;-1.000;1.000
RF_26L;G;5.786;mm;Rejected;1;7.000;20220710;012500;OK;-1.000;1.000
RF_27L;F;-0.969;mm;Rejected;1;0.000;20220710;012502;OK;-0.500;0.500
RF_27L;G;1.003;mm;OK;1;0.500;20220710;012502;OK;-0.500;2.000
SW_29L;G;0.802;mm;OK;1;0.500;20220710;012400;OK;-0.500;0.500
SW_27_1L;F;0.014;mm;OK;1;0.000;20220710;012404;OK;-1.000;1.000
SW_27_1L;G;4.423;mm;OK;1;4.000;20220710;012404;OK;-1.000;1.000
SW_27_2L;F;0.317;mm;OK;1;0.000;20220710;012406;OK;-1.000;1.000
SW_27_2L;G;4.235;mm;OK;1;4.000;20220710;012406;OK;-1.000;1.000
SW_25L;G;0.598;mm;OK;1;0.500;20220710;012409;OK;-0.500;0.500
SW_19L;G;1.119;mm;Rejected;1;0.500;20220710;012416;OK;-0.500;0.500
SW_17_1L;F;-0.140;mm;OK;1;0.000;20220710;012419;OK;-1.000;1.000
SW_17_1L;G;5.037;mm;Rejected;1;4.000;20220710;012419;OK;-1.000;1.000
SW_17_2L;F;-0.259;mm;OK;1;0.000;20220710;012421;OK;-1.000;1.000
SW_17_2L;G;4.297;mm;OK;1;4.000;20220710;012421;OK;-1.000;1.000
SW_16L;F;-0.440;mm;OK;1;0.000;20220710;012423;OK;-1.000;1.000
SW_16L;G;1.831;mm;Rejected;1;4.000;20220710;012423;OK;-2.000;1.000
RF_1_1L;F;0.321;mm;Rejected;1;-1.500;20220710;012425;OK;-1.000;1.000
RF_1_1L;G;3.922;mm;Rejected;1;7.000;20220710;012425;OK;-1.500;1.500
RF_1_2L;F;0.196;mm;Rejected;1;-1.500;20220710;012428;OK;-1.000;1.000
RF_1_2L;G;4.004;mm;OK;1;5.000;20220710;012428;OK;-1.500;1.500
RR_2_1L;F;-2.248;mm;Rejected;1;-1.000;20220710;012430;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;012430;OK;-1.000;1.000
RR_2_2L;F;1.651;mm;Rejected;1;-1.000;20220710;012433;OK;-1.000;1.000
RR_2_2L;G;3.539;mm;Rejected;1;2.000;20220710;012433;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;012436;OK;-1.000;1.000
RR_4L;G;13.797;mm;Rejected;1;2.000;20220710;012436;OK;-1.000;1.000
RR_6_1L;F;-0.221;mm;Rejected;1;0.500;20220710;012439;OK;-0.500;1.000
RR_6_1L;G;0.726;mm;OK;1;0.500;20220710;012439;OK;-0.500;1.000
RR_6_2L;F;0.423;mm;OK;1;0.500;20220710;012441;OK;-0.500;1.000
RR_6_2L;G;0.605;mm;OK;1;0.500;20220710;012441;OK;-0.500;1.000
RR_9L;G;0.529;mm;OK;1;0.500;20220710;012445;OK;-0.500;0.500
RR_7_1L;G;2.239;mm;OK;1;2.000;20220710;012447;OK;-1.000;1.000
RR_7_2L;G;3.274;mm;Rejected;1;2.000;20220710;012452;OK;-1.000;1.000
RR_20_4L;G;1.575;mm;OK;1;1.000;20220710;012454;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220710;012456;OK;-1.000;1.000
RR_5L;G;3.403;mm;OK;1;4.500;20220710;012458;OK;-1.200;1.200
RR_12_1L;F;-4.263;mm;OK;1;-4.000;20220710;012500;OK;-1.200;1.200
RR_12_1L;G;2.963;mm;OK;1;4.500;20220710;012500;OK;-3.000;1.200
RR_12_2L;F;-5.046;mm;OK;1;-4.000;20220710;012502;OK;-1.200;1.200
RR_12_2L;G;2.787;mm;OK;1;4.500;20220710;012502;OK;-3.000;1.200
FR_1R;G;17.465;mm;Rejected;1;7.000;20220710;012403;OK;-1.500;1.500
FR_23R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;012404;OK;0.000;0.000
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220710;012404;OK;0.000;0.000
FR_5R;G;5.540;mm;OK;1;7.000;20220710;012407;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220710;012410;OK;-2.000;1.000
FR_12R;F;-0.186;mm;OK;1;-0.500;20220710;012413;OK;-0.500;0.500
FR_12R;G;0.890;mm;OK;1;0.500;20220710;012413;OK;-0.500;0.500
FR_9_1R;F;-0.243;mm;OK;1;0.000;20220710;012416;OK;-1.000;1.000
FR_9_1R;G;3.895;mm;OK;1;3.500;20220710;012416;OK;-1.200;1.200
FR_9_2R;F;-0.858;mm;OK;1;0.000;20220710;012418;OK;-1.000;1.000
FR_9_2R;G;2.970;mm;OK;1;3.500;20220710;012418;OK;-1.200;1.200
FR_13R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;012419;OK;-0.500;0.500
SW_34_1R;F;-0.229;mm;OK;1;0.000;20220710;012423;OK;-1.000;1.000
SW_34_1R;G;4.830;mm;OK;1;4.000;20220710;012423;OK;-1.000;1.000
SW_34_2R;F;-0.448;mm;OK;1;0.000;20220710;012424;OK;-1.000;1.000
SW_34_2R;G;4.611;mm;OK;1;4.000;20220710;012424;OK;-1.000;1.000
FR_7R;G;0.718;mm;Rejected;1;4.000;20220710;012429;OK;-1.500;1.500
FR_6R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220710;012429;OK;-0.500;0.500
FR_6R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;012429;OK;-0.500;0.500
SW_6R;G;3.166;mm;Rejected;1;4.500;20220710;012441;OK;-1.200;1.200
SW_9R;F;1.289;mm;Rejected;1;0.000;20220710;012444;OK;-1.000;1.000
SW_9R;G;3.771;mm;OK;1;4.000;20220710;012444;OK;-1.000;1.000
SW_12R;G;inv.;mm;UNCLASSIFIED;1;4.500;20220710;012445;OK;-1.200;1.200
FL_11_1R;F;0.863;mm;Rejected;1;-0.500;20220710;012501;OK;-1.000;1.000
FL_11_1R;G;inv.;mm;UNCLASSIFIED;1;3.000;20220710;012501;OK;-1.000;1.000
FL_11_2R;F;inv.;mm;UNCLASSIFIED;1;-0.500;20220710;012502;OK;-1.000;1.000
FL_11_2R;G;inv.;mm;UNCLASSIFIED;1;3.000;20220710;012502;OK;-1.000;1.000
FL_11_3R;F;0.186;mm;OK;1;-0.500;20220710;012506;OK;-1.000;1.000
FL_11_3R;G;2.496;mm;OK;1;3.000;20220710;012506;OK;-1.000;1.000
FL_11_4R;F;0.410;mm;OK;1;-0.500;20220710;012507;OK;-1.000;1.000
FL_11_4R;G;2.436;mm;OK;1;3.000;20220710;012507;OK;-1.000;1.000
RF_26R;F;-0.837;mm;OK;1;-1.000;20220710;012510;OK;-1.000;1.000
RF_26R;G;5.433;mm;Rejected;1;7.000;20220710;012510;OK;-1.000;1.000
RF_27R;F;-0.715;mm;Rejected;1;0.000;20220710;012512;OK;-0.500;0.500
RF_27R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220710;012512;OK;-0.500;2.000
SW_29R;G;0.492;mm;OK;1;0.500;20220710;012401;OK;-0.500;0.500
SW_27_1R;F;0.045;mm;OK;1;0.000;20220710;012405;OK;-1.000;1.000
SW_27_1R;G;4.226;mm;OK;1;4.000;20220710;012405;OK;-1.000;1.000
SW_27_2R;F;0.657;mm;OK;1;0.000;20220710;012407;OK;-1.000;1.000
SW_27_2R;G;4.216;mm;OK;1;4.000;20220710;012407;OK;-1.000;1.000
SW_25R;G;0.865;mm;OK;1;0.500;20220710;012411;OK;-0.500;0.500
SW_19R;G;1.691;mm;Rejected;1;0.500;20220710;012416;OK;-0.500;0.500
SW_17_1R;F;0.039;mm;OK;1;0.000;20220710;012420;OK;-1.000;1.000
SW_17_1R;G;3.839;mm;OK;1;4.000;20220710;012420;OK;-1.000;1.000
SW_17_2R;F;0.289;mm;OK;1;0.000;20220710;012422;OK;-1.000;1.000
SW_17_2R;G;3.390;mm;OK;1;4.000;20220710;012422;OK;-1.000;1.000
SW_16R;F;0.988;mm;OK;1;0.000;20220710;012424;OK;-1.000;1.000
SW_16R;G;2.296;mm;OK;1;4.000;20220710;012424;OK;-2.000;1.000
RF_1_1R;F;0.057;mm;Rejected;1;-1.500;20220710;012428;OK;-1.000;1.000
RF_1_1R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;012428;OK;-1.500;1.500
RF_1_2R;F;-0.228;mm;Rejected;1;-1.500;20220710;012432;OK;-1.000;1.000
RF_1_2R;G;5.718;mm;OK;1;5.000;20220710;012432;OK;-1.500;1.500
RR_2_1R;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220710;012433;OK;-1.000;1.000
RR_2_1R;G;23.420;mm;Rejected;1;2.000;20220710;012433;OK;-1.000;1.000
RR_2_2R;F;-1.165;mm;OK;1;-1.000;20220710;012438;OK;-1.000;1.000
RR_2_2R;G;2.481;mm;OK;1;2.000;20220710;012438;OK;-1.000;1.000
RR_4R;F;-1.845;mm;OK;1;-1.000;20220710;012439;OK;-1.000;1.000
RR_4R;G;2.288;mm;OK;1;2.000;20220710;012439;OK;-1.000;1.000
RR_6_1R;F;0.281;mm;OK;1;0.500;20220710;012441;OK;-0.500;1.000
RR_6_1R;G;0.496;mm;OK;1;0.500;20220710;012441;OK;-0.500;1.000
RR_6_2R;F;-0.569;mm;Rejected;1;0.500;20220710;012444;OK;-0.500;1.000
RR_6_2R;G;0.815;mm;OK;1;0.500;20220710;012444;OK;-0.500;1.000
RR_9R;G;0.368;mm;OK;1;0.500;20220710;012446;OK;-0.500;0.500
RR_7_1R;G;3.615;mm;Rejected;1;2.000;20220710;012448;OK;-1.000;1.000
RR_7_2R;G;3.372;mm;Rejected;1;2.000;20220710;012451;OK;-1.000;1.000
RR_20_4R;G;inv.;mm;UNCLASSIFIED;1;1.000;20220710;012454;OK;-1.000;1.000
RR_20_1R;G;9.743;mm;Rejected;1;1.000;20220710;012455;OK;-1.000;1.000
RR_5R;G;3.397;mm;OK;1;4.500;20220710;012458;OK;-1.200;1.200
RR_12_1R;F;-5.572;mm;Rejected;1;-4.000;20220710;012459;OK;-1.200;1.200
RR_12_1R;G;2.965;mm;OK;1;4.500;20220710;012459;OK;-3.000;1.200
RR_12_2R;F;-5.413;mm;Rejected;1;-4.000;20220710;012501;OK;-1.200;1.200
RR_12_2R;G;2.893;mm;OK;1;4.500;20220710;012501;OK;-3.000;1.200
