MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzUWLJyHwA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.403;mm;OK;1;7.000;20220710;012833;OK;-1.500;1.500
FR_23L;G;3.658;mm;Rejected;1;2.000;20220710;012835;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220710;012838;OK;-1.500;1.500
FR_11L;G;2.149;mm;OK;1;2.000;20220710;012839;OK;-2.000;1.000
FR_12L;F;-0.695;mm;OK;1;-0.500;20220710;012845;OK;-0.500;0.500
FR_12L;G;0.447;mm;OK;1;0.500;20220710;012845;OK;-0.500;0.500
FR_9_1L;F;-0.166;mm;OK;1;0.000;20220710;012847;OK;-1.000;1.000
FR_9_1L;G;4.308;mm;OK;1;3.500;20220710;012847;OK;-1.200;1.200
FR_9_2L;F;-0.578;mm;OK;1;0.000;20220710;012849;OK;-1.000;1.000
FR_9_2L;G;3.871;mm;OK;1;3.500;20220710;012849;OK;-1.200;1.200
FR_13L;G;1.308;mm;Rejected;1;0.500;20220710;012851;OK;-0.500;0.500
SW_34_1L;F;0.062;mm;OK;1;0.000;20220710;012853;OK;-1.000;1.000
SW_34_1L;G;4.361;mm;OK;1;4.000;20220710;012853;OK;-1.000;1.000
SW_34_2L;F;-0.191;mm;OK;1;0.000;20220710;012855;OK;-1.000;1.000
SW_34_2L;G;4.205;mm;OK;1;4.000;20220710;012855;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220710;012856;OK;-1.500;1.500
FR_6L;F;0.145;mm;OK;1;0.000;20220710;012900;OK;-0.500;0.500
FR_6L;G;0.443;mm;OK;1;0.500;20220710;012900;OK;-0.500;0.500
SW_6L;G;4.543;mm;OK;1;4.500;20220710;012913;OK;-1.200;1.200
SW_9L;F;0.773;mm;OK;1;0.000;20220710;012916;OK;-1.000;1.000
SW_9L;G;4.802;mm;OK;1;4.000;20220710;012916;OK;-1.000;1.000
SW_12L;G;2.228;mm;Rejected;1;4.500;20220710;012918;OK;-1.200;1.200
RF_26L;F;-1.677;mm;OK;1;-1.000;20220710;012932;OK;-1.000;1.000
RF_26L;G;5.790;mm;Rejected;1;7.000;20220710;012932;OK;-1.000;1.000
RF_27L;F;-1.060;mm;Rejected;1;0.000;20220710;012934;OK;-0.500;0.500
