MeasPlan.Name;VF_e_34
prodnum;ABu6ngAyh2LN68A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220713;044849;OK;-1.500;1.500
FR_23L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220713;044851;OK;-2.000;1.000
FR_5L;G;7.771;mm;OK;1;7.000;20220713;044855;OK;-1.500;1.500
FR_11L;G;3.057;mm;Rejected;1;2.000;20220713;044857;OK;-2.000;1.000
FR_12L;F;0.655;mm;Rejected;1;-0.500;20220713;044903;OK;-0.500;0.500
FR_12L;G;0.943;mm;OK;1;0.500;20220713;044903;OK;-0.500;0.500
FR_9_1L;F;-0.347;mm;OK;1;0.000;20220713;044904;OK;-1.000;1.000
FR_9_1L;G;3.700;mm;OK;1;3.500;20220713;044904;OK;-1.200;1.200
FR_9_2L;F;-0.391;mm;OK;1;0.000;20220713;044907;OK;-1.000;1.000
FR_9_2L;G;3.551;mm;OK;1;3.500;20220713;044907;OK;-1.200;1.200
FR_13L;G;1.140;mm;Rejected;1;0.500;20220713;044910;OK;-0.500;0.500
SW_34_1L;F;-1.039;mm;Rejected;1;0.000;20220713;044913;OK;-1.000;1.000
SW_34_1L;G;3.320;mm;OK;1;4.000;20220713;044913;OK;-1.000;1.000
SW_34_2L;F;-0.280;mm;OK;1;0.000;20220713;044916;OK;-1.000;1.000
SW_34_2L;G;3.014;mm;OK;1;4.000;20220713;044916;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;044918;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220713;044919;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220713;044919;OK;-0.500;0.500
SW_6L;G;4.901;mm;OK;1;4.500;20220713;044929;OK;-1.200;1.200
SW_9L;F;0.222;mm;OK;1;0.000;20220713;044932;OK;-1.000;1.000
SW_9L;G;2.935;mm;Rejected;1;4.000;20220713;044932;OK;-1.000;1.000
SW_12L;G;4.754;mm;OK;1;4.500;20220713;044935;OK;-1.200;1.200
RF_26L;F;-1.056;mm;OK;1;-1.000;20220713;044948;OK;-1.000;1.000
RF_26L;G;5.245;mm;Rejected;1;7.000;20220713;044948;OK;-1.000;1.000
RF_27L;F;-1.294;mm;Rejected;1;0.000;20220713;044950;OK;-0.500;0.500
RF_27L;G;0.954;mm;OK;1;0.500;20220713;044950;OK;-0.500;2.000
SW_29L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220713;044848;OK;-0.500;0.500
SW_27_1L;F;0.187;mm;OK;1;0.000;20220713;044850;OK;-1.000;1.000
SW_27_1L;G;4.781;mm;OK;1;4.000;20220713;044850;OK;-1.000;1.000
SW_27_2L;F;0.511;mm;OK;1;0.000;20220713;044853;OK;-1.000;1.000
SW_27_2L;G;5.114;mm;Rejected;1;4.000;20220713;044853;OK;-1.000;1.000
SW_25L;G;0.790;mm;OK;1;0.500;20220713;044857;OK;-0.500;0.500
SW_19L;G;0.714;mm;OK;1;0.500;20220713;044906;OK;-0.500;0.500
SW_17_1L;F;0.975;mm;OK;1;0.000;20220713;044909;OK;-1.000;1.000
SW_17_1L;G;4.958;mm;OK;1;4.000;20220713;044909;OK;-1.000;1.000
SW_17_2L;F;0.640;mm;OK;1;0.000;20220713;044912;OK;-1.000;1.000
SW_17_2L;G;3.933;mm;OK;1;4.000;20220713;044912;OK;-1.000;1.000
SW_16L;F;0.415;mm;OK;1;0.000;20220713;044916;OK;-1.000;1.000
SW_16L;G;4.555;mm;OK;1;4.000;20220713;044916;OK;-2.000;1.000
RF_1_1L;F;1.722;mm;Rejected;1;-1.500;20220713;044924;OK;-1.000;1.000
RF_1_1L;G;6.858;mm;OK;1;7.000;20220713;044924;OK;-1.500;1.500
RF_1_2L;F;2.242;mm;Rejected;1;-1.500;20220713;044927;OK;-1.000;1.000
RF_1_2L;G;7.254;mm;Rejected;1;5.000;20220713;044927;OK;-1.500;1.500
RR_2_1L;F;-1.384;mm;OK;1;-1.000;20220713;044929;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220713;044929;OK;-1.000;1.000
RR_2_2L;F;0.863;mm;Rejected;1;-1.000;20220713;044930;OK;-1.000;1.000
RR_2_2L;G;2.253;mm;OK;1;2.000;20220713;044930;OK;-1.000;1.000
