MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLNEMA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220713;054121;OK;-1.500;1.500
FR_23L;G;1.911;mm;OK;1;2.000;20220713;054124;OK;-2.000;1.000
FR_5L;G;8.161;mm;OK;1;7.000;20220713;054125;OK;-1.500;1.500
FR_11L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220713;054126;OK;-2.000;1.000
FR_12L;F;-0.526;mm;OK;1;-0.500;20220713;054133;OK;-0.500;0.500
FR_12L;G;1.254;mm;Rejected;1;0.500;20220713;054133;OK;-0.500;0.500
FR_9_1L;F;0.434;mm;OK;1;0.000;20220713;054135;OK;-1.000;1.000
FR_9_1L;G;4.434;mm;OK;1;3.500;20220713;054135;OK;-1.200;1.200
FR_9_2L;F;0.020;mm;OK;1;0.000;20220713;054138;OK;-1.000;1.000
FR_9_2L;G;4.021;mm;OK;1;3.500;20220713;054138;OK;-1.200;1.200
FR_13L;G;1.214;mm;Rejected;1;0.500;20220713;054140;OK;-0.500;0.500
SW_34_1L;F;-0.118;mm;OK;1;0.000;20220713;054141;OK;-1.000;1.000
SW_34_1L;G;4.048;mm;OK;1;4.000;20220713;054141;OK;-1.000;1.000
SW_34_2L;F;-0.382;mm;OK;1;0.000;20220713;054143;OK;-1.000;1.000
SW_34_2L;G;3.788;mm;OK;1;4.000;20220713;054143;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;054145;OK;-1.500;1.500
FR_6L;F;0.312;mm;OK;1;0.000;20220713;054147;OK;-0.500;0.500
FR_6L;G;0.909;mm;OK;1;0.500;20220713;054147;OK;-0.500;0.500
SW_6L;G;4.267;mm;OK;1;4.500;20220713;054201;OK;-1.200;1.200
SW_9L;F;0.919;mm;OK;1;0.000;20220713;054204;OK;-1.000;1.000
SW_9L;G;3.094;mm;OK;1;4.000;20220713;054204;OK;-1.000;1.000
SW_12L;G;2.780;mm;Rejected;1;4.500;20220713;054206;OK;-1.200;1.200
RF_26L;F;-2.162;mm;Rejected;1;-1.000;20220713;054221;OK;-1.000;1.000
RF_26L;G;7.335;mm;OK;1;7.000;20220713;054221;OK;-1.000;1.000
