MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLNl0A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.686;mm;OK;1;7.000;20220713;055022;OK;-1.500;1.500
FR_23L;G;1.933;mm;OK;1;2.000;20220713;055023;OK;-2.000;1.000
FR_5L;G;inv.;mm;UNCLASSIFIED;1;7.000;20220713;055026;OK;-1.500;1.500
FR_11L;G;2.458;mm;OK;1;2.000;20220713;055028;OK;-2.000;1.000
FR_12L;F;-0.515;mm;OK;1;-0.500;20220713;055033;OK;-0.500;0.500
FR_12L;G;1.250;mm;Rejected;1;0.500;20220713;055033;OK;-0.500;0.500
FR_9_1L;F;0.439;mm;OK;1;0.000;20220713;055035;OK;-1.000;1.000
FR_9_1L;G;4.438;mm;OK;1;3.500;20220713;055035;OK;-1.200;1.200
FR_9_2L;F;0.010;mm;OK;1;0.000;20220713;055038;OK;-1.000;1.000
FR_9_2L;G;4.017;mm;OK;1;3.500;20220713;055038;OK;-1.200;1.200
FR_13L;G;1.210;mm;Rejected;1;0.500;20220713;055039;OK;-0.500;0.500
SW_34_1L;F;-0.120;mm;OK;1;0.000;20220713;055042;OK;-1.000;1.000
SW_34_1L;G;4.018;mm;OK;1;4.000;20220713;055042;OK;-1.000;1.000
SW_34_2L;F;-0.366;mm;OK;1;0.000;20220713;055045;OK;-1.000;1.000
SW_34_2L;G;3.801;mm;OK;1;4.000;20220713;055045;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;055048;OK;-1.500;1.500
FR_6L;F;0.314;mm;OK;1;0.000;20220713;055050;OK;-0.500;0.500
FR_6L;G;0.782;mm;OK;1;0.500;20220713;055050;OK;-0.500;0.500
SW_6L;G;4.250;mm;OK;1;4.500;20220713;055101;OK;-1.200;1.200
SW_9L;F;0.955;mm;OK;1;0.000;20220713;055104;OK;-1.000;1.000
SW_9L;G;3.208;mm;OK;1;4.000;20220713;055104;OK;-1.000;1.000
SW_12L;G;2.740;mm;Rejected;1;4.500;20220713;055107;OK;-1.200;1.200
RF_26L;F;-2.196;mm;Rejected;1;-1.000;20220713;055121;OK;-1.000;1.000
RF_26L;G;7.338;mm;OK;1;7.000;20220713;055121;OK;-1.000;1.000
RF_27L;F;-0.954;mm;Rejected;1;0.000;20220713;055123;OK;-0.500;0.500
RF_27L;G;1.294;mm;OK;1;0.500;20220713;055123;OK;-0.500;2.000
SW_29L;G;0.492;mm;OK;1;0.500;20220713;055019;OK;-0.500;0.500
SW_27_1L;F;0.889;mm;OK;1;0.000;20220713;055022;OK;-1.000;1.000
SW_27_1L;G;3.627;mm;OK;1;4.000;20220713;055022;OK;-1.000;1.000
SW_27_2L;F;-0.006;mm;OK;1;0.000;20220713;055025;OK;-1.000;1.000
SW_27_2L;G;3.940;mm;OK;1;4.000;20220713;055025;OK;-1.000;1.000
SW_25L;G;0.473;mm;OK;1;0.500;20220713;055029;OK;-0.500;0.500
SW_19L;G;0.305;mm;OK;1;0.500;20220713;055037;OK;-0.500;0.500
