MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLN2sA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.708;mm;OK;1;7.000;20220713;055452;OK;-1.500;1.500
FR_23L;G;1.945;mm;OK;1;2.000;20220713;055454;OK;-2.000;1.000
FR_5L;G;7.162;mm;OK;1;7.000;20220713;055456;OK;-1.500;1.500
FR_11L;G;2.445;mm;OK;1;2.000;20220713;055458;OK;-2.000;1.000
FR_12L;F;-0.510;mm;OK;1;-0.500;20220713;055504;OK;-0.500;0.500
FR_12L;G;1.251;mm;Rejected;1;0.500;20220713;055504;OK;-0.500;0.500
FR_9_1L;F;0.431;mm;OK;1;0.000;20220713;055506;OK;-1.000;1.000
FR_9_1L;G;4.437;mm;OK;1;3.500;20220713;055506;OK;-1.200;1.200
FR_9_2L;F;0.010;mm;OK;1;0.000;20220713;055508;OK;-1.000;1.000
FR_9_2L;G;4.020;mm;OK;1;3.500;20220713;055508;OK;-1.200;1.200
FR_13L;G;1.230;mm;Rejected;1;0.500;20220713;055510;OK;-0.500;0.500
SW_34_1L;F;-0.106;mm;OK;1;0.000;20220713;055513;OK;-1.000;1.000
SW_34_1L;G;4.029;mm;OK;1;4.000;20220713;055513;OK;-1.000;1.000
SW_34_2L;F;-0.351;mm;OK;1;0.000;20220713;055515;OK;-1.000;1.000
SW_34_2L;G;3.810;mm;OK;1;4.000;20220713;055515;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;055517;OK;-1.500;1.500
FR_6L;F;0.322;mm;OK;1;0.000;20220713;055518;OK;-0.500;0.500
FR_6L;G;0.787;mm;OK;1;0.500;20220713;055518;OK;-0.500;0.500
SW_6L;G;4.247;mm;OK;1;4.500;20220713;055531;OK;-1.200;1.200
SW_9L;F;0.985;mm;OK;1;0.000;20220713;055534;OK;-1.000;1.000
SW_9L;G;3.229;mm;OK;1;4.000;20220713;055534;OK;-1.000;1.000
SW_12L;G;2.753;mm;Rejected;1;4.500;20220713;055537;OK;-1.200;1.200
RF_26L;F;-2.203;mm;Rejected;1;-1.000;20220713;055550;OK;-1.000;1.000
RF_26L;G;7.339;mm;OK;1;7.000;20220713;055550;OK;-1.000;1.000
RF_27L;F;-0.876;mm;Rejected;1;0.000;20220713;055551;OK;-0.500;0.500
RF_27L;G;1.292;mm;OK;1;0.500;20220713;055551;OK;-0.500;2.000
SW_29L;G;0.496;mm;OK;1;0.500;20220713;055449;OK;-0.500;0.500
SW_27_1L;F;0.884;mm;OK;1;0.000;20220713;055453;OK;-1.000;1.000
SW_27_1L;G;3.628;mm;OK;1;4.000;20220713;055453;OK;-1.000;1.000
SW_27_2L;F;-0.010;mm;OK;1;0.000;20220713;055455;OK;-1.000;1.000
SW_27_2L;G;3.945;mm;OK;1;4.000;20220713;055455;OK;-1.000;1.000
SW_25L;G;0.529;mm;OK;1;0.500;20220713;055500;OK;-0.500;0.500
SW_19L;G;0.362;mm;OK;1;0.500;20220713;055506;OK;-0.500;0.500
SW_17_1L;F;0.893;mm;OK;1;0.000;20220713;055509;OK;-1.000;1.000
SW_17_1L;G;5.169;mm;Rejected;1;4.000;20220713;055509;OK;-1.000;1.000
SW_17_2L;F;0.465;mm;OK;1;0.000;20220713;055511;OK;-1.000;1.000
SW_17_2L;G;4.734;mm;OK;1;4.000;20220713;055511;OK;-1.000;1.000
