MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLN_HwA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.677;mm;OK;1;7.000;20220713;055922;OK;-1.500;1.500
FR_23L;G;1.956;mm;OK;1;2.000;20220713;055924;OK;-2.000;1.000
FR_5L;G;7.144;mm;OK;1;7.000;20220713;055926;OK;-1.500;1.500
FR_11L;G;2.477;mm;OK;1;2.000;20220713;055928;OK;-2.000;1.000
FR_12L;F;-0.494;mm;OK;1;-0.500;20220713;055933;OK;-0.500;0.500
FR_12L;G;1.253;mm;Rejected;1;0.500;20220713;055933;OK;-0.500;0.500
FR_9_1L;F;0.450;mm;OK;1;0.000;20220713;055936;OK;-1.000;1.000
FR_9_1L;G;4.439;mm;OK;1;3.500;20220713;055936;OK;-1.200;1.200
FR_9_2L;F;-0.008;mm;OK;1;0.000;20220713;055938;OK;-1.000;1.000
FR_9_2L;G;4.002;mm;OK;1;3.500;20220713;055938;OK;-1.200;1.200
FR_13L;G;1.241;mm;Rejected;1;0.500;20220713;055940;OK;-0.500;0.500
SW_34_1L;F;-0.075;mm;OK;1;0.000;20220713;055943;OK;-1.000;1.000
SW_34_1L;G;4.008;mm;OK;1;4.000;20220713;055943;OK;-1.000;1.000
SW_34_2L;F;-0.335;mm;OK;1;0.000;20220713;055946;OK;-1.000;1.000
SW_34_2L;G;3.810;mm;OK;1;4.000;20220713;055946;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;055949;OK;-1.500;1.500
FR_6L;F;0.311;mm;OK;1;0.000;20220713;055951;OK;-0.500;0.500
FR_6L;G;0.696;mm;OK;1;0.500;20220713;055951;OK;-0.500;0.500
SW_6L;G;4.221;mm;OK;1;4.500;20220713;060001;OK;-1.200;1.200
SW_9L;F;0.926;mm;OK;1;0.000;20220713;060007;OK;-1.000;1.000
SW_9L;G;3.279;mm;OK;1;4.000;20220713;060007;OK;-1.000;1.000
SW_12L;G;2.813;mm;Rejected;1;4.500;20220713;060008;OK;-1.200;1.200
RF_26L;F;-2.262;mm;Rejected;1;-1.000;20220713;060022;OK;-1.000;1.000
RF_26L;G;7.330;mm;OK;1;7.000;20220713;060022;OK;-1.000;1.000
RF_27L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220713;060024;OK;-0.500;0.500
RF_27L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220713;060024;OK;-0.500;2.000
SW_29L;G;0.512;mm;OK;1;0.500;20220713;055919;OK;-0.500;0.500
SW_27_1L;F;0.881;mm;OK;1;0.000;20220713;055922;OK;-1.000;1.000
SW_27_1L;G;3.611;mm;OK;1;4.000;20220713;055922;OK;-1.000;1.000
SW_27_2L;F;-0.006;mm;OK;1;0.000;20220713;055925;OK;-1.000;1.000
SW_27_2L;G;3.954;mm;OK;1;4.000;20220713;055925;OK;-1.000;1.000
SW_25L;G;0.497;mm;OK;1;0.500;20220713;055929;OK;-0.500;0.500
SW_19L;G;0.317;mm;OK;1;0.500;20220713;055936;OK;-0.500;0.500
SW_17_1L;F;0.905;mm;OK;1;0.000;20220713;055939;OK;-1.000;1.000
SW_17_1L;G;5.164;mm;Rejected;1;4.000;20220713;055939;OK;-1.000;1.000
SW_17_2L;F;0.484;mm;OK;1;0.000;20220713;055941;OK;-1.000;1.000
SW_17_2L;G;4.990;mm;OK;1;4.000;20220713;055941;OK;-1.000;1.000
SW_16L;F;-0.542;mm;OK;1;0.000;20220713;055944;OK;-1.000;1.000
SW_16L;G;2.433;mm;OK;1;4.000;20220713;055944;OK;-2.000;1.000
RF_1_1L;F;-0.075;mm;Rejected;1;-1.500;20220713;055950;OK;-1.000;1.000
RF_1_1L;G;3.981;mm;Rejected;1;7.000;20220713;055950;OK;-1.500;1.500
RF_1_2L;F;-0.065;mm;Rejected;1;-1.500;20220713;055953;OK;-1.000;1.000
RF_1_2L;G;3.811;mm;OK;1;5.000;20220713;055953;OK;-1.500;1.500
RR_2_1L;F;-0.882;mm;OK;1;-1.000;20220713;055956;OK;-1.000;1.000
RR_2_1L;G;6.075;mm;Rejected;1;2.000;20220713;055956;OK;-1.000;1.000
RR_2_2L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220713;055957;OK;-1.000;1.000
RR_2_2L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220713;055957;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220713;060000;OK;-1.000;1.000
RR_4L;G;2.558;mm;OK;1;2.000;20220713;060000;OK;-1.000;1.000
RR_6_1L;F;0.744;mm;OK;1;0.500;20220713;060006;OK;-0.500;1.000
RR_6_1L;G;1.055;mm;OK;1;0.500;20220713;060006;OK;-0.500;1.000
RR_6_2L;F;0.003;mm;OK;1;0.500;20220713;060008;OK;-0.500;1.000
RR_6_2L;G;0.236;mm;OK;1;0.500;20220713;060008;OK;-0.500;1.000
RR_9L;G;0.548;mm;OK;1;0.500;20220713;060011;OK;-0.500;0.500
RR_7_1L;G;5.065;mm;Rejected;1;2.000;20220713;060013;OK;-1.000;1.000
RR_7_2L;G;3.055;mm;Rejected;1;2.000;20220713;060016;OK;-1.000;1.000
RR_20_4L;G;1.220;mm;OK;1;1.000;20220713;060019;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220713;060020;OK;-1.000;1.000
RR_5L;G;4.830;mm;OK;1;4.500;20220713;060022;OK;-1.200;1.200
RR_12_1L;F;inv.;mm;UNCLASSIFIED;1;-4.000;20220713;060024;OK;-1.200;1.200
RR_12_1L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220713;060024;OK;-3.000;1.200
RR_12_2L;F;-4.995;mm;OK;1;-4.000;20220713;060026;OK;-1.200;1.200
RR_12_2L;G;2.816;mm;OK;1;4.500;20220713;060026;OK;-3.000;1.200
FR_1R;G;23.880;mm;Rejected;1;7.000;20220713;055922;OK;-1.500;1.500
FR_23R;F;inv.;mm;UNCLASSIFIED;1;0.000;20220713;055924;OK;0.000;0.000
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220713;055924;OK;0.000;0.000
FR_5R;G;7.473;mm;OK;1;7.000;20220713;055929;OK;-1.500;1.500
FR_11R;G;0.176;mm;OK;1;2.000;20220713;055931;OK;-2.000;1.000
FR_12R;F;0.367;mm;Rejected;1;-0.500;20220713;055933;OK;-0.500;0.500
FR_12R;G;0.566;mm;OK;1;0.500;20220713;055933;OK;-0.500;0.500
FR_9_1R;F;0.335;mm;OK;1;0.000;20220713;055935;OK;-1.000;1.000
FR_9_1R;G;4.344;mm;OK;1;3.500;20220713;055935;OK;-1.200;1.200
FR_9_2R;F;-0.383;mm;OK;1;0.000;20220713;055938;OK;-1.000;1.000
FR_9_2R;G;3.948;mm;OK;1;3.500;20220713;055938;OK;-1.200;1.200
FR_13R;G;0.939;mm;OK;1;0.500;20220713;055942;OK;-0.500;0.500
SW_34_1R;F;-0.494;mm;OK;1;0.000;20220713;055945;OK;-1.000;1.000
SW_34_1R;G;4.512;mm;OK;1;4.000;20220713;055945;OK;-1.000;1.000
SW_34_2R;F;-0.419;mm;OK;1;0.000;20220713;055947;OK;-1.000;1.000
SW_34_2R;G;4.423;mm;OK;1;4.000;20220713;055947;OK;-1.000;1.000
FR_7R;G;0.701;mm;Rejected;1;4.000;20220713;055949;OK;-1.500;1.500
FR_6R;F;0.035;mm;OK;1;0.000;20220713;055952;OK;-0.500;0.500
FR_6R;G;0.012;mm;OK;1;0.500;20220713;055952;OK;-0.500;0.500
SW_6R;G;3.871;mm;OK;1;4.500;20220713;060002;OK;-1.200;1.200
SW_9R;F;0.068;mm;OK;1;0.000;20220713;060005;OK;-1.000;1.000
SW_9R;G;4.364;mm;OK;1;4.000;20220713;060005;OK;-1.000;1.000
