MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLN_ZgA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.683;mm;OK;1;7.000;20220713;060408;OK;-1.500;1.500
FR_23L;G;1.925;mm;OK;1;2.000;20220713;060413;OK;-2.000;1.000
FR_5L;G;7.296;mm;OK;1;7.000;20220713;060415;OK;-1.500;1.500
FR_11L;G;2.426;mm;OK;1;2.000;20220713;060418;OK;-2.000;1.000
FR_12L;F;-0.561;mm;OK;1;-0.500;20220713;060421;OK;-0.500;0.500
FR_12L;G;1.239;mm;Rejected;1;0.500;20220713;060421;OK;-0.500;0.500
FR_9_1L;F;0.409;mm;OK;1;0.000;20220713;060423;OK;-1.000;1.000
FR_9_1L;G;4.446;mm;OK;1;3.500;20220713;060423;OK;-1.200;1.200
FR_9_2L;F;0.047;mm;OK;1;0.000;20220713;060427;OK;-1.000;1.000
FR_9_2L;G;4.045;mm;OK;1;3.500;20220713;060427;OK;-1.200;1.200
FR_13L;G;1.176;mm;Rejected;1;0.500;20220713;060429;OK;-0.500;0.500
SW_34_1L;F;-0.164;mm;OK;1;0.000;20220713;060431;OK;-1.000;1.000
SW_34_1L;G;4.047;mm;OK;1;4.000;20220713;060431;OK;-1.000;1.000
SW_34_2L;F;-0.366;mm;OK;1;0.000;20220713;060434;OK;-1.000;1.000
SW_34_2L;G;3.794;mm;OK;1;4.000;20220713;060434;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;060437;OK;-1.500;1.500
FR_6L;F;0.293;mm;OK;1;0.000;20220713;060440;OK;-0.500;0.500
FR_6L;G;0.830;mm;OK;1;0.500;20220713;060440;OK;-0.500;0.500
SW_6L;G;4.312;mm;OK;1;4.500;20220713;060447;OK;-1.200;1.200
SW_9L;F;0.920;mm;OK;1;0.000;20220713;060450;OK;-1.000;1.000
SW_9L;G;3.223;mm;OK;1;4.000;20220713;060450;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220713;060453;OK;-1.200;1.200
RF_26L;F;-2.169;mm;Rejected;1;-1.000;20220713;060506;OK;-1.000;1.000
RF_26L;G;7.347;mm;OK;1;7.000;20220713;060506;OK;-1.000;1.000
RF_27L;F;-0.990;mm;Rejected;1;0.000;20220713;060508;OK;-0.500;0.500
RF_27L;G;1.299;mm;OK;1;0.500;20220713;060508;OK;-0.500;2.000
SW_29L;G;0.497;mm;OK;1;0.500;20220713;060404;OK;-0.500;0.500
SW_27_1L;F;0.853;mm;OK;1;0.000;20220713;060408;OK;-1.000;1.000
