MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLN_qAA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.671;mm;OK;1;7.000;20220713;060832;OK;-1.500;1.500
FR_23L;G;1.898;mm;OK;1;2.000;20220713;060834;OK;-2.000;1.000
FR_5L;G;7.357;mm;OK;1;7.000;20220713;060837;OK;-1.500;1.500
FR_11L;G;2.473;mm;OK;1;2.000;20220713;060839;OK;-2.000;1.000
FR_12L;F;-0.532;mm;OK;1;-0.500;20220713;060844;OK;-0.500;0.500
FR_12L;G;1.251;mm;Rejected;1;0.500;20220713;060844;OK;-0.500;0.500
FR_9_1L;F;0.412;mm;OK;1;0.000;20220713;060846;OK;-1.000;1.000
FR_9_1L;G;4.437;mm;OK;1;3.500;20220713;060846;OK;-1.200;1.200
FR_9_2L;F;0.034;mm;OK;1;0.000;20220713;060849;OK;-1.000;1.000
FR_9_2L;G;4.035;mm;OK;1;3.500;20220713;060849;OK;-1.200;1.200
FR_13L;G;1.193;mm;Rejected;1;0.500;20220713;060851;OK;-0.500;0.500
SW_34_1L;F;-0.147;mm;OK;1;0.000;20220713;060853;OK;-1.000;1.000
SW_34_1L;G;4.019;mm;OK;1;4.000;20220713;060853;OK;-1.000;1.000
SW_34_2L;F;-0.386;mm;OK;1;0.000;20220713;060856;OK;-1.000;1.000
SW_34_2L;G;3.794;mm;OK;1;4.000;20220713;060856;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;060859;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220713;060901;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220713;060901;OK;-0.500;0.500
SW_6L;G;4.266;mm;OK;1;4.500;20220713;060912;OK;-1.200;1.200
SW_9L;F;0.931;mm;OK;1;0.000;20220713;060914;OK;-1.000;1.000
SW_9L;G;3.170;mm;OK;1;4.000;20220713;060914;OK;-1.000;1.000
SW_12L;G;2.786;mm;Rejected;1;4.500;20220713;060917;OK;-1.200;1.200
RF_26L;F;-2.140;mm;Rejected;1;-1.000;20220713;060931;OK;-1.000;1.000
RF_26L;G;7.343;mm;OK;1;7.000;20220713;060931;OK;-1.000;1.000
RF_27L;F;-0.964;mm;Rejected;1;0.000;20220713;060933;OK;-0.500;0.500
RF_27L;G;1.298;mm;OK;1;0.500;20220713;060933;OK;-0.500;2.000
SW_29L;G;0.518;mm;OK;1;0.500;20220713;060829;OK;-0.500;0.500
SW_27_1L;F;0.845;mm;OK;1;0.000;20220713;060833;OK;-1.000;1.000
SW_27_1L;G;3.659;mm;OK;1;4.000;20220713;060833;OK;-1.000;1.000
SW_27_2L;F;-0.005;mm;OK;1;0.000;20220713;060835;OK;-1.000;1.000
SW_27_2L;G;3.929;mm;OK;1;4.000;20220713;060835;OK;-1.000;1.000
SW_25L;G;0.460;mm;OK;1;0.500;20220713;060840;OK;-0.500;0.500
SW_19L;G;0.314;mm;OK;1;0.500;20220713;060847;OK;-0.500;0.500
SW_17_1L;F;0.908;mm;OK;1;0.000;20220713;060850;OK;-1.000;1.000
SW_17_1L;G;5.173;mm;Rejected;1;4.000;20220713;060850;OK;-1.000;1.000
SW_17_2L;F;0.468;mm;OK;1;0.000;20220713;060853;OK;-1.000;1.000
SW_17_2L;G;4.399;mm;OK;1;4.000;20220713;060853;OK;-1.000;1.000
SW_16L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220713;060854;OK;-1.000;1.000
SW_16L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220713;060854;OK;-2.000;1.000
RF_1_1L;F;0.009;mm;Rejected;1;-1.500;20220713;060856;OK;-1.000;1.000
RF_1_1L;G;4.125;mm;Rejected;1;7.000;20220713;060856;OK;-1.500;1.500
RF_1_2L;F;-0.058;mm;Rejected;1;-1.500;20220713;060900;OK;-1.000;1.000
RF_1_2L;G;3.841;mm;OK;1;5.000;20220713;060900;OK;-1.500;1.500
RR_2_1L;F;-1.229;mm;OK;1;-1.000;20220713;060903;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220713;060903;OK;-1.000;1.000
RR_2_2L;F;-0.758;mm;OK;1;-1.000;20220713;060904;OK;-1.000;1.000
RR_2_2L;G;1.433;mm;OK;1;2.000;20220713;060904;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220713;060907;OK;-1.000;1.000
RR_4L;G;1.401;mm;OK;1;2.000;20220713;060907;OK;-1.000;1.000
RR_6_1L;F;0.631;mm;OK;1;0.500;20220713;060913;OK;-0.500;1.000
RR_6_1L;G;1.015;mm;OK;1;0.500;20220713;060913;OK;-0.500;1.000
RR_6_2L;F;0.044;mm;OK;1;0.500;20220713;060915;OK;-0.500;1.000
RR_6_2L;G;0.247;mm;OK;1;0.500;20220713;060915;OK;-0.500;1.000
RR_9L;G;0.411;mm;OK;1;0.500;20220713;060918;OK;-0.500;0.500
RR_7_1L;G;1.343;mm;OK;1;2.000;20220713;060920;OK;-1.000;1.000
RR_7_2L;G;3.055;mm;Rejected;1;2.000;20220713;060923;OK;-1.000;1.000
RR_20_4L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220713;060926;OK;-1.000;1.000
RR_20_1L;G;12.676;mm;Rejected;1;1.000;20220713;060928;OK;-1.000;1.000
RR_5L;G;4.455;mm;OK;1;4.500;20220713;060931;OK;-1.200;1.200
RR_12_1L;F;-3.803;mm;OK;1;-4.000;20220713;060933;OK;-1.200;1.200
RR_12_1L;G;2.969;mm;OK;1;4.500;20220713;060933;OK;-3.000;1.200
RR_12_2L;F;-4.961;mm;OK;1;-4.000;20220713;060934;OK;-1.200;1.200
RR_12_2L;G;2.857;mm;OK;1;4.500;20220713;060934;OK;-3.000;1.200
FR_1R;G;17.789;mm;Rejected;1;7.000;20220713;060832;OK;-1.500;1.500
FR_23R;F;0.529;mm;Rejected;1;0.000;20220713;060835;OK;0.000;0.000
FR_23R;G;1.559;mm;Rejected;1;0.000;20220713;060835;OK;0.000;0.000
FR_5R;G;8.191;mm;OK;1;7.000;20220713;060838;OK;-1.500;1.500
FR_11R;G;0.518;mm;OK;1;2.000;20220713;060841;OK;-2.000;1.000
FR_12R;F;0.344;mm;Rejected;1;-0.500;20220713;060843;OK;-0.500;0.500
FR_12R;G;0.580;mm;OK;1;0.500;20220713;060843;OK;-0.500;0.500
FR_9_1R;F;0.289;mm;OK;1;0.000;20220713;060846;OK;-1.000;1.000
FR_9_1R;G;4.374;mm;OK;1;3.500;20220713;060846;OK;-1.200;1.200
FR_9_2R;F;-0.468;mm;OK;1;0.000;20220713;060848;OK;-1.000;1.000
