MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLQOz4A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.809;mm;OK;1;7.000;20220714;225140;OK;-1.500;1.500
FR_23L;G;1.878;mm;OK;1;2.000;20220714;225142;OK;-2.000;1.000
FR_5L;G;7.457;mm;OK;1;7.000;20220714;225144;OK;-1.500;1.500
FR_11L;G;2.446;mm;OK;1;2.000;20220714;225147;OK;-2.000;1.000
FR_12L;F;-0.529;mm;OK;1;-0.500;20220714;225152;OK;-0.500;0.500
FR_12L;G;1.249;mm;Rejected;1;0.500;20220714;225152;OK;-0.500;0.500
FR_9_1L;F;0.528;mm;OK;1;0.000;20220714;225155;OK;-1.000;1.000
FR_9_1L;G;4.494;mm;OK;1;3.500;20220714;225155;OK;-1.200;1.200
FR_9_2L;F;0.049;mm;OK;1;0.000;20220714;225158;OK;-1.000;1.000
FR_9_2L;G;4.054;mm;OK;1;3.500;20220714;225158;OK;-1.200;1.200
FR_13L;G;1.233;mm;Rejected;1;0.500;20220714;225201;OK;-0.500;0.500
SW_34_1L;F;-0.105;mm;OK;1;0.000;20220714;225204;OK;-1.000;1.000
SW_34_1L;G;4.013;mm;OK;1;4.000;20220714;225204;OK;-1.000;1.000
SW_34_2L;F;-0.350;mm;OK;1;0.000;20220714;225207;OK;-1.000;1.000
SW_34_2L;G;3.787;mm;OK;1;4.000;20220714;225207;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;225211;OK;-1.500;1.500
FR_6L;F;0.322;mm;OK;1;0.000;20220714;225213;OK;-0.500;0.500
FR_6L;G;0.757;mm;OK;1;0.500;20220714;225213;OK;-0.500;0.500
SW_6L;G;4.223;mm;OK;1;4.500;20220714;225221;OK;-1.200;1.200
SW_9L;F;1.029;mm;Rejected;1;0.000;20220714;225223;OK;-1.000;1.000
SW_9L;G;3.189;mm;OK;1;4.000;20220714;225223;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220714;225226;OK;-1.200;1.200
RF_26L;F;-2.528;mm;Rejected;1;-1.000;20220714;225239;OK;-1.000;1.000
RF_26L;G;7.343;mm;OK;1;7.000;20220714;225239;OK;-1.000;1.000
RF_27L;F;-0.912;mm;Rejected;1;0.000;20220714;225241;OK;-0.500;0.500
RF_27L;G;1.285;mm;OK;1;0.500;20220714;225241;OK;-0.500;2.000
SW_29L;G;0.489;mm;OK;1;0.500;20220714;225138;OK;-0.500;0.500
SW_27_1L;F;0.895;mm;OK;1;0.000;20220714;225141;OK;-1.000;1.000
SW_27_1L;G;3.628;mm;OK;1;4.000;20220714;225141;OK;-1.000;1.000
SW_27_2L;F;-0.004;mm;OK;1;0.000;20220714;225143;OK;-1.000;1.000
SW_27_2L;G;3.953;mm;OK;1;4.000;20220714;225143;OK;-1.000;1.000
SW_25L;G;0.474;mm;OK;1;0.500;20220714;225147;OK;-0.500;0.500
SW_19L;G;0.323;mm;OK;1;0.500;20220714;225155;OK;-0.500;0.500
SW_17_1L;F;0.894;mm;OK;1;0.000;20220714;225157;OK;-1.000;1.000
SW_17_1L;G;5.162;mm;Rejected;1;4.000;20220714;225157;OK;-1.000;1.000
SW_17_2L;F;0.460;mm;OK;1;0.000;20220714;225159;OK;-1.000;1.000
SW_17_2L;G;4.716;mm;OK;1;4.000;20220714;225159;OK;-1.000;1.000
SW_16L;F;-0.546;mm;OK;1;0.000;20220714;225201;OK;-1.000;1.000
SW_16L;G;2.662;mm;OK;1;4.000;20220714;225201;OK;-2.000;1.000
RF_1_1L;F;0.010;mm;Rejected;1;-1.500;20220714;225205;OK;-1.000;1.000
RF_1_1L;G;4.079;mm;Rejected;1;7.000;20220714;225205;OK;-1.500;1.500
RF_1_2L;F;-0.056;mm;Rejected;1;-1.500;20220714;225207;OK;-1.000;1.000
RF_1_2L;G;3.837;mm;OK;1;5.000;20220714;225207;OK;-1.500;1.500
RR_2_1L;F;-3.852;mm;Rejected;1;-1.000;20220714;225209;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220714;225209;OK;-1.000;1.000
RR_2_2L;F;-0.331;mm;OK;1;-1.000;20220714;225211;OK;-1.000;1.000
RR_2_2L;G;10.424;mm;Rejected;1;2.000;20220714;225211;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220714;225214;OK;-1.000;1.000
RR_4L;G;11.313;mm;Rejected;1;2.000;20220714;225214;OK;-1.000;1.000
RR_6_1L;F;0.571;mm;OK;1;0.500;20220714;225216;OK;-0.500;1.000
RR_6_1L;G;1.031;mm;OK;1;0.500;20220714;225216;OK;-0.500;1.000
RR_6_2L;F;0.006;mm;OK;1;0.500;20220714;225219;OK;-0.500;1.000
RR_6_2L;G;0.271;mm;OK;1;0.500;20220714;225219;OK;-0.500;1.000
RR_9L;G;0.438;mm;OK;1;0.500;20220714;225222;OK;-0.500;0.500
RR_7_1L;G;1.359;mm;OK;1;2.000;20220714;225223;OK;-1.000;1.000
RR_7_2L;G;3.017;mm;Rejected;1;2.000;20220714;225225;OK;-1.000;1.000
RR_20_4L;G;1.238;mm;OK;1;1.000;20220714;225229;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220714;225231;OK;-1.000;1.000
RR_5L;G;16.074;mm;Rejected;1;4.500;20220714;225234;OK;-1.200;1.200
RR_12_1L;F;-3.740;mm;OK;1;-4.000;20220714;225236;OK;-1.200;1.200
RR_12_1L;G;2.977;mm;OK;1;4.500;20220714;225236;OK;-3.000;1.200
RR_12_2L;F;-5.020;mm;OK;1;-4.000;20220714;225237;OK;-1.200;1.200
RR_12_2L;G;2.763;mm;OK;1;4.500;20220714;225237;OK;-3.000;1.200
FR_1R;G;14.433;mm;Rejected;1;7.000;20220714;225140;OK;-1.500;1.500
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220714;225142;OK;0.000;0.000
FR_5R;G;8.005;mm;OK;1;7.000;20220714;225146;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220714;225148;OK;-2.000;1.000
FR_12R;F;0.335;mm;Rejected;1;-0.500;20220714;225152;OK;-0.500;0.500
FR_12R;G;0.558;mm;OK;1;0.500;20220714;225152;OK;-0.500;0.500
FR_9_1R;F;0.350;mm;OK;1;0.000;20220714;225155;OK;-1.000;1.000
FR_9_1R;G;4.329;mm;OK;1;3.500;20220714;225155;OK;-1.200;1.200
FR_9_2R;F;-0.403;mm;OK;1;0.000;20220714;225158;OK;-1.000;1.000
FR_9_2R;G;3.915;mm;OK;1;3.500;20220714;225158;OK;-1.200;1.200
FR_13R;G;0.898;mm;OK;1;0.500;20220714;225202;OK;-0.500;0.500
SW_34_1R;F;-0.600;mm;OK;1;0.000;20220714;225206;OK;-1.000;1.000
