MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLQPE4A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.819;mm;OK;1;7.000;20220714;225610;OK;-1.500;1.500
FR_23L;G;1.870;mm;OK;1;2.000;20220714;225613;OK;-2.000;1.000
FR_5L;G;7.525;mm;OK;1;7.000;20220714;225615;OK;-1.500;1.500
FR_11L;G;6.080;mm;Rejected;1;2.000;20220714;225617;OK;-2.000;1.000
FR_12L;F;-0.569;mm;OK;1;-0.500;20220714;225623;OK;-0.500;0.500
FR_12L;G;1.239;mm;Rejected;1;0.500;20220714;225623;OK;-0.500;0.500
FR_9_1L;F;0.524;mm;OK;1;0.000;20220714;225625;OK;-1.000;1.000
FR_9_1L;G;4.490;mm;OK;1;3.500;20220714;225625;OK;-1.200;1.200
FR_9_2L;F;0.095;mm;OK;1;0.000;20220714;225628;OK;-1.000;1.000
FR_9_2L;G;4.075;mm;OK;1;3.500;20220714;225628;OK;-1.200;1.200
FR_13L;G;1.194;mm;Rejected;1;0.500;20220714;225632;OK;-0.500;0.500
SW_34_1L;F;-0.153;mm;OK;1;0.000;20220714;225634;OK;-1.000;1.000
SW_34_1L;G;4.033;mm;OK;1;4.000;20220714;225634;OK;-1.000;1.000
SW_34_2L;F;-0.375;mm;OK;1;0.000;20220714;225637;OK;-1.000;1.000
SW_34_2L;G;3.784;mm;OK;1;4.000;20220714;225637;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;225639;OK;-1.500;1.500
FR_6L;F;inv.;mm;UNCLASSIFIED;1;0.000;20220714;225641;OK;-0.500;0.500
FR_6L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220714;225641;OK;-0.500;0.500
SW_6L;G;3.798;mm;OK;1;4.500;20220714;225650;OK;-1.200;1.200
SW_9L;F;1.116;mm;Rejected;1;0.000;20220714;225653;OK;-1.000;1.000
SW_9L;G;3.402;mm;OK;1;4.000;20220714;225653;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220714;225656;OK;-1.200;1.200
RF_26L;F;-2.148;mm;Rejected;1;-1.000;20220714;225709;OK;-1.000;1.000
RF_26L;G;7.316;mm;OK;1;7.000;20220714;225709;OK;-1.000;1.000
RF_27L;F;-0.936;mm;Rejected;1;0.000;20220714;225711;OK;-0.500;0.500
RF_27L;G;1.294;mm;OK;1;0.500;20220714;225711;OK;-0.500;2.000
