MeasPlan.Name;VF_e_34
prodnum;ABu6ngAxcGLQPmcA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.786;mm;OK;1;7.000;20220714;230512;OK;-1.500;1.500
FR_23L;G;1.874;mm;OK;1;2.000;20220714;230514;OK;-2.000;1.000
FR_5L;G;7.495;mm;OK;1;7.000;20220714;230516;OK;-1.500;1.500
FR_11L;G;2.463;mm;OK;1;2.000;20220714;230518;OK;-2.000;1.000
FR_12L;F;-0.527;mm;OK;1;-0.500;20220714;230522;OK;-0.500;0.500
FR_12L;G;1.257;mm;Rejected;1;0.500;20220714;230522;OK;-0.500;0.500
FR_9_1L;F;0.517;mm;OK;1;0.000;20220714;230525;OK;-1.000;1.000
FR_9_1L;G;4.494;mm;OK;1;3.500;20220714;230525;OK;-1.200;1.200
FR_9_2L;F;0.082;mm;OK;1;0.000;20220714;230527;OK;-1.000;1.000
FR_9_2L;G;4.073;mm;OK;1;3.500;20220714;230527;OK;-1.200;1.200
FR_13L;G;1.197;mm;Rejected;1;0.500;20220714;230529;OK;-0.500;0.500
SW_34_1L;F;-0.137;mm;OK;1;0.000;20220714;230531;OK;-1.000;1.000
SW_34_1L;G;4.003;mm;OK;1;4.000;20220714;230531;OK;-1.000;1.000
SW_34_2L;F;-0.372;mm;OK;1;0.000;20220714;230534;OK;-1.000;1.000
SW_34_2L;G;3.785;mm;OK;1;4.000;20220714;230534;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;230537;OK;-1.500;1.500
FR_6L;F;0.316;mm;OK;1;0.000;20220714;230538;OK;-0.500;0.500
FR_6L;G;0.830;mm;OK;1;0.500;20220714;230538;OK;-0.500;0.500
SW_6L;G;3.801;mm;OK;1;4.500;20220714;230550;OK;-1.200;1.200
SW_9L;F;1.108;mm;Rejected;1;0.000;20220714;230552;OK;-1.000;1.000
SW_9L;G;3.392;mm;OK;1;4.000;20220714;230552;OK;-1.000;1.000
SW_12L;G;2.736;mm;Rejected;1;4.500;20220714;230555;OK;-1.200;1.200
RF_26L;F;-2.481;mm;Rejected;1;-1.000;20220714;230610;OK;-1.000;1.000
RF_26L;G;7.330;mm;OK;1;7.000;20220714;230610;OK;-1.000;1.000
