MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLQQIAA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.654;mm;OK;1;7.000;20220714;231413;OK;-1.500;1.500
FR_23L;G;2.585;mm;OK;1;2.000;20220714;231415;OK;-2.000;1.000
FR_5L;G;7.010;mm;OK;1;7.000;20220714;231417;OK;-1.500;1.500
FR_11L;G;2.058;mm;OK;1;2.000;20220714;231420;OK;-2.000;1.000
FR_12L;F;-0.155;mm;OK;1;-0.500;20220714;231424;OK;-0.500;0.500
FR_12L;G;0.556;mm;OK;1;0.500;20220714;231424;OK;-0.500;0.500
FR_9_1L;F;-0.229;mm;OK;1;0.000;20220714;231427;OK;-1.000;1.000
FR_9_1L;G;4.633;mm;OK;1;3.500;20220714;231427;OK;-1.200;1.200
FR_9_2L;F;0.014;mm;OK;1;0.000;20220714;231430;OK;-1.000;1.000
FR_9_2L;G;4.482;mm;OK;1;3.500;20220714;231430;OK;-1.200;1.200
FR_13L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220714;231433;OK;-0.500;0.500
SW_34_1L;F;-0.148;mm;OK;1;0.000;20220714;231436;OK;-1.000;1.000
SW_34_1L;G;3.893;mm;OK;1;4.000;20220714;231436;OK;-1.000;1.000
SW_34_2L;F;-0.194;mm;OK;1;0.000;20220714;231438;OK;-1.000;1.000
SW_34_2L;G;3.782;mm;OK;1;4.000;20220714;231438;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;231441;OK;-1.500;1.500
FR_6L;F;0.290;mm;OK;1;0.000;20220714;231443;OK;-0.500;0.500
FR_6L;G;0.916;mm;OK;1;0.500;20220714;231443;OK;-0.500;0.500
SW_6L;G;4.661;mm;OK;1;4.500;20220714;231451;OK;-1.200;1.200
SW_9L;F;1.243;mm;Rejected;1;0.000;20220714;231455;OK;-1.000;1.000
SW_9L;G;4.454;mm;OK;1;4.000;20220714;231455;OK;-1.000;1.000
SW_12L;G;3.244;mm;Rejected;1;4.500;20220714;231458;OK;-1.200;1.200
RF_26L;F;-1.960;mm;OK;1;-1.000;20220714;231511;OK;-1.000;1.000
RF_26L;G;6.280;mm;OK;1;7.000;20220714;231511;OK;-1.000;1.000
RF_27L;F;-0.334;mm;OK;1;0.000;20220714;231513;OK;-0.500;0.500
RF_27L;G;1.449;mm;OK;1;0.500;20220714;231513;OK;-0.500;2.000
SW_29L;G;0.635;mm;OK;1;0.500;20220714;231409;OK;-0.500;0.500
SW_27_1L;F;0.506;mm;OK;1;0.000;20220714;231412;OK;-1.000;1.000
SW_27_1L;G;4.587;mm;OK;1;4.000;20220714;231412;OK;-1.000;1.000
SW_27_2L;F;0.875;mm;OK;1;0.000;20220714;231415;OK;-1.000;1.000
SW_27_2L;G;4.228;mm;OK;1;4.000;20220714;231415;OK;-1.000;1.000
SW_25L;G;0.049;mm;OK;1;0.500;20220714;231419;OK;-0.500;0.500
SW_19L;G;0.293;mm;OK;1;0.500;20220714;231426;OK;-0.500;0.500
SW_17_1L;F;1.060;mm;Rejected;1;0.000;20220714;231428;OK;-1.000;1.000
SW_17_1L;G;4.398;mm;OK;1;4.000;20220714;231428;OK;-1.000;1.000
SW_17_2L;F;0.754;mm;OK;1;0.000;20220714;231431;OK;-1.000;1.000
SW_17_2L;G;3.445;mm;OK;1;4.000;20220714;231431;OK;-1.000;1.000
SW_16L;F;-0.170;mm;OK;1;0.000;20220714;231433;OK;-1.000;1.000
SW_16L;G;4.557;mm;OK;1;4.000;20220714;231433;OK;-2.000;1.000
RF_1_1L;F;-0.347;mm;Rejected;1;-1.500;20220714;231437;OK;-1.000;1.000
RF_1_1L;G;3.613;mm;Rejected;1;7.000;20220714;231437;OK;-1.500;1.500
RF_1_2L;F;-0.429;mm;Rejected;1;-1.500;20220714;231439;OK;-1.000;1.000
RF_1_2L;G;3.598;mm;OK;1;5.000;20220714;231439;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220714;231441;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220714;231441;OK;-1.000;1.000
RR_2_2L;F;-0.107;mm;OK;1;-1.000;20220714;231442;OK;-1.000;1.000
RR_2_2L;G;0.894;mm;Rejected;1;2.000;20220714;231442;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220714;231444;OK;-1.000;1.000
RR_4L;G;2.746;mm;OK;1;2.000;20220714;231444;OK;-1.000;1.000
RR_6_1L;F;-0.120;mm;Rejected;1;0.500;20220714;231446;OK;-0.500;1.000
RR_6_1L;G;0.197;mm;OK;1;0.500;20220714;231446;OK;-0.500;1.000
RR_6_2L;F;2.333;mm;Rejected;1;0.500;20220714;231448;OK;-0.500;1.000
RR_6_2L;G;0.000;mm;OK;1;0.500;20220714;231448;OK;-0.500;1.000
RR_9L;G;0.525;mm;OK;1;0.500;20220714;231451;OK;-0.500;0.500
RR_7_1L;G;1.715;mm;OK;1;2.000;20220714;231453;OK;-1.000;1.000
RR_7_2L;G;1.880;mm;OK;1;2.000;20220714;231455;OK;-1.000;1.000
RR_20_4L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220714;231458;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220714;231500;OK;-1.000;1.000
RR_5L;G;4.334;mm;OK;1;4.500;20220714;231503;OK;-1.200;1.200
RR_12_1L;F;-4.944;mm;OK;1;-4.000;20220714;231505;OK;-1.200;1.200
RR_12_1L;G;2.202;mm;OK;1;4.500;20220714;231505;OK;-3.000;1.200
RR_12_2L;F;-4.276;mm;OK;1;-4.000;20220714;231507;OK;-1.200;1.200
RR_12_2L;G;2.472;mm;OK;1;4.500;20220714;231507;OK;-3.000;1.200
FR_1R;G;7.913;mm;OK;1;7.000;20220714;231412;OK;-1.500;1.500
FR_23R;G;inv.;mm;UNCLASSIFIED;1;0.000;20220714;231414;OK;0.000;0.000
FR_5R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220714;231418;OK;-1.500;1.500
FR_11R;G;2.012;mm;OK;1;2.000;20220714;231420;OK;-2.000;1.000
FR_12R;F;-0.239;mm;OK;1;-0.500;20220714;231424;OK;-0.500;0.500
FR_12R;G;1.366;mm;Rejected;1;0.500;20220714;231424;OK;-0.500;0.500
FR_9_1R;F;-0.581;mm;OK;1;0.000;20220714;231426;OK;-1.000;1.000
FR_9_1R;G;3.721;mm;OK;1;3.500;20220714;231426;OK;-1.200;1.200
FR_9_2R;F;-0.618;mm;OK;1;0.000;20220714;231429;OK;-1.000;1.000
FR_9_2R;G;2.883;mm;OK;1;3.500;20220714;231429;OK;-1.200;1.200
FR_13R;G;0.730;mm;OK;1;0.500;20220714;231432;OK;-0.500;0.500
SW_34_1R;F;-0.147;mm;OK;1;0.000;20220714;231436;OK;-1.000;1.000
SW_34_1R;G;4.907;mm;OK;1;4.000;20220714;231436;OK;-1.000;1.000
SW_34_2R;F;-0.772;mm;OK;1;0.000;20220714;231439;OK;-1.000;1.000
SW_34_2R;G;4.839;mm;OK;1;4.000;20220714;231439;OK;-1.000;1.000
FR_7R;G;5.779;mm;Rejected;1;4.000;20220714;231441;OK;-1.500;1.500
FR_6R;F;0.006;mm;OK;1;0.000;20220714;231445;OK;-0.500;0.500
FR_6R;G;0.054;mm;OK;1;0.500;20220714;231445;OK;-0.500;0.500
SW_6R;G;inv.;mm;UNCLASSIFIED;1;4.500;20220714;231453;OK;-1.200;1.200
SW_9R;F;0.285;mm;OK;1;0.000;20220714;231457;OK;-1.000;1.000
SW_9R;G;4.597;mm;OK;1;4.000;20220714;231457;OK;-1.000;1.000
SW_12R;G;1.145;mm;Rejected;1;4.500;20220714;231459;OK;-1.200;1.200
FL_11_1R;F;2.195;mm;Rejected;1;-0.500;20220714;231513;OK;-1.000;1.000
FL_11_1R;G;2.839;mm;OK;1;3.000;20220714;231513;OK;-1.000;1.000
FL_11_2R;F;0.967;mm;Rejected;1;-0.500;20220714;231515;OK;-1.000;1.000
FL_11_2R;G;1.469;mm;Rejected;1;3.000;20220714;231515;OK;-1.000;1.000
FL_11_3R;F;0.925;mm;Rejected;1;-0.500;20220714;231517;OK;-1.000;1.000
FL_11_3R;G;2.047;mm;OK;1;3.000;20220714;231517;OK;-1.000;1.000
FL_11_4R;F;1.137;mm;Rejected;1;-0.500;20220714;231519;OK;-1.000;1.000
FL_11_4R;G;2.705;mm;OK;1;3.000;20220714;231519;OK;-1.000;1.000
RF_26R;F;-1.989;mm;OK;1;-1.000;20220714;231522;OK;-1.000;1.000
RF_26R;G;5.826;mm;Rejected;1;7.000;20220714;231522;OK;-1.000;1.000
RF_27R;F;-0.922;mm;Rejected;1;0.000;20220714;231525;OK;-0.500;0.500
RF_27R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220714;231525;OK;-0.500;2.000
SW_29R;G;0.545;mm;OK;1;0.500;20220714;231410;OK;-0.500;0.500
SW_27_1R;F;0.087;mm;OK;1;0.000;20220714;231413;OK;-1.000;1.000
SW_27_1R;G;3.894;mm;OK;1;4.000;20220714;231413;OK;-1.000;1.000
SW_27_2R;F;1.023;mm;Rejected;1;0.000;20220714;231416;OK;-1.000;1.000
SW_27_2R;G;3.933;mm;OK;1;4.000;20220714;231416;OK;-1.000;1.000
SW_25R;G;0.740;mm;OK;1;0.500;20220714;231418;OK;-0.500;0.500
SW_19R;G;0.532;mm;OK;1;0.500;20220714;231426;OK;-0.500;0.500
SW_17_1R;F;-0.531;mm;OK;1;0.000;20220714;231430;OK;-1.000;1.000
SW_17_1R;G;4.090;mm;OK;1;4.000;20220714;231430;OK;-1.000;1.000
SW_17_2R;F;0.492;mm;OK;1;0.000;20220714;231432;OK;-1.000;1.000
SW_17_2R;G;3.431;mm;OK;1;4.000;20220714;231432;OK;-1.000;1.000
SW_16R;F;0.335;mm;OK;1;0.000;20220714;231434;OK;-1.000;1.000
SW_16R;G;2.668;mm;OK;1;4.000;20220714;231434;OK;-2.000;1.000
RF_1_1R;F;0.244;mm;Rejected;1;-1.500;20220714;231439;OK;-1.000;1.000
RF_1_1R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220714;231439;OK;-1.500;1.500
RF_1_2R;F;0.622;mm;Rejected;1;-1.500;20220714;231442;OK;-1.000;1.000
RF_1_2R;G;5.122;mm;OK;1;5.000;20220714;231442;OK;-1.500;1.500
RR_2_1R;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220714;231444;OK;-1.000;1.000
RR_2_1R;G;1.988;mm;OK;1;2.000;20220714;231444;OK;-1.000;1.000
RR_2_2R;F;-5.529;mm;Rejected;1;-1.000;20220714;231445;OK;-1.000;1.000
RR_2_2R;G;21.286;mm;Rejected;1;2.000;20220714;231445;OK;-1.000;1.000
RR_4R;F;-0.384;mm;OK;1;-1.000;20220714;231447;OK;-1.000;1.000
RR_4R;G;2.599;mm;OK;1;2.000;20220714;231447;OK;-1.000;1.000
RR_6_1R;F;-0.324;mm;Rejected;1;0.500;20220714;231449;OK;-0.500;1.000
RR_6_1R;G;0.000;mm;OK;1;0.500;20220714;231449;OK;-0.500;1.000
RR_6_2R;F;-0.678;mm;Rejected;1;0.500;20220714;231452;OK;-0.500;1.000
RR_6_2R;G;0.310;mm;OK;1;0.500;20220714;231452;OK;-0.500;1.000
RR_9R;G;0.380;mm;OK;1;0.500;20220714;231454;OK;-0.500;0.500
RR_7_1R;G;4.234;mm;Rejected;1;2.000;20220714;231456;OK;-1.000;1.000
RR_7_2R;G;3.197;mm;Rejected;1;2.000;20220714;231500;OK;-1.000;1.000
RR_20_4R;G;1.368;mm;OK;1;1.000;20220714;231504;OK;-1.000;1.000
RR_20_1R;G;inv.;mm;UNCLASSIFIED;1;1.000;20220714;231504;OK;-1.000;1.000
RR_5R;G;6.554;mm;Rejected;1;4.500;20220714;231506;OK;-1.200;1.200
RR_12_1R;F;-4.332;mm;OK;1;-4.000;20220714;231508;OK;-1.200;1.200
RR_12_1R;G;4.022;mm;OK;1;4.500;20220714;231508;OK;-3.000;1.200
RR_12_2R;F;-3.164;mm;OK;1;-4.000;20220714;231510;OK;-1.200;1.200
RR_12_2R;G;3.711;mm;OK;1;4.500;20220714;231510;OK;-3.000;1.200
