MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLQQp4A
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.628;mm;OK;1;7.000;20220714;232312;OK;-1.500;1.500
FR_23L;G;2.565;mm;OK;1;2.000;20220714;232314;OK;-2.000;1.000
FR_5L;G;6.960;mm;OK;1;7.000;20220714;232317;OK;-1.500;1.500
FR_11L;G;2.103;mm;OK;1;2.000;20220714;232319;OK;-2.000;1.000
FR_12L;F;-0.126;mm;OK;1;-0.500;20220714;232325;OK;-0.500;0.500
FR_12L;G;0.548;mm;OK;1;0.500;20220714;232325;OK;-0.500;0.500
FR_9_1L;F;-0.207;mm;OK;1;0.000;20220714;232327;OK;-1.000;1.000
FR_9_1L;G;4.642;mm;OK;1;3.500;20220714;232327;OK;-1.200;1.200
FR_9_2L;F;0.028;mm;OK;1;0.000;20220714;232329;OK;-1.000;1.000
FR_9_2L;G;4.481;mm;OK;1;3.500;20220714;232329;OK;-1.200;1.200
FR_13L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220714;232332;OK;-0.500;0.500
SW_34_1L;F;-0.154;mm;OK;1;0.000;20220714;232335;OK;-1.000;1.000
SW_34_1L;G;3.901;mm;OK;1;4.000;20220714;232335;OK;-1.000;1.000
SW_34_2L;F;-0.193;mm;OK;1;0.000;20220714;232338;OK;-1.000;1.000
SW_34_2L;G;3.798;mm;OK;1;4.000;20220714;232338;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;232341;OK;-1.500;1.500
FR_6L;F;0.307;mm;OK;1;0.000;20220714;232343;OK;-0.500;0.500
FR_6L;G;0.947;mm;OK;1;0.500;20220714;232343;OK;-0.500;0.500
SW_6L;G;4.697;mm;OK;1;4.500;20220714;232352;OK;-1.200;1.200
SW_9L;F;1.258;mm;Rejected;1;0.000;20220714;232355;OK;-1.000;1.000
SW_9L;G;4.387;mm;OK;1;4.000;20220714;232355;OK;-1.000;1.000
SW_12L;G;3.242;mm;Rejected;1;4.500;20220714;232357;OK;-1.200;1.200
RF_26L;F;-2.007;mm;Rejected;1;-1.000;20220714;232411;OK;-1.000;1.000
RF_26L;G;6.282;mm;OK;1;7.000;20220714;232411;OK;-1.000;1.000
RF_27L;F;-0.350;mm;OK;1;0.000;20220714;232414;OK;-0.500;0.500
RF_27L;G;1.460;mm;OK;1;0.500;20220714;232414;OK;-0.500;2.000
SW_29L;G;0.591;mm;OK;1;0.500;20220714;232309;OK;-0.500;0.500
SW_27_1L;F;0.469;mm;OK;1;0.000;20220714;232313;OK;-1.000;1.000
SW_27_1L;G;4.578;mm;OK;1;4.000;20220714;232313;OK;-1.000;1.000
SW_27_2L;F;0.834;mm;OK;1;0.000;20220714;232316;OK;-1.000;1.000
SW_27_2L;G;4.232;mm;OK;1;4.000;20220714;232316;OK;-1.000;1.000
SW_25L;G;0.077;mm;OK;1;0.500;20220714;232319;OK;-0.500;0.500
SW_19L;G;0.302;mm;OK;1;0.500;20220714;232327;OK;-0.500;0.500
SW_17_1L;F;1.036;mm;Rejected;1;0.000;20220714;232330;OK;-1.000;1.000
