MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLQRYMA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.616;mm;OK;1;7.000;20220714;233538;OK;-1.500;1.500
FR_23L;G;2.557;mm;OK;1;2.000;20220714;233540;OK;-2.000;1.000
FR_5L;G;7.001;mm;OK;1;7.000;20220714;233542;OK;-1.500;1.500
FR_11L;G;2.122;mm;OK;1;2.000;20220714;233544;OK;-2.000;1.000
FR_12L;F;-0.101;mm;OK;1;-0.500;20220714;233548;OK;-0.500;0.500
FR_12L;G;0.550;mm;OK;1;0.500;20220714;233548;OK;-0.500;0.500
FR_9_1L;F;-0.210;mm;OK;1;0.000;20220714;233551;OK;-1.000;1.000
FR_9_1L;G;4.635;mm;OK;1;3.500;20220714;233551;OK;-1.200;1.200
FR_9_2L;F;0.021;mm;OK;1;0.000;20220714;233553;OK;-1.000;1.000
FR_9_2L;G;4.465;mm;OK;1;3.500;20220714;233553;OK;-1.200;1.200
FR_13L;G;0.530;mm;OK;1;0.500;20220714;233556;OK;-0.500;0.500
SW_34_1L;F;-0.140;mm;OK;1;0.000;20220714;233558;OK;-1.000;1.000
SW_34_1L;G;3.901;mm;OK;1;4.000;20220714;233558;OK;-1.000;1.000
SW_34_2L;F;-0.201;mm;OK;1;0.000;20220714;233602;OK;-1.000;1.000
SW_34_2L;G;3.791;mm;OK;1;4.000;20220714;233602;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;233604;OK;-1.500;1.500
FR_6L;F;0.300;mm;OK;1;0.000;20220714;233605;OK;-0.500;0.500
FR_6L;G;0.944;mm;OK;1;0.500;20220714;233605;OK;-0.500;0.500
