MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLQRpgA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.607;mm;OK;1;7.000;20220714;234015;OK;-1.500;1.500
FR_23L;G;2.573;mm;OK;1;2.000;20220714;234017;OK;-2.000;1.000
FR_5L;G;6.933;mm;OK;1;7.000;20220714;234019;OK;-1.500;1.500
FR_11L;G;2.196;mm;OK;1;2.000;20220714;234022;OK;-2.000;1.000
FR_12L;F;-0.059;mm;OK;1;-0.500;20220714;234027;OK;-0.500;0.500
FR_12L;G;0.534;mm;OK;1;0.500;20220714;234027;OK;-0.500;0.500
FR_9_1L;F;-0.190;mm;OK;1;0.000;20220714;234029;OK;-1.000;1.000
FR_9_1L;G;4.623;mm;OK;1;3.500;20220714;234029;OK;-1.200;1.200
FR_9_2L;F;0.004;mm;OK;1;0.000;20220714;234031;OK;-1.000;1.000
FR_9_2L;G;4.471;mm;OK;1;3.500;20220714;234031;OK;-1.200;1.200
FR_13L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220714;234034;OK;-0.500;0.500
SW_34_1L;F;-0.114;mm;OK;1;0.000;20220714;234036;OK;-1.000;1.000
SW_34_1L;G;3.920;mm;OK;1;4.000;20220714;234036;OK;-1.000;1.000
SW_34_2L;F;-0.191;mm;OK;1;0.000;20220714;234039;OK;-1.000;1.000
SW_34_2L;G;3.797;mm;OK;1;4.000;20220714;234039;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;234042;OK;-1.500;1.500
FR_6L;F;0.280;mm;OK;1;0.000;20220714;234044;OK;-0.500;0.500
FR_6L;G;0.923;mm;OK;1;0.500;20220714;234044;OK;-0.500;0.500
SW_6L;G;4.624;mm;OK;1;4.500;20220714;234054;OK;-1.200;1.200
SW_9L;F;1.273;mm;Rejected;1;0.000;20220714;234057;OK;-1.000;1.000
SW_9L;G;4.386;mm;OK;1;4.000;20220714;234057;OK;-1.000;1.000
SW_12L;G;3.240;mm;Rejected;1;4.500;20220714;234100;OK;-1.200;1.200
RF_26L;F;-1.577;mm;OK;1;-1.000;20220714;234114;OK;-1.000;1.000
RF_26L;G;6.274;mm;OK;1;7.000;20220714;234114;OK;-1.000;1.000
RF_27L;F;-0.348;mm;OK;1;0.000;20220714;234116;OK;-0.500;0.500
RF_27L;G;1.435;mm;OK;1;0.500;20220714;234116;OK;-0.500;2.000
SW_29L;G;0.590;mm;OK;1;0.500;20220714;234012;OK;-0.500;0.500
SW_27_1L;F;0.524;mm;OK;1;0.000;20220714;234015;OK;-1.000;1.000
SW_27_1L;G;4.592;mm;OK;1;4.000;20220714;234015;OK;-1.000;1.000
SW_27_2L;F;0.839;mm;OK;1;0.000;20220714;234018;OK;-1.000;1.000
SW_27_2L;G;4.234;mm;OK;1;4.000;20220714;234018;OK;-1.000;1.000
SW_25L;G;0.550;mm;OK;1;0.500;20220714;234022;OK;-0.500;0.500
SW_19L;G;0.323;mm;OK;1;0.500;20220714;234030;OK;-0.500;0.500
SW_17_1L;F;1.040;mm;Rejected;1;0.000;20220714;234032;OK;-1.000;1.000
SW_17_1L;G;4.395;mm;OK;1;4.000;20220714;234032;OK;-1.000;1.000
SW_17_2L;F;0.743;mm;OK;1;0.000;20220714;234034;OK;-1.000;1.000
SW_17_2L;G;3.420;mm;OK;1;4.000;20220714;234034;OK;-1.000;1.000
SW_16L;F;0.029;mm;OK;1;0.000;20220714;234037;OK;-1.000;1.000
SW_16L;G;2.740;mm;OK;1;4.000;20220714;234037;OK;-2.000;1.000
RF_1_1L;F;-0.323;mm;Rejected;1;-1.500;20220714;234039;OK;-1.000;1.000
RF_1_1L;G;3.575;mm;Rejected;1;7.000;20220714;234039;OK;-1.500;1.500
RF_1_2L;F;-0.415;mm;Rejected;1;-1.500;20220714;234042;OK;-1.000;1.000
RF_1_2L;G;3.604;mm;OK;1;5.000;20220714;234042;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220714;234043;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220714;234043;OK;-1.000;1.000
RR_2_2L;F;-0.039;mm;OK;1;-1.000;20220714;234045;OK;-1.000;1.000
RR_2_2L;G;0.954;mm;Rejected;1;2.000;20220714;234045;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220714;234047;OK;-1.000;1.000
RR_4L;G;13.781;mm;Rejected;1;2.000;20220714;234047;OK;-1.000;1.000
RR_6_1L;F;-0.162;mm;Rejected;1;0.500;20220714;234050;OK;-0.500;1.000
RR_6_1L;G;0.110;mm;OK;1;0.500;20220714;234050;OK;-0.500;1.000
RR_6_2L;F;2.364;mm;Rejected;1;0.500;20220714;234052;OK;-0.500;1.000
RR_6_2L;G;0.000;mm;OK;1;0.500;20220714;234052;OK;-0.500;1.000
RR_9L;G;0.515;mm;OK;1;0.500;20220714;234055;OK;-0.500;0.500
RR_7_1L;G;1.762;mm;OK;1;2.000;20220714;234057;OK;-1.000;1.000
RR_7_2L;G;1.837;mm;OK;1;2.000;20220714;234058;OK;-1.000;1.000
RR_20_4L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220714;234101;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220714;234103;OK;-1.000;1.000
RR_5L;G;3.738;mm;OK;1;4.500;20220714;234106;OK;-1.200;1.200
