MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLQR6gA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.601;mm;OK;1;7.000;20220714;234444;OK;-1.500;1.500
FR_23L;G;2.535;mm;OK;1;2.000;20220714;234447;OK;-2.000;1.000
FR_5L;G;6.944;mm;OK;1;7.000;20220714;234449;OK;-1.500;1.500
FR_11L;G;2.126;mm;OK;1;2.000;20220714;234451;OK;-2.000;1.000
FR_12L;F;-0.101;mm;OK;1;-0.500;20220714;234456;OK;-0.500;0.500
FR_12L;G;0.539;mm;OK;1;0.500;20220714;234456;OK;-0.500;0.500
FR_9_1L;F;-0.205;mm;OK;1;0.000;20220714;234459;OK;-1.000;1.000
FR_9_1L;G;4.629;mm;OK;1;3.500;20220714;234459;OK;-1.200;1.200
FR_9_2L;F;0.020;mm;OK;1;0.000;20220714;234501;OK;-1.000;1.000
FR_9_2L;G;4.466;mm;OK;1;3.500;20220714;234501;OK;-1.200;1.200
FR_13L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220714;234505;OK;-0.500;0.500
SW_34_1L;F;-0.154;mm;OK;1;0.000;20220714;234507;OK;-1.000;1.000
SW_34_1L;G;3.899;mm;OK;1;4.000;20220714;234507;OK;-1.000;1.000
SW_34_2L;F;-0.183;mm;OK;1;0.000;20220714;234510;OK;-1.000;1.000
SW_34_2L;G;3.804;mm;OK;1;4.000;20220714;234510;OK;-1.000;1.000
FR_7L;G;inv.;mm;UNCLASSIFIED;1;4.000;20220714;234513;OK;-1.500;1.500
FR_6L;F;0.297;mm;OK;1;0.000;20220714;234515;OK;-0.500;0.500
FR_6L;G;0.936;mm;OK;1;0.500;20220714;234515;OK;-0.500;0.500
SW_6L;G;4.665;mm;OK;1;4.500;20220714;234524;OK;-1.200;1.200
SW_9L;F;1.274;mm;Rejected;1;0.000;20220714;234527;OK;-1.000;1.000
SW_9L;G;4.436;mm;OK;1;4.000;20220714;234527;OK;-1.000;1.000
SW_12L;G;3.238;mm;Rejected;1;4.500;20220714;234530;OK;-1.200;1.200
RF_26L;F;-1.576;mm;OK;1;-1.000;20220714;234544;OK;-1.000;1.000
RF_26L;G;6.276;mm;OK;1;7.000;20220714;234544;OK;-1.000;1.000
RF_27L;F;-0.321;mm;OK;1;0.000;20220714;234546;OK;-0.500;0.500
RF_27L;G;1.478;mm;OK;1;0.500;20220714;234546;OK;-0.500;2.000
SW_29L;G;0.607;mm;OK;1;0.500;20220714;234442;OK;-0.500;0.500
SW_27_1L;F;0.467;mm;OK;1;0.000;20220714;234445;OK;-1.000;1.000
SW_27_1L;G;4.577;mm;OK;1;4.000;20220714;234445;OK;-1.000;1.000
SW_27_2L;F;0.841;mm;OK;1;0.000;20220714;234448;OK;-1.000;1.000
SW_27_2L;G;4.239;mm;OK;1;4.000;20220714;234448;OK;-1.000;1.000
SW_25L;G;0.243;mm;OK;1;0.500;20220714;234452;OK;-0.500;0.500
SW_19L;G;0.272;mm;OK;1;0.500;20220714;234458;OK;-0.500;0.500
SW_17_1L;F;1.047;mm;Rejected;1;0.000;20220714;234502;OK;-1.000;1.000
SW_17_1L;G;4.392;mm;OK;1;4.000;20220714;234502;OK;-1.000;1.000
SW_17_2L;F;0.736;mm;OK;1;0.000;20220714;234504;OK;-1.000;1.000
SW_17_2L;G;3.418;mm;OK;1;4.000;20220714;234504;OK;-1.000;1.000
SW_16L;F;0.060;mm;OK;1;0.000;20220714;234506;OK;-1.000;1.000
SW_16L;G;1.752;mm;Rejected;1;4.000;20220714;234506;OK;-2.000;1.000
RF_1_1L;F;-0.371;mm;Rejected;1;-1.500;20220714;234509;OK;-1.000;1.000
RF_1_1L;G;3.604;mm;Rejected;1;7.000;20220714;234509;OK;-1.500;1.500
RF_1_2L;F;-0.436;mm;Rejected;1;-1.500;20220714;234512;OK;-1.000;1.000
RF_1_2L;G;3.598;mm;OK;1;5.000;20220714;234512;OK;-1.500;1.500
RR_2_1L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220714;234513;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220714;234513;OK;-1.000;1.000
RR_2_2L;F;-0.087;mm;OK;1;-1.000;20220714;234515;OK;-1.000;1.000
