MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLVVsA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.548;mm;OK;1;7.000;20220719;072420;OK;-1.500;1.500
FR_23L;G;2.613;mm;OK;1;2.000;20220719;072425;OK;-2.000;1.000
FR_5L;G;6.900;mm;OK;1;7.000;20220719;072427;OK;-1.500;1.500
FR_11L;G;2.147;mm;OK;1;2.000;20220719;072430;OK;-2.000;1.000
FR_12L;F;-0.102;mm;OK;1;-0.500;20220719;072433;OK;-0.500;0.500
FR_12L;G;0.576;mm;OK;1;0.500;20220719;072433;OK;-0.500;0.500
FR_9_1L;F;-0.259;mm;OK;1;0.000;20220719;072435;OK;-1.000;1.000
FR_9_1L;G;4.556;mm;OK;1;3.500;20220719;072435;OK;-1.200;1.200
FR_9_2L;F;-0.046;mm;OK;1;0.000;20220719;072437;OK;-1.000;1.000
FR_9_2L;G;4.411;mm;OK;1;3.500;20220719;072437;OK;-1.200;1.200
FR_13L;G;1.532;mm;Rejected;1;0.500;20220719;072439;OK;-0.500;0.500
SW_34_1L;F;-0.125;mm;OK;1;0.000;20220719;072441;OK;-1.000;1.000
SW_34_1L;G;3.950;mm;OK;1;4.000;20220719;072441;OK;-1.000;1.000
SW_34_2L;F;-0.183;mm;OK;1;0.000;20220719;072443;OK;-1.000;1.000
SW_34_2L;G;3.802;mm;OK;1;4.000;20220719;072443;OK;-1.000;1.000
FR_7L;G;4.662;mm;OK;1;4.000;20220719;072445;OK;-1.500;1.500
FR_6L;F;0.271;mm;OK;1;0.000;20220719;072448;OK;-0.500;0.500
FR_6L;G;0.632;mm;OK;1;0.500;20220719;072448;OK;-0.500;0.500
SW_6L;G;5.574;mm;OK;1;4.500;20220719;072456;OK;-1.200;1.200
SW_9L;F;1.164;mm;Rejected;1;0.000;20220719;072459;OK;-1.000;1.000
SW_9L;G;4.198;mm;OK;1;4.000;20220719;072459;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220719;072502;OK;-1.200;1.200
RF_26L;F;-1.572;mm;OK;1;-1.000;20220719;072519;OK;-1.000;1.000
RF_26L;G;6.299;mm;OK;1;7.000;20220719;072519;OK;-1.000;1.000
RF_27L;F;-0.388;mm;OK;1;0.000;20220719;072520;OK;-0.500;0.500
RF_27L;G;1.451;mm;OK;1;0.500;20220719;072520;OK;-0.500;2.000
SW_29L;G;0.605;mm;OK;1;0.500;20220719;072416;OK;-0.500;0.500
SW_27_1L;F;0.522;mm;OK;1;0.000;20220719;072419;OK;-1.000;1.000
SW_27_1L;G;4.611;mm;OK;1;4.000;20220719;072419;OK;-1.000;1.000
SW_27_2L;F;0.831;mm;OK;1;0.000;20220719;072422;OK;-1.000;1.000
SW_27_2L;G;4.247;mm;OK;1;4.000;20220719;072422;OK;-1.000;1.000
SW_25L;G;0.133;mm;OK;1;0.500;20220719;072425;OK;-0.500;0.500
SW_19L;G;0.201;mm;OK;1;0.500;20220719;072431;OK;-0.500;0.500
SW_17_1L;F;1.041;mm;Rejected;1;0.000;20220719;072433;OK;-1.000;1.000
SW_17_1L;G;4.417;mm;OK;1;4.000;20220719;072433;OK;-1.000;1.000
SW_17_2L;F;0.722;mm;OK;1;0.000;20220719;072435;OK;-1.000;1.000
SW_17_2L;G;3.426;mm;OK;1;4.000;20220719;072435;OK;-1.000;1.000
SW_16L;F;0.025;mm;OK;1;0.000;20220719;072438;OK;-1.000;1.000
SW_16L;G;2.635;mm;OK;1;4.000;20220719;072438;OK;-2.000;1.000
RF_1_1L;F;-0.352;mm;Rejected;1;-1.500;20220719;072442;OK;-1.000;1.000
RF_1_1L;G;3.599;mm;Rejected;1;7.000;20220719;072442;OK;-1.500;1.500
RF_1_2L;F;-0.443;mm;Rejected;1;-1.500;20220719;072445;OK;-1.000;1.000
RF_1_2L;G;3.619;mm;OK;1;5.000;20220719;072445;OK;-1.500;1.500
RR_2_1L;F;-1.052;mm;OK;1;-1.000;20220719;072448;OK;-1.000;1.000
RR_2_1L;G;1.522;mm;OK;1;2.000;20220719;072448;OK;-1.000;1.000
RR_2_2L;F;-0.064;mm;OK;1;-1.000;20220719;072450;OK;-1.000;1.000
RR_2_2L;G;1.025;mm;OK;1;2.000;20220719;072450;OK;-1.000;1.000
RR_4L;F;-1.984;mm;OK;1;-1.000;20220719;072453;OK;-1.000;1.000
RR_4L;G;0.520;mm;Rejected;1;2.000;20220719;072453;OK;-1.000;1.000
RR_6_1L;F;-0.231;mm;Rejected;1;0.500;20220719;072458;OK;-0.500;1.000
RR_6_1L;G;0.103;mm;OK;1;0.500;20220719;072458;OK;-0.500;1.000
RR_6_2L;F;2.233;mm;Rejected;1;0.500;20220719;072500;OK;-0.500;1.000
RR_6_2L;G;0.000;mm;OK;1;0.500;20220719;072500;OK;-0.500;1.000
RR_9L;G;0.553;mm;OK;1;0.500;20220719;072502;OK;-0.500;0.500
RR_7_1L;G;3.460;mm;Rejected;1;2.000;20220719;072505;OK;-1.000;1.000
RR_7_2L;G;1.930;mm;OK;1;2.000;20220719;072508;OK;-1.000;1.000
RR_20_4L;G;0.706;mm;OK;1;1.000;20220719;072511;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220719;072513;OK;-1.000;1.000
RR_5L;G;4.607;mm;OK;1;4.500;20220719;072515;OK;-1.200;1.200
RR_12_1L;F;inv.;mm;UNCLASSIFIED;1;-4.000;20220719;072517;OK;-1.200;1.200
RR_12_1L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220719;072517;OK;-3.000;1.200
RR_12_2L;F;-4.275;mm;OK;1;-4.000;20220719;072520;OK;-1.200;1.200
RR_12_2L;G;2.459;mm;OK;1;4.500;20220719;072520;OK;-3.000;1.200
FR_1R;G;7.899;mm;OK;1;7.000;20220719;072418;OK;-1.500;1.500
FR_23R;G;1.380;mm;Rejected;1;0.000;20220719;072420;OK;0.000;0.000
FR_5R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220719;072425;OK;-1.500;1.500
FR_11R;G;inv.;mm;UNCLASSIFIED;1;2.000;20220719;072428;OK;-2.000;1.000
FR_12R;F;-0.385;mm;OK;1;-0.500;20220719;072431;OK;-0.500;0.500
FR_12R;G;1.402;mm;Rejected;1;0.500;20220719;072431;OK;-0.500;0.500
FR_9_1R;F;-0.647;mm;OK;1;0.000;20220719;072435;OK;-1.000;1.000
FR_9_1R;G;3.734;mm;OK;1;3.500;20220719;072435;OK;-1.200;1.200
FR_9_2R;F;-0.645;mm;OK;1;0.000;20220719;072438;OK;-1.000;1.000
FR_9_2R;G;2.892;mm;OK;1;3.500;20220719;072438;OK;-1.200;1.200
FR_13R;G;0.826;mm;OK;1;0.500;20220719;072442;OK;-0.500;0.500
SW_34_1R;F;-0.095;mm;OK;1;0.000;20220719;072446;OK;-1.000;1.000
SW_34_1R;G;5.688;mm;Rejected;1;4.000;20220719;072446;OK;-1.000;1.000
SW_34_2R;F;-0.783;mm;OK;1;0.000;20220719;072448;OK;-1.000;1.000
SW_34_2R;G;4.887;mm;OK;1;4.000;20220719;072448;OK;-1.000;1.000
FR_7R;G;6.699;mm;Rejected;1;4.000;20220719;072451;OK;-1.500;1.500
FR_6R;F;0.025;mm;OK;1;0.000;20220719;072453;OK;-0.500;0.500
FR_6R;G;0.000;mm;OK;1;0.500;20220719;072453;OK;-0.500;0.500
SW_6R;G;0.742;mm;Rejected;1;4.500;20220719;072458;OK;-1.200;1.200
SW_9R;F;0.267;mm;OK;1;0.000;20220719;072502;OK;-1.000;1.000
SW_9R;G;4.682;mm;OK;1;4.000;20220719;072502;OK;-1.000;1.000
SW_12R;G;2.029;mm;Rejected;1;4.500;20220719;072504;OK;-1.200;1.200
FL_11_1R;F;2.171;mm;Rejected;1;-0.500;20220719;072518;OK;-1.000;1.000
FL_11_1R;G;2.898;mm;OK;1;3.000;20220719;072518;OK;-1.000;1.000
FL_11_2R;F;1.025;mm;Rejected;1;-0.500;20220719;072520;OK;-1.000;1.000
FL_11_2R;G;1.510;mm;Rejected;1;3.000;20220719;072520;OK;-1.000;1.000
FL_11_3R;F;0.893;mm;Rejected;1;-0.500;20220719;072523;OK;-1.000;1.000
FL_11_3R;G;2.106;mm;OK;1;3.000;20220719;072523;OK;-1.000;1.000
FL_11_4R;F;1.124;mm;Rejected;1;-0.500;20220719;072527;OK;-1.000;1.000
FL_11_4R;G;2.714;mm;OK;1;3.000;20220719;072527;OK;-1.000;1.000
RF_26R;F;-1.984;mm;OK;1;-1.000;20220719;072530;OK;-1.000;1.000
RF_26R;G;5.874;mm;Rejected;1;7.000;20220719;072530;OK;-1.000;1.000
RF_27R;F;-0.882;mm;Rejected;1;0.000;20220719;072532;OK;-0.500;0.500
RF_27R;G;inv.;mm;UNCLASSIFIED;1;0.500;20220719;072532;OK;-0.500;2.000
SW_29R;G;0.470;mm;OK;1;0.500;20220719;072417;OK;-0.500;0.500
SW_27_1R;F;0.074;mm;OK;1;0.000;20220719;072420;OK;-1.000;1.000
SW_27_1R;G;3.911;mm;OK;1;4.000;20220719;072420;OK;-1.000;1.000
SW_27_2R;F;1.270;mm;Rejected;1;0.000;20220719;072422;OK;-1.000;1.000
SW_27_2R;G;3.846;mm;OK;1;4.000;20220719;072422;OK;-1.000;1.000
SW_25R;G;0.804;mm;OK;1;0.500;20220719;072425;OK;-0.500;0.500
SW_19R;G;0.564;mm;OK;1;0.500;20220719;072431;OK;-0.500;0.500
SW_17_1R;F;-0.565;mm;OK;1;0.000;20220719;072434;OK;-1.000;1.000
SW_17_1R;G;4.111;mm;OK;1;4.000;20220719;072434;OK;-1.000;1.000
SW_17_2R;F;0.492;mm;OK;1;0.000;20220719;072437;OK;-1.000;1.000
SW_17_2R;G;3.366;mm;OK;1;4.000;20220719;072437;OK;-1.000;1.000
SW_16R;F;0.429;mm;OK;1;0.000;20220719;072439;OK;-1.000;1.000
SW_16R;G;2.714;mm;OK;1;4.000;20220719;072439;OK;-2.000;1.000
RF_1_1R;F;0.318;mm;Rejected;1;-1.500;20220719;072444;OK;-1.000;1.000
RF_1_1R;G;inv.;mm;UNCLASSIFIED;1;7.000;20220719;072444;OK;-1.500;1.500
RF_1_2R;F;0.564;mm;Rejected;1;-1.500;20220719;072447;OK;-1.000;1.000
RF_1_2R;G;5.050;mm;OK;1;5.000;20220719;072447;OK;-1.500;1.500
RR_2_1R;F;0.563;mm;Rejected;1;-1.000;20220719;072449;OK;-1.000;1.000
RR_2_1R;G;2.333;mm;OK;1;2.000;20220719;072449;OK;-1.000;1.000
RR_2_2R;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220719;072451;OK;-1.000;1.000
RR_2_2R;G;23.704;mm;Rejected;1;2.000;20220719;072451;OK;-1.000;1.000
RR_4R;F;-0.346;mm;OK;1;-1.000;20220719;072453;OK;-1.000;1.000
RR_4R;G;2.794;mm;OK;1;2.000;20220719;072453;OK;-1.000;1.000
RR_6_1R;F;-0.361;mm;Rejected;1;0.500;20220719;072455;OK;-0.500;1.000
RR_6_1R;G;0.000;mm;OK;1;0.500;20220719;072455;OK;-0.500;1.000
RR_6_2R;F;-0.658;mm;Rejected;1;0.500;20220719;072458;OK;-0.500;1.000
RR_6_2R;G;0.345;mm;OK;1;0.500;20220719;072458;OK;-0.500;1.000
RR_9R;G;0.415;mm;OK;1;0.500;20220719;072500;OK;-0.500;0.500
RR_7_1R;G;4.253;mm;Rejected;1;2.000;20220719;072502;OK;-1.000;1.000
RR_7_2R;G;3.176;mm;Rejected;1;2.000;20220719;072505;OK;-1.000;1.000
RR_20_4R;G;1.384;mm;OK;1;1.000;20220719;072509;OK;-1.000;1.000
RR_20_1R;G;inv.;mm;UNCLASSIFIED;1;1.000;20220719;072509;OK;-1.000;1.000
RR_5R;G;7.663;mm;Rejected;1;4.500;20220719;072511;OK;-1.200;1.200
RR_12_1R;F;-4.363;mm;OK;1;-4.000;20220719;072513;OK;-1.200;1.200
RR_12_1R;G;4.044;mm;OK;1;4.500;20220719;072513;OK;-3.000;1.200
RR_12_2R;F;-3.213;mm;OK;1;-4.000;20220719;072516;OK;-1.200;1.200
RR_12_2R;G;3.698;mm;OK;1;4.500;20220719;072516;OK;-3.000;1.200
