MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLWptQA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;9.497;mm;Rejected;1;7.000;20220719;194427;OK;-1.500;1.500
FR_23L;G;2.621;mm;OK;1;2.000;20220719;194429;OK;-2.000;1.000
FR_5L;G;15.812;mm;Rejected;1;7.000;20220719;194432;OK;-1.500;1.500
FR_11L;G;2.179;mm;OK;1;2.000;20220719;194433;OK;-2.000;1.000
FR_12L;F;-0.078;mm;OK;1;-0.500;20220719;194437;OK;-0.500;0.500
FR_12L;G;0.543;mm;OK;1;0.500;20220719;194437;OK;-0.500;0.500
FR_9_1L;F;-0.300;mm;OK;1;0.000;20220719;194439;OK;-1.000;1.000
FR_9_1L;G;4.530;mm;OK;1;3.500;20220719;194439;OK;-1.200;1.200
FR_9_2L;F;-0.040;mm;OK;1;0.000;20220719;194442;OK;-1.000;1.000
FR_9_2L;G;4.355;mm;OK;1;3.500;20220719;194442;OK;-1.200;1.200
FR_13L;G;1.479;mm;Rejected;1;0.500;20220719;194444;OK;-0.500;0.500
SW_34_1L;F;-0.161;mm;OK;1;0.000;20220719;194447;OK;-1.000;1.000
SW_34_1L;G;3.942;mm;OK;1;4.000;20220719;194447;OK;-1.000;1.000
SW_34_2L;F;-0.210;mm;OK;1;0.000;20220719;194450;OK;-1.000;1.000
SW_34_2L;G;3.828;mm;OK;1;4.000;20220719;194450;OK;-1.000;1.000
FR_7L;G;4.723;mm;OK;1;4.000;20220719;194453;OK;-1.500;1.500
FR_6L;F;0.300;mm;OK;1;0.000;20220719;194455;OK;-0.500;0.500
FR_6L;G;0.682;mm;OK;1;0.500;20220719;194455;OK;-0.500;0.500
SW_6L;G;5.199;mm;OK;1;4.500;20220719;194504;OK;-1.200;1.200
SW_9L;F;1.113;mm;Rejected;1;0.000;20220719;194508;OK;-1.000;1.000
SW_9L;G;4.192;mm;OK;1;4.000;20220719;194508;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220719;194511;OK;-1.200;1.200
RF_26L;F;-1.601;mm;OK;1;-1.000;20220719;194527;OK;-1.000;1.000
RF_26L;G;6.326;mm;OK;1;7.000;20220719;194527;OK;-1.000;1.000
RF_27L;F;-0.343;mm;OK;1;0.000;20220719;194529;OK;-0.500;0.500
RF_27L;G;1.486;mm;OK;1;0.500;20220719;194529;OK;-0.500;2.000
SW_29L;G;0.571;mm;OK;1;0.500;20220719;194424;OK;-0.500;0.500
SW_27_1L;F;0.453;mm;OK;1;0.000;20220719;194428;OK;-1.000;1.000
SW_27_1L;G;4.576;mm;OK;1;4.000;20220719;194428;OK;-1.000;1.000
SW_27_2L;F;0.830;mm;OK;1;0.000;20220719;194430;OK;-1.000;1.000
SW_27_2L;G;4.221;mm;OK;1;4.000;20220719;194430;OK;-1.000;1.000
SW_25L;G;inv.;mm;UNCLASSIFIED;1;0.500;20220719;194433;OK;-0.500;0.500
SW_19L;G;0.316;mm;OK;1;0.500;20220719;194440;OK;-0.500;0.500
SW_17_1L;F;1.046;mm;Rejected;1;0.000;20220719;194443;OK;-1.000;1.000
SW_17_1L;G;4.408;mm;OK;1;4.000;20220719;194443;OK;-1.000;1.000
SW_17_2L;F;0.731;mm;OK;1;0.000;20220719;194445;OK;-1.000;1.000
SW_17_2L;G;3.428;mm;OK;1;4.000;20220719;194445;OK;-1.000;1.000
SW_16L;F;0.028;mm;OK;1;0.000;20220719;194448;OK;-1.000;1.000
SW_16L;G;2.575;mm;OK;1;4.000;20220719;194448;OK;-2.000;1.000
RF_1_1L;F;-0.357;mm;Rejected;1;-1.500;20220719;194452;OK;-1.000;1.000
RF_1_1L;G;3.596;mm;Rejected;1;7.000;20220719;194452;OK;-1.500;1.500
RF_1_2L;F;-0.428;mm;Rejected;1;-1.500;20220719;194455;OK;-1.000;1.000
RF_1_2L;G;3.575;mm;OK;1;5.000;20220719;194455;OK;-1.500;1.500
RR_2_1L;F;-0.334;mm;OK;1;-1.000;20220719;194457;OK;-1.000;1.000
RR_2_1L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220719;194457;OK;-1.000;1.000
RR_2_2L;F;0.725;mm;Rejected;1;-1.000;20220719;194500;OK;-1.000;1.000
RR_2_2L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220719;194500;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220719;194502;OK;-1.000;1.000
RR_4L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220719;194502;OK;-1.000;1.000
