MeasPlan.Name;VF_e_34
prodnum;ABu6ngAzYWLWrYsA
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;7.535;mm;OK;1;7.000;20220719;201305;OK;-1.500;1.500
FR_23L;G;2.600;mm;OK;1;2.000;20220719;201309;OK;-2.000;1.000
FR_5L;G;6.850;mm;OK;1;7.000;20220719;201310;OK;-1.500;1.500
FR_11L;G;8.013;mm;Rejected;1;2.000;20220719;201313;OK;-2.000;1.000
FR_12L;F;-0.046;mm;OK;1;-0.500;20220719;201317;OK;-0.500;0.500
FR_12L;G;0.526;mm;OK;1;0.500;20220719;201317;OK;-0.500;0.500
FR_9_1L;F;-0.288;mm;OK;1;0.000;20220719;201321;OK;-1.000;1.000
FR_9_1L;G;4.548;mm;OK;1;3.500;20220719;201321;OK;-1.200;1.200
FR_9_2L;F;-0.059;mm;OK;1;0.000;20220719;201325;OK;-1.000;1.000
FR_9_2L;G;4.364;mm;OK;1;3.500;20220719;201325;OK;-1.200;1.200
FR_13L;G;1.499;mm;Rejected;1;0.500;20220719;201327;OK;-0.500;0.500
SW_34_1L;F;-0.104;mm;OK;1;0.000;20220719;201330;OK;-1.000;1.000
SW_34_1L;G;3.947;mm;OK;1;4.000;20220719;201330;OK;-1.000;1.000
SW_34_2L;F;-0.211;mm;OK;1;0.000;20220719;201332;OK;-1.000;1.000
SW_34_2L;G;3.839;mm;OK;1;4.000;20220719;201332;OK;-1.000;1.000
FR_7L;G;4.697;mm;OK;1;4.000;20220719;201334;OK;-1.500;1.500
FR_6L;F;0.290;mm;OK;1;0.000;20220719;201336;OK;-0.500;0.500
FR_6L;G;0.700;mm;OK;1;0.500;20220719;201336;OK;-0.500;0.500
SW_6L;G;5.173;mm;OK;1;4.500;20220719;201344;OK;-1.200;1.200
SW_9L;F;1.158;mm;Rejected;1;0.000;20220719;201348;OK;-1.000;1.000
SW_9L;G;4.197;mm;OK;1;4.000;20220719;201348;OK;-1.000;1.000
SW_12L;G;inv.;mm;UNCLASSIFIED;1;4.500;20220719;201350;OK;-1.200;1.200
RF_26L;F;-1.572;mm;OK;1;-1.000;20220719;201406;OK;-1.000;1.000
RF_26L;G;6.337;mm;OK;1;7.000;20220719;201406;OK;-1.000;1.000
RF_27L;F;-0.344;mm;OK;1;0.000;20220719;201408;OK;-0.500;0.500
RF_27L;G;1.490;mm;OK;1;0.500;20220719;201408;OK;-0.500;2.000
SW_29L;G;0.559;mm;OK;1;0.500;20220719;201301;OK;-0.500;0.500
SW_27_1L;F;0.510;mm;OK;1;0.000;20220719;201305;OK;-1.000;1.000
SW_27_1L;G;4.545;mm;OK;1;4.000;20220719;201305;OK;-1.000;1.000
SW_27_2L;F;0.837;mm;OK;1;0.000;20220719;201307;OK;-1.000;1.000
SW_27_2L;G;4.216;mm;OK;1;4.000;20220719;201307;OK;-1.000;1.000
SW_25L;G;0.092;mm;OK;1;0.500;20220719;201311;OK;-0.500;0.500
SW_19L;G;0.268;mm;OK;1;0.500;20220719;201318;OK;-0.500;0.500
SW_17_1L;F;1.031;mm;Rejected;1;0.000;20220719;201322;OK;-1.000;1.000
SW_17_1L;G;4.402;mm;OK;1;4.000;20220719;201322;OK;-1.000;1.000
SW_17_2L;F;0.724;mm;OK;1;0.000;20220719;201324;OK;-1.000;1.000
SW_17_2L;G;3.438;mm;OK;1;4.000;20220719;201324;OK;-1.000;1.000
SW_16L;F;-0.027;mm;OK;1;0.000;20220719;201328;OK;-1.000;1.000
SW_16L;G;2.669;mm;OK;1;4.000;20220719;201328;OK;-2.000;1.000
RF_1_1L;F;-0.321;mm;Rejected;1;-1.500;20220719;201332;OK;-1.000;1.000
RF_1_1L;G;3.527;mm;Rejected;1;7.000;20220719;201332;OK;-1.500;1.500
RF_1_2L;F;-0.406;mm;Rejected;1;-1.500;20220719;201335;OK;-1.000;1.000
RF_1_2L;G;3.568;mm;OK;1;5.000;20220719;201335;OK;-1.500;1.500
RR_2_1L;F;-1.007;mm;OK;1;-1.000;20220719;201337;OK;-1.000;1.000
RR_2_1L;G;1.503;mm;OK;1;2.000;20220719;201337;OK;-1.000;1.000
RR_2_2L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220719;201340;OK;-1.000;1.000
RR_2_2L;G;inv.;mm;UNCLASSIFIED;1;2.000;20220719;201340;OK;-1.000;1.000
RR_4L;F;inv.;mm;UNCLASSIFIED;1;-1.000;20220719;201343;OK;-1.000;1.000
RR_4L;G;2.331;mm;OK;1;2.000;20220719;201343;OK;-1.000;1.000
RR_6_1L;F;-0.239;mm;Rejected;1;0.500;20220719;201347;OK;-0.500;1.000
RR_6_1L;G;0.175;mm;OK;1;0.500;20220719;201347;OK;-0.500;1.000
RR_6_2L;F;2.266;mm;Rejected;1;0.500;20220719;201350;OK;-0.500;1.000
RR_6_2L;G;0.000;mm;OK;1;0.500;20220719;201350;OK;-0.500;1.000
RR_9L;G;0.424;mm;OK;1;0.500;20220719;201353;OK;-0.500;0.500
RR_7_1L;G;13.595;mm;Rejected;1;2.000;20220719;201356;OK;-1.000;1.000
RR_7_2L;G;1.853;mm;OK;1;2.000;20220719;201358;OK;-1.000;1.000
RR_20_4L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220719;201401;OK;-1.000;1.000
RR_20_1L;G;inv.;mm;UNCLASSIFIED;1;1.000;20220719;201403;OK;-1.000;1.000
RR_5L;G;4.545;mm;OK;1;4.500;20220719;201404;OK;-1.200;1.200
RR_12_1L;F;-4.871;mm;OK;1;-4.000;20220719;201406;OK;-1.200;1.200
RR_12_1L;G;2.256;mm;OK;1;4.500;20220719;201406;OK;-3.000;1.200
RR_12_2L;F;-4.237;mm;OK;1;-4.000;20220719;201409;OK;-1.200;1.200
RR_12_2L;G;2.470;mm;OK;1;4.500;20220719;201409;OK;-3.000;1.200
FR_1R;G;23.550;mm;Rejected;1;7.000;20220719;201304;OK;-1.500;1.500
